セクション,項目,威兰达 2024款 2.0L CVT两驱领先版,威兰达 2024款 2.0L CVT两驱都市版,威兰达 2024款 2.0L CVT两驱豪华PLUS版,威兰达 2024款 2.0L CVT四驱豪华PLUS版,威兰达 2024款 2.0L CVT两驱尊贵版,威兰达 2024款 2.0L CVT四驱尊贵版,威兰达 2024款 双擎 2.5L E-CVT两驱都市版,威兰达 2024款 双擎 2.5L E-CVT两驱豪华PLUS版,威兰达 2024款 双擎 2.5L E-CVT四驱豪华PLUS版,威兰达 2024款 双擎 2.5L E-CVT两驱尊贵版,威兰达 2024款 双擎 2.5L E-CVT四驱尊贵版,威兰达 2025款 双擎 2.0L 基本型
,厂商指导价(元),17.38万 计算器,18.98万 计算器,19.68万 计算器,20.58万 计算器,22.18万 计算器,23.58万 计算器,21.98万 计算器,22.68万 计算器,23.98万 计算器,25.18万 计算器,26.48万 计算器,预售 暂无报价 计算器
,经销商报价,12.98万起 询底价,14.58万起 询底价,15.28万起 询底价,16.18万起 询底价,17.78万起 询底价,19.18万起 询底价,17.58万起 询底价,18.28万起 询底价,19.58万起 询底价,20.78万起 询底价,22.08万起 询底价,暂无报价 询底价
基本参数,厂商,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,-
基本参数,最大功率(kW),126,126,126,126,126,126,160,160,163,160,163,-
基本参数,最大扭矩(N·m),206,206,206,206,206,206,-,-,-,-,-,-
基本参数,变速箱,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
