セクション,セクション_ja,項目,項目_ja,2024年モデル 2.0L CVT 2WD 先進版,2024年モデル 2.0L CVT 2WD 都市版,2024年モデル 2.0L CVT 2WD 豪華PLUS版,2024年モデル 2.0L CVT 4WD 豪華PLUS版,2024年モデル 2.0L CVT 2WD 尊貴版,2024年モデル 2.0L CVT 4WD 尊貴版,2024年モデル ハイブリッド 2.5L E CVT 2WD 都市版,2024年モデル ハイブリッド 2.5L E CVT 2WD 豪華PLUS版,2024年モデル ハイブリッド 2.5L E CVT 4WD 豪華PLUS版,2024年モデル ハイブリッド 2.5L E CVT 2WD 尊貴版,2024年モデル ハイブリッド 2.5L E CVT 4WD 尊貴版,2025年モデル ハイブリッド 2.0L ベーシックモデル
,nan,厂商指导价(元),メーカー希望小売価格(元),"17.38万元（日本円 約3,649,800円）","18.98万元（日本円 約3,985,800円）","19.68万元（日本円 約4,132,800円）","20.58万元（日本円 約4,321,800円）","22.18万元（日本円 約4,657,800円）","23.58万元（日本円 約4,951,800円）","21.98万元（日本円 約4,615,800円）","22.68万元（日本円 約4,762,800円）","23.98万元（日本円 約5,035,800円）","25.18万元（日本円 約5,287,800円）","26.48万元（日本円 約5,560,800円）",预售 暂无
,nan,经销商报价,ディーラー販売価格（元）,"12.98万元（日本円 約2,725,800円）","14.58万元（日本円 約3,061,800円）","15.28万元（日本円 約3,208,800円）","16.18万元（日本円 約3,397,800円）","17.78万元（日本円 約3,733,800円）","19.18万元（日本円 約4,027,800円）","17.58万元（日本円 約3,691,800円）","18.28万元（日本円 約3,838,800円）","19.58万元（日本円 約4,111,800円）","20.78万元（日本円 約4,363,800円）","22.08万元（日本円 約4,636,800円）",暂无
基本参数,基本仕様,厂商,メーカー,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),126,126,126,126,126,126,160,160,163,160,163,-
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),206,206,206,206,206,206,-,-,-,-,-,-
基本参数,基本仕様,变速箱,トランスミッション,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,2.0L 171馬力 L4,2.0L 171馬力 L4,2.0L 171馬力 L4,2.0L 171馬力 L4,2.0L 171馬力 L4,2.0L 171馬力 L4,2.5L 178馬力 L4,2.5L 178馬力 L4,2.5L 178馬力 L4,2.5L 178馬力 L4,2.5L 178馬力 L4,2.0L 152馬力 L4
基本参数,基本仕様,电动机(Ps),モーター（Ps）,-,-,-,-,-,-,120,120,174,120,174,-
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4665×1855×1680（mm）,4665×1855×1680（mm）,4665×1855×1680（mm）,4665×1855×1680（mm）,4665×1855×1680（mm）,4665×1855×1680（mm）,4665×1855×1680（mm）,4665×1855×1680（mm）,4665×1855×1680（mm）,4665×1855×1680（mm）,4665×1855×1680（mm）,4600×1855×1680（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,180,180,180,180,180,180,180,180,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.39,6.39,6.39,6.85,6.43,6.81,5.1,5.1,5.23,5.1,5.23,-
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,-
基本参数,基本仕様,整备质量(kg),車両重量(kg),1545,1560,1590,1640,1615,1695,1645,1675,1740,1690,1760,1655
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2115,2115,2115,2195,2115,2195,2195,2195,2230,2195,2230,2165
车身,車体,长度(mm),全長(mm),4665,4665,4665,4665,4665,4665,4665,4665,4665,4665,4665,4600
车身,車体,宽度(mm),全幅(mm),1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855
车身,車体,高度(mm),全高(mm),1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680
车身,車体,轴距(mm),ホイールベース(mm),2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690
车身,車体,前轮距(mm),前トレッド(mm),1605,1605,1605,1605,1595,1595,1605,1605,1605,1605,1605,1600
车身,車体,后轮距(mm),後トレッド(mm),1620,1620,1620,1620,1610,1610,1620,1620,1620,1620,1620,1620
车身,車体,接近角(°),アプローチアングル(°),-,-,-,-,-,-,-,-,-,-,-,18
车身,車体,离去角(°),デパーチャーアングル(°),-,-,-,-,-,-,-,-,-,-,-,21
车身,車体,最小转弯半径(m),最小回転半径(m),5.5,5.5,5.5,5.5,5.7,5.7,5.5,5.5,5.5,5.5,5.5,-
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),55,55,55,55,55,55,55,55,55,55,55,-
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,M20C（エンジン型式）,M20C（エンジン型式）,M20C（エンジン型式）,M20C（エンジン型式）,M20C（エンジン型式）,M20C（エンジン型式）,A25D（エンジン型式）,A25D（エンジン型式）,A25D（エンジン型式）,A25D（エンジン型式）,A25D（エンジン型式）,M20F（エンジン型式）
发动机,エンジン,排量(mL),排気量(mL),1987,1987,1987,1987,1987,1987,2487,2487,2487,2487,2487,1987
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.0
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気
发动机,エンジン,发动机布局,エンジン配置,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,13,13,13,13,13,13,14,14,14,14,14,-
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）
发动机,エンジン,缸径(mm),ボア(mm),80.5,80.5,80.5,80.5,80.5,80.5,87.5,87.5,87.5,87.5,87.5,-
发动机,エンジン,行程(mm),ストローク(mm),97.6,97.6,97.6,97.6,97.6,97.6,103.4,103.4,103.4,103.4,103.4,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),171,171,171,171,171,171,178,178,178,178,178,152
发动机,エンジン,最大功率(kW),最大出力(kW),126,126,126,126,126,126,131,131,131,131,131,112
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6600,6600,6600,6600,6600,6600,5700,5700,5700,5700,5700,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),206,206,206,206,206,206,221,221,221,221,221,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),4600-5000,4600-5000,4600-5000,4600-5000,4600-5000,4600-5000,3600-5200,3600-5200,3600-5200,3600-5200,3600-5200,-
发动机,エンジン,最大净功率(kW),最大出力(kW),126,126,126,126,126,126,131,131,131,131,131,112
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）
发动机,エンジン,供油方式,燃料供給方式,ポート＆直噴併用,ポート＆直噴併用,ポート＆直噴併用,ポート＆直噴併用,ポート＆直噴併用,ポート＆直噴併用,ポート＆直噴併用,ポート＆直噴併用,ポート＆直噴併用,ポート＆直噴併用,ポート＆直噴併用,ポート＆直噴併用
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
