セクション,項目,ID.4 X 2025款 改款 聪明款 纯净智享版,ID.4 X 2025款 改款 聪明款 出众版,ID.4 X 2025款 改款 聪明款 纯净长续航版,ID.4 X 2025款 改款 聪明款 极智长续航版
,厂商指导价(元),15.9888万 计算器,16.7388万 计算器,19.5888万 计算器,21.1888万 计算器
,经销商报价,13.99万起 询底价,14.74万起 询底价,17.59万起 询底价,19.19万起 询底价
基本参数,厂商,上汽大众,上汽大众,上汽大众,上汽大众
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.05,2025.05,2025.05,2025.05
基本参数,CLTC纯电续航里程(km),425,425,601,601
基本参数,电池快充时间(小时),0.67,0.67,0.67,0.67
基本参数,电池慢充时间(小时),8.5,8.5,12.5,12.5
基本参数,电池快充电量范围(%),0-80,0-80,0-80,0-80
基本参数,电池慢充电量范围(%),0-100,0-100,0-100,0-100
基本参数,最大功率(kW),125,125,170,170
基本参数,最大扭矩(N·m),310,310,310,310
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,电动机(Ps),170,170,231,231
基本参数,长*宽*高(mm),4612*1852*1640,4612*1852*1640,4612*1852*1640,4612*1852*1640
基本参数,官方0-100km/h加速(s),-,-,-,-
基本参数,官方0-50km/h加速(s),3.1,3.1,3.2,3.2
基本参数,最高车速(km/h),160,160,160,160
基本参数,电能当量燃料消耗量(L/100km),1.58,1.58,1.64,1.64
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1960,1960,2120,2120
基本参数,最大满载质量(kg),2420,2420,2580,2580
车身,长度(mm),4612,4612,4612,4612
车身,宽度(mm),1852,1852,1852,1852
车身,高度(mm),1640,1640,1640,1640
车身,轴距(mm),2765,2765,2765,2765
车身,前轮距(mm),1587,1587,1587,1587
车身,后轮距(mm),1566,1566,1566,1566
车身,接近角(°),16,16,16,16
车身,离去角(°),18,18,18,18
车身,车身结构,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5
车身,后备厢容积(L),484-1546,484-1546,484-1546,484-1546
车身,风阻系数(Cd),-,-,-,-
电动机,后电动机品牌,大众汽车,大众汽车,大众汽车,大众汽车
电动机,后电动机型号,EEV,EEV,EEV,EEV
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),125,125,170,170
电动机,电动机总马力(Ps),170,170,231,231
电动机,电动机总扭矩(N·m),310,310,310,310
电动机,后电动机最大功率(kW),125,125,170,170
电动机,后电动机最大扭矩(N·m),310,310,310,310
电动机,驱动电机数,单电机,单电机,单电机,单电机
电动机,电机布局,后置,后置,后置,后置
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),425,425,601,601
电池/充电,电池能量(kWh),52.8,52.8,80.2,80.2
电池/充电,百公里耗电量(kWh/100km),14,14,14.5,14.5
电池/充电,快充功能,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.67,0.67,0.67,0.67
电池/充电,电池慢充时间(小时),8.5,8.5,12.5,12.5
电池/充电,电池快充电量范围(%),0-80,0-80,0-80,0-80
电池/充电,电池慢充电量范围(%),0-100,0-100,0-100,0-100
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 鼓式,● 鼓式,● 鼓式,● 鼓式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/55 R19,● 235/55 R19,● 235/50 R20,● 235/50 R20
车轮制动,后轮胎规格,● 235/55 R19,● 235/55 R19,● 255/45 R20,● 255/45 R20
车轮制动,备胎规格,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,缺气保用轮胎,●,●,●,●
主动安全,ABS防抱死,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●
主动安全,DOW开门预警,-,-,-,●
主动安全,前方碰撞预警,●,●,●,●
主动安全,低速行车警告,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化
驾驶操控,能量回收系统,●,●,●,●
驾驶操控,自动驻车,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●
