セクション,項目,探险者 2025款 2.3T EcoBoost 四驱穿越版 5座,探险者 2024款 2.3T EcoBoost 后驱风尚版 6座,探险者 2024款 2.3T EcoBoost 后驱风尚版 7座,探险者 2024款 2.3T EcoBoost 四驱风尚plus版 6座,探险者 2024款 2.3T EcoBoost 四驱风尚plus版 7座,探险者 2024款 2.3T EcoBoost 四驱钛金版 6座,探险者 2024款 2.3T EcoBoost 四驱钛金版 7座,探险者 2024款 2.3T EcoBoost 四驱ST-LINE 6座,探险者 2024款 2.3T EcoBoost 四驱ST-LINE 7座,探险者 2024款 2.3T EcoBoost 赤金版 6座,探险者 2024款 2.3T EcoBoost 昆仑巅峰版 6座,探险者 2024款 2.3T EcoBoost 昆仑巅峰版 7座,探险者 2025款 2.3T EcoBoost 昆仑穿越版 5座
,厂商指导价(元),30.98万 计算器,30.98万 计算器,30.98万 计算器,32.98万 计算器,32.98万 计算器,35.98万 计算器,35.98万 计算器,37.98万 计算器,37.98万 计算器,38.98万 计算器,39.98万 计算器,39.98万 计算器,预售 暂无报价 计算器
,经销商报价,30.98万起 询底价,30.98万起 询底价,30.98万起 询底价,32.98万起 询底价,32.98万起 询底价,35.98万起 询底价,35.98万起 询底价,37.98万起 询底价,37.98万起 询底价,38.98万起 询底价,39.98万起 询底价,39.98万起 询底价,暂无报价 询底价
基本参数,厂商,长安福特,长安福特,长安福特,长安福特,长安福特,长安福特,长安福特,长安福特,长安福特,长安福特,长安福特,长安福特,长安福特
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.06,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,-
基本参数,最大功率(kW),213,213,213,213,213,213,213,213,213,213,213,213,213
基本参数,最大扭矩(N·m),445,445,445,445,445,445,445,445,445,445,445,445,445
基本参数,变速箱,10挡自动,10挡自动,10挡自动,10挡自动,10挡自动,10挡自动,10挡自动,10挡手自一体,10挡手自一体,10挡自动,10挡手自一体,10挡手自一体,10挡手自一体
基本参数,车身结构,5门5座SUV,5门6座SUV,5门7座SUV,5门6座SUV,5门7座SUV,5门6座SUV,5门7座SUV,5门6座SUV,5门7座SUV,5门6座SUV,5门6座SUV,5门7座SUV,5门5座SUV
基本参数,发动机,2.3T 289马力 L4,2.3T 289马力 L4,2.3T 289马力 L4,2.3T 289马力 L4,2.3T 289马力 L4,2.3T 289马力 L4,2.3T 289马力 L4,2.3T 289马力 L4,2.3T 289马力 L4,2.3T 289马力 L4,2.3T 289马力 L4,2.3T 289马力 L4,2.3T 289马力 L4
基本参数,长*宽*高(mm),5063*2004*1778,5063*2004*1778,5063*2004*1778,5063*2004*1778,5063*2004*1778,5063*2004*1778,5063*2004*1778,5063*2004*1778,5063*2004*1778,5063*2004*1778,5066*2004*1797,5066*2004*1797,5066*2004*1797
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),200,200,200,200,200,200,200,200,200,200,180,180,180
