セクション,セクション_ja,項目,項目_ja,2025年モデル 改良版 栄誉 2.0L CVT XV真心版,2025年モデル 改良版 栄誉 2.0L CVT XV+先進版,2025年モデル 栄誉 2.0L CVT XV真心版,2025年モデル 栄誉 2.0L CVT XV+先進版,2023年モデル 1.3T CVT エリート版,2023年モデル 1.3T CVT ラグジュアリー版,2023年モデル 1.3T CVT ブラックゴールド版,2023年モデル 1.3T CVT パイオニア版,2023年モデル 1.3T CVT フラッグシップ版,2023年モデル クラシック 2.0L CVT XV快適版,2023年モデル クラシック 2.0L CVT XV+先進版,2023年モデル クラシック 2.0L CVT XV プレミアム智享版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"12.59万元（日本円 約2,643,900円）","13.49万元（日本円 約2,832,900円）","12.59万元（日本円 約2,643,900円）","13.49万元（日本円 約2,832,900円）","13.99万元（日本円 約2,937,900円）","15.49万元（日本円 約3,252,900円）","15.73万元（日本円 約3,303,300円）","16.29万元（日本円 約3,420,900円）","17.49万元（日本円 約3,672,900円）","12.59万元（日本円 約2,643,900円）","13.99万元（日本円 約2,937,900円）","14.59万元（日本円 約3,063,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"8.93万元（日本円 約1,875,300円）","9.83万元（日本円 約2,064,300円）","8.93万元（日本円 約1,875,300円）","10.03万元（日本円 約2,106,300円）","9.99万元（日本円 約2,097,900円）","11.49万元（日本円 約2,412,900円）","11.73万元（日本円 約2,463,300円）","12.29万元（日本円 約2,580,900円）","13.49万元（日本円 約2,832,900円）","8.59万元（日本円 約1,803,900円）","9.99万元（日本円 約2,097,900円）","10.59万元（日本円 約2,223,900円）"
基本参数,基本仕様,厂商,メーカー,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,基本仕様,上市时间,発売時期,2025.07,2025.07,2024.10,2024.10,2023.08,2023.08,2024.08,2023.08,2023.08,2023.07,2023.07,2023.07
基本参数,基本仕様,最大功率(kW),最大出力(kW),111,111,111,111,116,116,116,116,116,111,111,111
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),194,194,194,194,270,270,270,270,270,194,194,194
基本参数,基本仕様,变速箱,トランスミッション,CVT無段変速（7速マニュアルモード）,CVT無段変速（7速マニュアルモード）,CVT無段変速（7速マニュアルモード）,CVT無段変速（7速マニュアルモード）,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速（7速マニュアルモード）,CVT無段変速（7速マニュアルモード）,CVT無段変速（7速マニュアルモード）
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,2.0L 151馬力 L4,2.0L 151馬力 L4,2.0L 151馬力 L4,2.0L 151馬力 L4,1.3T 158馬力 L4,1.3T 158馬力 L4,1.3T 158馬力 L4,1.3T 158馬力 L4,1.3T 158馬力 L4,2.0L 151馬力 L4,2.0L 151馬力 L4,2.0L 151馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4407×1837×1610,4407×1837×1610,4407×1837×1610,4407×1837×1610,4440×1840×1627,4440×1840×1627,4440×1840×1627,4440×1840×1627,4440×1840×1627,4401×1837×1593,4401×1837×1611,4401×1837×1611
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),186,186,186,186,196,196,196,191,191,186,186,186
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.89,6.99,6.67,6.79,6.59,6.71,6.71,7,7,6.67,6.79,6.79
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,-,-,-,-,-,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1400,1417,1424,1449,1451,1505,1505,1513,1518,1444,1469,1469
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1890,1890,1890,1890,1935,1935,1935,1935,1935,1890,1890,1890
车身,車体,长度(mm),全長(mm),4407,4407,4407,4407,4440,4440,4440,4440,4440,4401,4401,4401
车身,車体,宽度(mm),全幅(mm),1837,1837,1837,1837,1840,1840,1840,1840,1840,1837,1837,1837
车身,車体,高度(mm),全高(mm),1610,1610,1610,1610,1627,1627,1627,1627,1627,1593,1611,1611
车身,車体,轴距(mm),ホイールベース(mm),2646,2646,2646,2646,2665,2665,2665,2665,2665,2646,2646,2646
车身,車体,前轮距(mm),前トレッド(mm),1585,1585,1585,1585,1587,1577,1577,1577,1577,1585,1585,1585
车身,車体,后轮距(mm),後トレッド(mm),1581,1581,1581,1581,1584,1574,1574,1574,1574,1581,1581,1581
车身,車体,空载最小离地间隙(mm),最低地上高(mm),181,183,181,183,185,185,185,185,185,181,183,183
车身,車体,接近角(°),アプローチアングル(°),16,17,16,17,16,17,17,17,17,16,17,17
车身,車体,离去角(°),デパーチャーアングル(°),22,22,22,22,20,20,20,20,20,22,22,22
车身,車体,最小转弯半径(m),最小回転半径(m),5.45,5.45,5.45,5.45,5.4,5.4,5.4,5.4,5.4,5.45,5.45,5.45
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),57,57,57,57,55,55,55,55,55,57,57,57
车身,車体,后备厢容积(L),トランク容量(L),486,486,486,486,456,456,456,456,456,486,486,486
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,MR20,MR20,MR20,MR20,HR13,HR13,HR13,HR13,HR13,MR20,MR20,MR20
发动机,エンジン,排量(mL),排気量(mL),1997,1997,1997,1997,1332,1332,1332,1332,1332,1997,1997,1997
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,1.3,1.3,1.3,1.3,1.3,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,自然吸気,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,自然吸気,自然吸気,自然吸気
发动机,エンジン,发动机布局,エンジン配置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,11.7,11.7,11.7,11.7,10.5,10.5,10.5,10.5,10.5,11.7,11.7,11.7
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),151,151,151,151,158,158,158,158,158,151,151,151
发动机,エンジン,最大功率(kW),最大出力(kW),111,111,111,111,116,116,116,116,116,111,111,111
