セクション,項目,宏光MINIEV 2025款 四门版 进阶款,宏光MINIEV 2025款 四门版 臻享款,宏光MINIEV 2025款 四门版 臻享+款,宏光MINIEV 2024款 第三代 120km,宏光MINIEV 2024款 第三代 170km,宏光MINIEV 2024款 第三代 215km 青春版,宏光MINIEV 2024款 第三代 215km 进阶版,宏光MINIEV 2022款 轻松款 三元锂,宏光MINIEV 2022款 轻松款 磷酸铁锂,宏光MINIEV 2022款 自在款 三元锂,宏光MINIEV 2022款 自在款 磷酸铁锂,宏光MINIEV 2022款 悦享款 三元锂,宏光MINIEV 2022款 悦享款 磷酸铁锂,宏光MINIEV 2022款 马卡龙时尚款 三元锂,宏光MINIEV 2022款 马卡龙时尚款 磷酸铁锂,宏光MINIEV 2022款 马卡龙臻享款 三元锂,宏光MINIEV 2022款 马卡龙臻享款 磷酸铁锂,宏光MINIEV 2022款 马卡龙缤纷款 三元锂,宏光MINIEV 2022款 马卡龙缤纷款 磷酸铁锂,宏光MINIEV 2022款 马卡龙绘色款 三元锂,宏光MINIEV 2022款 马卡龙绘色款 磷酸铁锂,宏光MINIEV 2022款 GAMEBOY 200km 玩乐款 磷酸铁锂,宏光MINIEV 2022款 GAMEBOY 200km 玩咖款 磷酸铁锂,宏光MINIEV 2022款 GAMEBOY 300km 玩乐款 磷酸铁锂,宏光MINIEV 2022款 GAMEBOY 300km 玩咖款 磷酸铁锂,宏光MINIEV 2022款 GAMEBOY 200km 都市追风限量版,宏光MINIEV 2022款 GAMEBOY 200km 竞速游侠限量版,宏光MINIEV 2022款 GAMEBOY 300km 都市追风限量版,宏光MINIEV 2022款 GAMEBOY 300km 竞速游侠限量版,宏光MINIEV 2022款 敞篷版
,厂商指导价(元),4.48万 计算器,4.98万 计算器,5.08万 计算器,3.58万 计算器,4.18万 计算器,4.08万 计算器,4.68万 计算器,3.28万 计算器,3.28万 计算器,3.88万 计算器,3.88万 计算器,4.48万 计算器,4.48万 计算器,4.38万 计算器,4.38万 计算器,4.98万 计算器,4.98万 计算器,4.68万 计算器,4.68万 计算器,5.28万 计算器,5.28万 计算器,5.58万 计算器,5.78万 计算器,6.78万 计算器,6.98万 计算器,6.28万 计算器,6.28万 计算器,7.28万 计算器,7.28万 计算器,9.99万 计算器
,经销商报价,3.88万起 询底价,4.38万起 询底价,4.48万起 询底价,2.58万起 询底价,4.18万起 询底价,3.68万起 询底价,4.68万起 询底价,3.28万起 询底价,2.38万起 询底价,3.88万起 询底价,3.88万起 询底价,4.48万起 询底价,4.48万起 询底价,4.38万起 询底价,4.38万起 询底价,4.98万起 询底价,4.98万起 询底价,4.68万起 询底价,4.68万起 询底价,5.28万起 询底价,5.28万起 询底价,5.58万起 询底价,5.78万起 询底价,6.78万起 询底价,6.98万起 询底价,6.28万起 询底价,6.28万起 询底价,7.28万起 询底价,7.28万起 询底价,9.99万起 询底价
基本参数,厂商,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱
基本参数,级别,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.02,2025.02,2025.02,2024.09,2023.11,2024.08,2023.11,2022.03,2022.03,2022.03,2022.03,2022.03,2022.03,2022.03,2022.03,2022.03,2022.03,2022.11,2022.11,2022.11,2022.11,2022.04,2022.04,2022.04,2022.04,2022.08,2022.08,2022.08,2022.08,2022.09
基本参数,NEDC纯电续航里程(km),-,-,-,-,-,-,-,120,120,120,120,170,170,120,120,170,170,120,120,170,170,-,-,-,-,-,-,-,-,-
基本参数,CLTC纯电续航里程(km),205,205,205,120,170,215,215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,200,300,300,200,200,300,300,280
基本参数,电池快充时间(小时),0.58,0.58,0.58,-,-,0.58,0.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,电池慢充时间(小时),4.8,4.8,4.8,4.6,6.8,5,5,6.5,6.5,6.5,6.5,9,9,6.5,6.5,9,9,6.5,6.5,9,9,5.5,5.5,8.5,8.5,5.5,5.5,8.5,8.5,8.5
