セクション,項目,航海家 2026款 2.0T 两驱启航版,航海家 2026款 2.0T 四驱尊享版,航海家 2026款 2.0T 四驱尊逸版,航海家 2026款 2.0T 四驱尊睿版,航海家 2026款 2.0T 四驱总裁版,航海家 2026款 2.0T 四驱尊逸混动版,航海家 2026款 2.0T 四驱尊睿混动版,航海家 2026款 2.0T 四驱总统混动版,航海家 2025款 改款 2.0T 四驱尊享版,航海家 2025款 改款 2.0T 四驱尊逸版,航海家 2025款 2.0T 四驱尊睿版,航海家 2025款 2.0T 四驱亚特兰蒂斯版,航海家 2025款 改款 2.0T 四驱尊逸混动版,航海家 2025款 2.0T 四驱尊睿混动版,航海家 2025款 2.0T 四驱总统混动版
,厂商指导价(元),30.58万 计算器,32.58万 计算器,34.58万 计算器,37.58万 计算器,39.88万 计算器,36.58万 计算器,40.58万 计算器,46.88万 计算器,32.58万 计算器,34.58万 计算器,37.58万 计算器,38.68万 计算器,36.58万 计算器,40.58万 计算器,46.88万 计算器
,经销商报价,23.99万起 询底价,27.58万起 询底价,29.58万起 询底价,31.88万起 询底价,34.88万起 询底价,31.58万起 询底价,34.88万起 询底价,41.88万起 询底价,26.58万起 询底价,28.58万起 询底价,31.58万起 询底价,32.68万起 询底价,30.58万起 询底价,34.58万起 询底价,40.88万起 询底价
基本参数,厂商,长安林肯,长安林肯,长安林肯,长安林肯,长安林肯,长安林肯,长安林肯,长安林肯,长安林肯,长安林肯,长安林肯,长安林肯,长安林肯,长安林肯,长安林肯
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.09,2025.09,2025.09,2025.09,2025.08,2025.09,2025.09,2025.09,2025.08,2025.08,2024.09,2025.04,2025.08,2024.09,2024.09
基本参数,最大功率(kW),192,192,192,192,192,227,227,227,192,192,192,192,227,227,227
基本参数,最大扭矩(N·m),390,390,390,390,390,-,-,-,390,390,390,390,-,-,-
基本参数,变速箱,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,8挡自动,8挡自动,8挡自动,8挡自动,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,2.0T 261马力 L4,2.0T 261马力 L4,2.0T 261马力 L4,2.0T 261马力 L4,2.0T 261马力 L4,2.0T 282马力 L4,2.0T 282马力 L4,2.0T 282马力 L4,2.0T 261马力 L4,2.0T 261马力 L4,2.0T 261马力 L4,2.0T 261马力 L4,2.0T 282马力 L4,2.0T 282马力 L4,2.0T 282马力 L4
基本参数,电动机(Ps),-,-,-,-,-,190,190,190,-,-,-,-,190,190,190
基本参数,长*宽*高(mm),4908*1952*1717,4908*1952*1717,4908*1952*1717,4908*1952*1717,4908*1952*1717,4908*1952*1717,4908*1952*1717,4908*1952*1717,4908*1952*1717,4908*1952*1717,4908*1952*1717,4908*1952*1717,4908*1952*1717,4908*1952*1717,4908*1952*1717
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
基本参数,WLTC综合油耗(L/100km),8.22,8.78,8.78,8.78,8.78,6.93,6.98,6.98,8.66,8.66,8.66,8.66,6.64,6.7,6.7
基本参数,整车质保,● 五年或14万公里,● 五年或14万公里,● 五年或14万公里,● 五年或14万公里,● 五年或14万公里,● 七年或18万公里,● 七年或18万公里,● 七年或18万公里,● 五年或14万公里,● 五年或14万公里,● 五年或14万公里,● 五年或14万公里,● 七年或18万公里,● 七年或18万公里,● 七年或18万公里
基本参数,整备质量(kg),1883,1964,1978,2005,2005,2080,2090,2128,1964,1978,2005,2005,2080,2090,2128
基本参数,最大满载质量(kg),2505,2505,2505,2505,2505,2580,2580,2580,2505,2505,2505,2505,2580,2580,2580
车身,长度(mm),4908,4908,4908,4908,4908,4908,4908,4908,4908,4908,4908,4908,4908,4908,4908
车身,宽度(mm),1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952
车身,高度(mm),1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717
车身,轴距(mm),2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
车身,前轮距(mm),1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658
车身,后轮距(mm),1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668
车身,接近角(°),19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
车身,离去角(°),22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
车身,后备厢容积(L),822-2463,822-2463,822-2463,822-2463,822-2463,822-2463,822-2463,822-2463,822-2463,822-2463,822-2463,822-2463,822-2463,822-2463,822-2463
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,CAF484WQC4,CAF484WQC4,CAF484WQC4,CAF484WQC4,CAF484WQC4,CAF484WQH0,CAF484WQH0,CAF484WQH0,CAF484WQC4,CAF484WQC4,CAF484WQC4,CAF484WQC4,CAF484WQH0,CAF484WQH0,CAF484WQH0
发动机,排量(mL),1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),261,261,261,261,261,282,282,282,261,261,261,261,282,282,282
发动机,最大功率(kW),192,192,192,192,192,207,207,207,192,192,192,192,207,207,207
发动机,最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
发动机,最大扭矩(N·m),390,390,390,390,390,407,407,407,390,390,390,390,407,407,407
发动机,最大扭矩转速(rpm),2500-4000,2500-4000,2500-4000,2500-4000,2500-4000,3000-4000,3000-4000,3000-4000,2500-4000,2500-4000,2500-4000,2500-4000,3000-4000,3000-4000,3000-4000
