セクション,項目,宋PLUS新能源 2025款 DM-i 智驾版 75KM 豪华型,宋PLUS新能源 2025款 DM-i 智驾版 112KM 尊贵型,宋PLUS新能源 2025款 DM-i 智驾版 112KM 尊荣型,宋PLUS新能源 2025款 DM-i 智驾版 160KM 旗舰型,宋PLUS新能源 2025款 DM-i 智驾版 160KM 旗舰PLUS,宋PLUS新能源 2025款 EV 智驾版 520km 豪华型,宋PLUS新能源 2025款 EV 智驾版 520km 尊贵型,宋PLUS新能源 2025款 EV 智驾版 605km 旗舰型,宋PLUS新能源 2025款 EV 智驾版 520km 领航版
,厂商指导价(元),13.58万 计算器,14.58万 计算器,15.58万 计算器,16.58万 计算器,17.58万 计算器,14.98万 计算器,15.98万 计算器,17.58万 计算器,18.08万 计算器
,经销商报价,12.18万起,13.18万起,14.18万起,15.18万起,16.18万起,14.18万起,15.18万起,16.78万起,暂无报价
基本参数,厂商,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,纯电动
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,-,-,-,-
基本参数,上市时间,2025.02,2025.02,2025.02,2025.02,2025.02,2025.02,2025.02,2025.02,2025.04
基本参数,WLTC纯电续航里程(km),60,91,91,128,128,-,-,-,-
基本参数,CLTC纯电续航里程(km),75,112,112,160,160,520,520,605,520
基本参数,电池快充时间(小时),-,0.38,0.38,0.28,0.28,0.5,0.5,0.46,0.5
基本参数,电池快充电量范围(%),-,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),-,-,-,-,-,150,150,160,150
基本参数,最大扭矩(N·m),-,-,-,-,-,310,310,330,310
基本参数,变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,-,-,-,-
基本参数,电动机(Ps),218,218,218,218,218,204,204,218,204
基本参数,长*宽*高(mm),4775*1890*1670,4775*1890*1670,4775*1890*1670,4775*1890*1670,4775*1890*1670,4785*1890*1660,4785*1890*1660,4785*1890*1660,4785*1890*1660
基本参数,官方0-100km/h加速(s),7.7,7.7,7.7,7.9,7.9,-,-,-,-
基本参数,官方0-50km/h加速(s),-,-,-,-,-,4,4,4,4
基本参数,最高车速(km/h),180,180,180,180,180,175,175,175,175
基本参数,WLTC综合油耗(L/100km),1.88,1.15,1.15,0.85,0.85,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,4.93,4.95,4.95,4.98,4.98,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)NEDC,3.88,3.9,3.9,3.93,3.93,-,-,-,-
基本参数,电能当量燃料消耗量(L/100km),-,-,-,-,-,1.59,1.59,1.64,1.59
基本参数,油电综合燃料消耗量(L/100km),3.41,3,3,2.8,2.8,-,-,-,-
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),1785,1830,1830,1890,1890,1920,1920,2050,1920
基本参数,最大满载质量(kg),2160,2205,2205,2265,2265,2295,2295,2425,2295
车身,长度(mm),4775,4775,4775,4775,4775,4785,4785,4785,4785
车身,宽度(mm),1890,1890,1890,1890,1890,1890,1890,1890,1890
车身,高度(mm),1670,1670,1670,1670,1670,1660,1660,1660,1660
车身,轴距(mm),2765,2765,2765,2765,2765,2765,2765,2765,2765
车身,前轮距(mm),1630,1630,1630,1630,1630,1630,1630,1630,1630
车身,后轮距(mm),1630,1630,1630,1630,1630,1630,1630,1630,1630
车身,接近角(°),19,19,19,19,19,19,19,19,19
车身,离去角(°),21,21,21,21,21,22,22,22,22
车身,最小转弯半径(m),5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),60,60,60,60,60,-,-,-,-
车身,后备厢容积(L),574-1440,574-1440,574-1440,574-1440,574-1440,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-
发动机,发动机型号,BYD472QC,BYD472QC,BYD472QC,BYD472QC,BYD472QC,-,-,-,-
发动机,排量(mL),1498,1498,1498,1498,1498,-,-,-,-
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,-,-,-,-
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,-,-,-,-
发动机,发动机布局,横置,横置,横置,横置,横置,-,-,-,-
发动机,气缸排列形式,L,L,L,L,L,-,-,-,-
发动机,气缸数(个),4,4,4,4,4,-,-,-,-
发动机,每缸气门数(个),4,4,4,4,4,-,-,-,-
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-
发动机,最大马力(Ps),101,101,101,101,101,-,-,-,-
发动机,最大功率(kW),74,74,74,74,74,-,-,-,-
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),126,126,126,126,126,-,-,-,-
