セクション,項目,哈弗大狗 2026款 1.5T DCT拉布拉多版,哈弗大狗 2026款 1.5T DCT边牧版,哈弗大狗 2026款 2.0T DCT中华田园犬版,哈弗大狗 2024款 1.5T DCT拉布拉多版,哈弗大狗 2024款 1.5T DCT边牧版,哈弗大狗 2024款 2.0T DCT中华田园犬版
,厂商指导价(元),12.39万 计算器,12.99万 计算器,14.99万 计算器,12.39万 计算器,12.99万 计算器,14.99万 计算器
,经销商报价,9.89万起 询底价,10.49万起 询底价,12.49万起 询底价,9.09万起 询底价,9.69万起 询底价,11.69万起 询底价
基本参数,厂商,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.07,2025.07,2025.07,2023.07,2023.07,2023.07
基本参数,最大功率(kW),135,135,175,135,135,175
基本参数,最大扭矩(N·m),275,275,385,275,275,385
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,9挡湿式双离合,7挡湿式双离合,7挡湿式双离合,9挡湿式双离合
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5T 184马力 L4,1.5T 184马力 L4,2.0T 238马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,2.0T 238马力 L4
基本参数,长*宽*高(mm),4620*1890*1780,4620*1890*1780,4620*1890*1780,4620*1890*1780,4620*1890*1780,4620*1890*1780
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-
基本参数,最高车速(km/h),185,185,200,185,185,200
基本参数,WLTC综合油耗(L/100km),7.46,7.46,8.35,7.46,7.46,8.35
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,首任车主质保政策,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,● 发动机、变速器核心零部件终身质保（责任免除条款以官方为准）
基本参数,整备质量(kg),1605,1605,1740,1605,1605,1740
基本参数,最大满载质量(kg),2040,2040,2150,2040,2040,2150
车身,长度(mm),4620,4620,4620,4620,4620,4620
车身,宽度(mm),1890,1890,1890,1890,1890,1890
车身,高度(mm),1780,1780,1780,1780,1780,1780
车身,轴距(mm),2738,2738,2738,2738,2738,2738
车身,前轮距(mm),1631,1631,1631,1631,1631,1631
车身,后轮距(mm),1640,1640,1640,1640,1640,1640
车身,空载最小离地间隙(mm),200,200,200,200,200,200
车身,接近角(°),24,24,24,24,24,24
车身,离去角(°),30,30,30,30,30,30
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),61,61,60,61,61,60
车身,后备厢容积(L),496,496,496,496,496,496
车身,风阻系数(Cd),-,-,-,-,-,-
发动机,发动机型号,GW4B15L,GW4B15L,GW4N20A,GW4B15L,GW4B15L,GW4N20A
发动机,排量(mL),1499,1499,1998,1499,1499,1998
发动机,排量(L),1.5,1.5,2.0,1.5,1.5,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),184,184,238,184,184,238
发动机,最大功率(kW),135,135,175,135,135,175
发动机,最大功率转速(rpm),5500-6000,5500-6000,6000,5500-6000,5500-6000,6000
发动机,最大扭矩(N·m),275,275,385,275,275,385
发动机,最大扭矩转速(rpm),1500-4000,1500-4000,1700-4000,1500-4000,1500-4000,1700-4000
发动机,最大净功率(kW),130,130,170,130,130,170
发动机,发动机特有技术,米勒循环,米勒循环,米勒循环,-,-,-
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡湿式双离合,7挡湿式双离合,9挡湿式双离合,7挡湿式双离合,7挡湿式双离合,9挡湿式双离合
变速箱,挡位个数,7,7,9,7,7,9
变速箱,变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置四驱,● 前置前驱,● 前置前驱,● 前置四驱
底盘转向,四驱形式,-,-,● 适时四驱,-,-,● 适时四驱
底盘转向,中央差速器结构,-,-,● 多片离合器,-,-,● 多片离合器
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/60 R19,● 235/60 R19,235/60 R19 235/65 R18,● 235/60 R19,● 235/60 R19,● 235/65 R18
车轮制动,后轮胎规格,● 235/60 R19,● 235/60 R19,235/60 R19 235/65 R18,● 235/60 R19,● 235/60 R19,● 235/65 R18
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,● 后备厢内,● 后备厢内,● 后备厢内,-,-,-
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),-,● 前 / 后,● 前 / 后,-,● 前 / 后,● 前 / 后
主动安全,ABS防抱死,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,●,-,●,●
主动安全,主动刹车/主动安全系统,-,●,●,-,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●
主动安全,DOW开门预警,-,○,○,-,○,○
主动安全,前方碰撞预警,-,●,●,-,●,●
主动安全,后方碰撞预警,-,○,○,-,○,○
主动安全,道路救援呼叫,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 越野 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 越野 雪地
驾驶操控,发动机启停技术,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●
四驱/越野,中央差速器锁止功能,-,-,●,-,-,●
四驱/越野,限滑差速器/差速锁,-,-,● 后桥差速锁,-,-,● 后桥差速锁
四驱/越野,蠕行模式,-,-,●,-,-,●
驾驶硬件,前/后驻车雷达,● 前- / 后,● 前 / 后,● 前 / 后,● 前- / 后,前 / 后,● 前- / 后
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●
驾驶硬件,前方感知摄像头,-,● 单目,● 单目,-,-,-
驾驶硬件,摄像头数量,● 4个,● 5个,● 5个,-,-,-
驾驶硬件,超声波雷达数量,● 4个,8个 12个,8个 12个,-,-,-
驾驶功能,巡航系统,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶等级,-,● L2,● L2,-,● L2,● L2
驾驶功能,倒车车侧预警系统,-,○,○,-,○,○
驾驶功能,卫星导航系统,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,-,○,○,-,○,○
驾驶功能,车道保持辅助系统,-,●,●,-,●,●
驾驶功能,车道居中保持,-,●,●,-,●,●
驾驶功能,道路交通标识识别,-,●,●,-,●,●
驾驶功能,辅助泊车入位,-,○,○,-,○,-
驾驶功能,遥控泊车,-,○,○,-,○,-
驾驶功能,循迹倒车,-,-,-,-,○,-
驾驶功能,辅助驾驶路段,-,-,-,-,○ 高速路段,○ 高速路段
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,●,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●
外观/防盗,车顶行李架,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 前排,● 前排
外观/防盗,远程启动功能,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●
车外灯光,自适应远近光,-,●,●,-,●,●
车外灯光,自动头灯,●,●,●,●,●,●
车外灯光,转向辅助灯,-,●,●,-,●,●
车外灯光,车前雾灯,-,● LED,● LED,-,● LED,● LED
车外灯光,大灯高度可调,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 驾驶位,● 全车,● 全车,● 驾驶位,● 全车,● 全车
