セクション,項目,ID.4 CROZZ 2026款 纯享版PURE,ID.4 CROZZ 2026款 PURE+版,ID.4 CROZZ 2026款 暗黑骑士PRO版,ID.4 CROZZ 2025款 纯享版,ID.4 CROZZ 2025款 长续航PURE+版,ID.4 CROZZ 2025款 长续航暗黑骑士PRO版,ID.4 CROZZ 2025款 高性能暗黑骑士PRIME版
,厂商指导价(元),14.99万 计算器,18.59万 计算器,20.76万 计算器,14.99万 计算器,18.59万 计算器,20.76万 计算器,24.36万 计算器
,经销商报价,13.99万起 询底价,17.59万起 询底价,19.76万起 询底价,13.99万起 询底价,17.59万起 询底价,19.76万起 询底价,23.36万起 询底价
基本参数,厂商,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.08,2025.08,2025.08,2025.01,2025.01,2025.01,2025.01
基本参数,CLTC纯电续航里程(km),448,601,601,442,601,601,560
基本参数,电池快充时间(小时),0.5,0.5,0.5,0.67,0.67,0.67,0.67
基本参数,电池慢充时间(小时),8.5,12.5,12.5,8.5,12.5,12.5,12.5
基本参数,电池快充电量范围(%),0-80,0-80,0-80,80,80,80,80
基本参数,电池慢充电量范围(%),0-100,0-100,0-100,-,-,-,-
基本参数,最大功率(kW),125,170,170,125,170,170,230
基本参数,最大扭矩(N·m),310,310,310,310,310,310,460
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,电动机(Ps),170,231,231,170,231,231,313
基本参数,长*宽*高(mm),4592*1852*1629,4592*1852*1629,4592*1852*1629,4592*1852*1629,4592*1852*1629,4592*1852*1629,4592*1852*1629
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-
基本参数,官方0-50km/h加速(s),3.1,3.2,3.2,3.1,3.2,3.2,2.6
基本参数,最高车速(km/h),160,160,160,160,160,160,160
基本参数,电能当量燃料消耗量(L/100km),1.58,1.65,1.65,1.52,1.65,1.65,1.76
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),2035,2130,2130,1945,2130,2130,2254
基本参数,最大满载质量(kg),2510,2600,2600,2420,2600,2600,2730
车身,长度(mm),4592,4592,4592,4592,4592,4592,4592
车身,宽度(mm),1852,1852,1852,1852,1852,1852,1852
车身,高度(mm),1629,1629,1629,1629,1629,1629,1629
车身,轴距(mm),2765,2765,2765,2765,2765,2765,2765
车身,前轮距(mm),1597,1587,1587,1587,1587,1587,1587
车身,后轮距(mm),1573,1567,1567,1567,1567,1567,1567
车身,接近角(°),17,18,18,18,18,18,18
车身,离去角(°),18,19,19,19,19,19,19
车身,最小转弯半径(m),4.85,4.85,4.85,4.85,4.85,4.85,4.85
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),512,512,512,512,512,512,502
车身,风阻系数(Cd),0.28,0.28,0.28,0.28,0.28,0.28,0.28
电动机,前电动机品牌,-,-,-,-,-,-,华域麦格纳
电动机,后电动机品牌,大众汽车,大众汽车,大众汽车,大众汽车,大众汽车,大众汽车,大众汽车
电动机,前电动机型号,-,-,-,-,-,-,EDX
电动机,后电动机型号,EEV,EEV,EEV,EEV,EEV,EEV,EEV
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,前交流/异步 后永磁/同步
电动机,电动机总功率(kW),125,170,170,125,170,170,230
电动机,电动机总马力(Ps),170,231,231,170,231,231,313
电动机,电动机总扭矩(N·m),310,310,310,310,310,310,460
电动机,前电动机最大功率(kW),-,-,-,-,-,-,80
电动机,前电动机最大扭矩(N·m),-,-,-,-,-,-,162
电动机,后电动机最大功率(kW),125,170,170,125,170,170,150
电动机,后电动机最大扭矩(N·m),310,310,310,310,310,310,310
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,双电机
电动机,电机布局,后置,后置,后置,后置,后置,后置,前置+后置
电动机,三电系统质保,● 八年或16万公里（可选：首任车主不限年限/里程质保）,● 八年或16万公里（可选：首任车主不限年限/里程质保）,● 八年或16万公里（可选：首任车主不限年限/里程质保）,● 八年或16万公里（可选：首任车主不限年限/里程质保）,● 八年或16万公里（可选：首任车主不限年限/里程质保）,● 八年或16万公里（可选：首任车主不限年限/里程质保）,● 八年或16万公里（可选：首任车主不限年限/里程质保）
