セクション,セクション_ja,項目,項目_ja,2026年モデル 純享版PURE,2026年モデル PURE+版,2026年モデル ダークナイトPRO版,2025年モデル 純享版,2025年モデル ロングレンジPURE+版,2025年モデル ロングレンジダークナイトPRO版,2025年モデル 高性能ダークナイトPRIME版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"14.99万元（日本円 約3,147,900円）","18.59万元（日本円 約3,903,900円）","20.76万元（日本円 約4,359,600円）","14.99万元（日本円 約3,147,900円）","18.59万元（日本円 約3,903,900円）","20.76万元（日本円 約4,359,600円）","24.36万元（日本円 約5,115,600円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"13.99万元（日本円 約2,937,900円）","17.59万元（日本円 約3,693,900円）","19.76万元（日本円 約4,149,600円）","13.99万元（日本円 約2,937,900円）","17.59万元（日本円 約3,693,900円）","19.76万元（日本円 約4,149,600円）","23.36万元（日本円 約4,905,600円）"
基本参数,基本仕様,厂商,メーカー,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.08,2025.08,2025.08,2025.01,2025.01,2025.01,2025.01
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),448,601,601,442,601,601,560
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.5,0.67,0.67,0.67,0.67
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),8.5,12.5,12.5,8.5,12.5,12.5,12.5
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電可能範囲(%),0-80,0-80,0-80,80,80,80,80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電可能範囲(%),0-100,0-100,0-100,-,-,-,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),125,170,170,125,170,170,230
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),310,310,310,310,310,310,460
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),170,231,231,170,231,231,313
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4592×1852×1629,4592×1852×1629,4592×1852×1629,4592×1852×1629,4592×1852×1629,4592×1852×1629,4592×1852×1629
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速時間(s),3.1,3.2,3.2,3.1,3.2,3.2,2.6
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),160,160,160,160,160,160,160
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.58,1.65,1.65,1.52,1.65,1.65,1.76
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),2035,2130,2130,1945,2130,2130,2254
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2510,2600,2600,2420,2600,2600,2730
车身,車体,长度(mm),全長(mm),4592,4592,4592,4592,4592,4592,4592
车身,車体,宽度(mm),全幅(mm),1852,1852,1852,1852,1852,1852,1852
车身,車体,高度(mm),全高(mm),1629,1629,1629,1629,1629,1629,1629
车身,車体,轴距(mm),ホイールベース(mm),2765,2765,2765,2765,2765,2765,2765
车身,車体,前轮距(mm),前トレッド(mm),1597,1587,1587,1587,1587,1587,1587
车身,車体,后轮距(mm),後トレッド(mm),1573,1567,1567,1567,1567,1567,1567
车身,車体,接近角(°),アプローチアングル(°),17,18,18,18,18,18,18
车身,車体,离去角(°),デパーチャーアングル(°),18,19,19,19,19,19,19
车身,車体,最小转弯半径(m),最小回転半径(m),4.85,4.85,4.85,4.85,4.85,4.85,4.85
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,后备厢容积(L),トランク容量(L),512,512,512,512,512,512,502
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.28,0.28,0.28,0.28,0.28,0.28,0.28
电动机,モーター,前电动机品牌,前モーター ブランド,-,-,-,-,-,-,華域マグナ
电动机,モーター,后电动机品牌,後モーター ブランド,フォルクスワーゲン,フォルクスワーゲン,フォルクスワーゲン,フォルクスワーゲン,フォルクスワーゲン,フォルクスワーゲン,フォルクスワーゲン
电动机,モーター,前电动机型号,前モーター 型番,-,-,-,-,-,-,EDX
电动机,モーター,后电动机型号,後モーター 型番,EEV,EEV,EEV,EEV,EEV,EEV,EEV
电动机,モーター,电机类型,モーター種類,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,前交流/非同期 後永久磁石/同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),125,170,170,125,170,170,230
电动机,モーター,电动机总马力(Ps),モーター合計馬力(Ps),170,231,231,170,231,231,313
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),310,310,310,310,310,310,460
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,-,-,-,-,80
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,-,-,-,-,162
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),125,170,170,125,170,170,150
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),310,310,310,310,310,310,310
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,後置,後置,後置,後置,後置,後置,前置＋後置
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km（選択可：初代オーナー無制限保証）,● 8年または16万km（選択可：初代オーナー無制限保証）,● 8年または16万km（選択可：初代オーナー無制限保証）,● 8年または16万km（選択可：初代オーナー無制限保証）,● 8年または16万km（選択可：初代オーナー無制限保証）,● 8年または16万km（選択可：初代オーナー無制限保証）,● 8年または16万km（選択可：初代オーナー無制限保証）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（一汽）,● CATL（一汽）,● CATL（一汽）,● CATL（寧徳時代）,● CATL（一汽）,● CATL（一汽）,● CATL（一汽）
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,バッテリー/充電,换电,バッテリー交換対応,-,-,-,非対応,非対応,非対応,非対応
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),448,601,601,442,601,601,560
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),54.3,80.4,80.4,55.7,80.4,80.4,80.4
电池/充电,バッテリー/充電,电池能量密度(Wh/kg),バッテリーエネルギー密度(Wh/kg),-,175,175,165,175,175,175
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),13.6,14.2,14.2,13.1,14.2,14.2,15.2
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),-,-,-,100,100,100,100
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.5,0.67,0.67,0.67,0.67
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),8.5,12.5,12.5,8.5,12.5,12.5,12.5
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電可能範囲(%),0-80,0-80,0-80,80,80,80,80
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電可能範囲(%),0-100,0-100,0-100,-,-,-,-
电池/充电,バッテリー/充電,慢充接口位置,普通充電ポート位置,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側
电池/充电,バッテリー/充電,快充接口位置,急速充電ポート位置,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,-,-,-,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/55 R19,● 235/55 R19,● 235/50 R20,● 235/55 R19,● 235/55 R19,● 235/50 R20,● 235/45 R21
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/55 R19,● 255/50 R19,● 255/45 R20,● 235/55 R19,● 255/50 R19,● 255/45 R20,● 255/40 R21
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,● なし,● なし,● なし,● なし,● なし
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後
被动安全,衝突安全,缺气保用轮胎,パンク応急用タイヤ,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,-,●,-,-,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ・エコ・標準/快適・カスタム/パーソナライズ,● スポーツ・エコ・標準/快適・カスタム/パーソナライズ,● スポーツ・エコ・標準/快適・カスタム/パーソナライズ,● スポーツ・エコ・標準/快適・カスタム/パーソナライズ,● スポーツ・エコ・標準/快適・カスタム/パーソナライズ,● スポーツ・エコ・標準/快適・カスタム/パーソナライズ,● スポーツ・エコ・標準/快適・カスタム/パーソナライズ
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,-,-,-,-,-,● サスペンション硬さ調整
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後
