セクション,項目,奔驰C级 2025款 改款 C 200 L 运动版,奔驰C级 2025款 改款 C 260 L,奔驰C级 2025款 改款 C 260 L 运动版,奔驰C级 2025款 改款 C 260 L 4MATIC 运动版,奔驰C级 2025款 改款 C 260 L 皓夜运动版
,厂商指导价(元),33.48万 计算器,35.68万 计算器,35.68万 计算器,37.58万 计算器,38.06万 计算器
,经销商报价,21.48万起 询底价,23.68万起 询底价,23.68万起 询底价,25.58万起 询底价,26.06万起 询底价
基本参数,厂商,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰
基本参数,级别,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.02,2025.02,2025.02,2025.02,2025.02
基本参数,最大功率(kW),125,150,150,150,150
基本参数,最大扭矩(N·m),250,300,300,300,300
基本参数,变速箱,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5T 170马力 L4,1.5T 204马力 L4,1.5T 204马力 L4,1.5T 204马力 L4,1.5T 204马力 L4
基本参数,长*宽*高(mm),4882*1820*1461,4882*1820*1461,4882*1820*1461,4882*1820*1461,4882*1820*1461
基本参数,官方0-100km/h加速(s),9.2,7.8,7.8,7.6,7.8
基本参数,最高车速(km/h),225,236,236,235,236
基本参数,WLTC综合油耗(L/100km),6.1,6.2,6.2,6.5,6.2
基本参数,整车质保,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里
基本参数,整备质量(kg),1730,1760,1760,1815,1760
基本参数,最大满载质量(kg),2250,2260,2260,2320,2260
车身,长度(mm),4882,4882,4882,4882,4882
车身,宽度(mm),1820,1820,1820,1820,1820
