セクション,項目,红旗E-QM5 2025款 500km 时代换电版(车电分离),红旗E-QM5 2025款 475km 出租换电版,红旗E-QM5 2025款 500km 时代换电版,红旗E-QM5 2025款 500km 出租版,红旗E-QM5 2025款 500km 出行版,红旗E-QM5 2025款 610km PLUS,红旗E-QM5 2024款 560km PLUS,红旗E-QM5 2024款 450km 出行版,红旗E-QM5 2024款 500km 出行版,红旗E-QM5 2024款 610km PLUS,红旗E-QM5 2021款 换电 出租版
,厂商指导价(元),8.98万 计算器,12.18万 计算器,12.48万 计算器,16.78万 计算器,16.78万 计算器,20.18万 计算器,19.98万 计算器,16.58万 计算器,16.78万 计算器,20.18万 计算器,23.98万 计算器
,经销商报价,8.98万起,9.18万起,12.48万起,13.78万起,13.78万起,17.18万起,16.98万起,13.58万起,13.78万起,17.18万起,20.98万起
基本参数,厂商,一汽红旗,一汽红旗,一汽红旗,一汽红旗,一汽红旗,一汽红旗,一汽红旗,一汽红旗,一汽红旗,一汽红旗,一汽红旗
基本参数,级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.11,2025.05,2025.10,2025.05,2025.05,2025.05,2024.03,2024.04,2024.04,2024.04,2022.03
基本参数,NEDC纯电续航里程(km),-,-,-,-,-,-,-,-,-,-,431
基本参数,CLTC纯电续航里程(km),500,475,500,500,500,610,560,450,500,610,-
基本参数,电池快充时间(小时),-,-,-,0.43,0.43,0.53,0.53,0.43,0.43,0.53,-
基本参数,电池快充电量范围(%),-,-,-,20-80,20-80,20-80,20-80,20-80,20-80,20-80,-
基本参数,最大功率(kW),110,110,110,110,110,110,100,100,100,100,100
基本参数,最大扭矩(N·m),205,205,205,205,205,205,260,260,260,260,-
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,电动机(Ps),150,150,150,150,150,150,136,136,136,136,136
基本参数,长*宽*高(mm),5040*1910*1569,5040*1910*1569,5040*1910*1569,5040*1910*1569,5040*1910*1569,5040*1910*1569,5040*1910*1569,5040*1910*1569,5040*1910*1569,5040*1910*1569,5040*1910*1569
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),130,130,130,130,130,130,130,130,130,130,130
基本参数,电能当量燃料消耗量(L/100km),1.36,1.43,1.36,1.44,1.44,1.46,1.48,1.46,1.44,1.39,1.53
基本参数,整车质保,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 三年或30万公里,● 三年或30万公里,● 四年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1750,1750,1750,1760,1760,1805,1900,1840,1840,1900,1800
基本参数,最大满载质量(kg),2200,2200,2200,2210,2210,2255,2350,2290,2290,2350,2250
车身,长度(mm),5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040
车身,宽度(mm),1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910
车身,高度(mm),1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569
车身,轴距(mm),2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990
车身,前轮距(mm),1654,1654,1654,1654,1654,1654,1630,1630,1630,1630,1650
车身,后轮距(mm),1655,1655,1655,1655,1655,1655,1630,1630,1630,1630,1650
车身,接近角(°),14,14,14,14,14,14,14,14,14,14,14
车身,离去角(°),18,18,18,18,18,18,18,18,18,18,18
车身,最小转弯半径(m),6,6,6,6,6,6,5.85,5.85,5.88,5.85,5.88
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),433,433,433,433,433,433,433,433,433,433,433
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
电动机,前电动机品牌,湖南中车时代电驱科技有限公司,湖南中车时代电驱科技有限公司,湖南中车时代电驱科技有限公司,湖南中车时代电驱科技有限公司,湖南中车时代电驱科技有限公司,湖南中车时代电驱科技有限公司,株洲中车时代电气,株洲中车时代电气,株洲中车时代电气,株洲中车时代电气,-
电动机,前电动机型号,CAM190PT4,CAM190PT4,CAM190PT4,CAM190PT4,CAM190PT4,CAM190PT4,CAM210PT6,CAM210PT6,CAM210PT6,CAM210PT6,-
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),110,110,110,110,110,110,100,100,100,100,100
电动机,电动机总马力(Ps),150,150,150,150,150,150,136,136,136,136,136
电动机,电动机总扭矩(N·m),205,205,205,205,205,205,260,260,260,260,-
电动机,前电动机最大功率(kW),110,110,110,110,110,110,100,100,100,100,100
电动机,前电动机最大扭矩(N·m),205,205,205,205,205,205,260,260,260,260,-
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机,三电系统质保,-,● 八年或12万公里,-,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 五年或50万公里,● 八年或80万公里,● 八年或80万公里,● 八年或15万公里,● 八年或60万公里
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 三元锂电池
电池/充电,电芯品牌,● 时代上汽,● 弗迪,● 时代上汽,"● 宁德时代
● 时代一汽","● 宁德时代
● 时代一汽","● 宁德时代(四川时代)
● 时代一汽","● 宁德时代(四川时代)
● 时代一汽
● 中创新航","● 宁德时代
● 时代一汽","● 宁德时代
● 时代一汽","● 宁德时代(四川时代)
● 时代一汽",● 塔菲尔
电池/充电,电池冷却方式,风冷,风冷,风冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,-
电池/充电,换电,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,支持
电池/充电,NEDC纯电续航里程(km),-,-,-,-,-,-,-,-,-,-,431
电池/充电,CLTC纯电续航里程(km),500,475,500,500,500,610,560,450,500,610,-
电池/充电,电池能量(kWh),56,56,56,60,60,72,72,60,60,72,56
电池/充电,电池能量密度(Wh/kg),132.6,144.7,132.6,141.2,141.2,149.59,150,141,141,150,160
电池/充电,百公里耗电量(kWh/100km),11.7,12.3,11.7,12.4,12.4,12.6,13.1,12.9,12.7,12.3,13.5
电池/充电,电池组质保,● 八年或60万公里,-,● 八年或60万公里,-,-,-,-,-,-,-,-
电池/充电,快充功能,-,-,-,支持,支持,支持,支持,支持,支持,支持,-
电池/充电,电池快充时间(小时),-,-,-,0.43,0.43,0.53,0.53,0.43,0.43,0.53,-
电池/充电,电池快充电量范围(%),-,-,-,20-80,20-80,20-80,20-80,20-80,20-80,20-80,-
电池/充电,快充接口位置,-,-,-,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,-
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1
