セクション,セクション_ja,項目,項目_ja,2025年モデル 500km 時代交換電池版（車体・電池分離型）,2025年モデル 475km レンタル交換電池版,2025年モデル 500km 時代交換電池版,2025年モデル 500km レンタル版,2025年モデル 500km お出かけ版,2025年モデル 610km PLUS,2024年モデル 560km PLUS,2024年モデル 450km お出かけ版,2024年モデル 500km お出かけ版,2024年モデル 610km PLUS,2021年モデル 交換電池 レンタル版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"8.98万元（日本円 約1,885,800円）","12.18万元（日本円 約2,557,800円）","12.48万元（日本円 約2,620,800円）","16.78万元（日本円 約3,523,800円）","16.78万元（日本円 約3,523,800円）","20.18万元（日本円 約4,237,800円）","19.98万元（日本円 約4,195,800円）","16.58万元（日本円 約3,481,800円）","16.78万元（日本円 約3,523,800円）","20.18万元（日本円 約4,237,800円）","23.98万元（日本円 約5,035,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"8.98万元（日本円 約1,885,800円）","9.18万元（日本円 約1,927,800円）","12.48万元（日本円 約2,620,800円）","13.78万元（日本円 約2,893,800円）","13.78万元（日本円 約2,893,800円）","17.18万元（日本円 約3,607,800円）","16.98万元（日本円 約3,565,800円）","13.58万元（日本円 約2,851,800円）","13.78万元（日本円 約2,893,800円）","17.18万元（日本円 約3,607,800円）","20.98万元（日本円 約4,405,800円）"
基本参数,基本仕様,厂商,メーカー,一汽紅旗,一汽紅旗,一汽紅旗,一汽紅旗,一汽紅旗,一汽紅旗,一汽紅旗,一汽紅旗,一汽紅旗,一汽紅旗,一汽紅旗
基本参数,基本仕様,级别,クラス,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.11,2025.05,2025.10,2025.05,2025.05,2025.05,2024.03,2024.04,2024.04,2024.04,2022.03
基本参数,基本仕様,NEDC纯电续航里程(km),NEDC純電航続距離(km),-,-,-,-,-,-,-,-,-,-,431
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),500,475,500,500,500,610,560,450,500,610,-
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),-,-,-,0.43,0.43,0.53,0.53,0.43,0.43,0.53,-
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),-,-,-,20-80,20-80,20-80,20-80,20-80,20-80,20-80,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),110,110,110,110,110,110,100,100,100,100,100
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),205,205,205,205,205,205,260,260,260,260,-
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),150,150,150,150,150,150,136,136,136,136,136
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5040×1910×1569,5040×1910×1569,5040×1910×1569,5040×1910×1569,5040×1910×1569,5040×1910×1569,5040×1910×1569,5040×1910×1569,5040×1910×1569,5040×1910×1569,5040×1910×1569
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),130,130,130,130,130,130,130,130,130,130,130
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.36,1.43,1.36,1.44,1.44,1.46,1.48,1.46,1.44,1.39,1.53
基本参数,基本仕様,整车质保,車両保証,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 3年または30万km,● 3年または30万km,● 4年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1750,1750,1750,1760,1760,1805,1900,1840,1840,1900,1800
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2200,2200,2200,2210,2210,2255,2350,2290,2290,2350,2250
车身,車体,长度(mm),全長(mm),5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040
车身,車体,宽度(mm),全幅(mm),1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910
车身,車体,高度(mm),全高(mm),1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569
车身,車体,轴距(mm),ホイールベース(mm),2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990
车身,車体,前轮距(mm),前トレッド(mm),1654,1654,1654,1654,1654,1654,1630,1630,1630,1630,1650
车身,車体,后轮距(mm),後トレッド(mm),1655,1655,1655,1655,1655,1655,1630,1630,1630,1630,1650
车身,車体,接近角(°),アプローチアングル(°),14,14,14,14,14,14,14,14,14,14,14
车身,車体,离去角(°),デパーチャーアングル(°),18,18,18,18,18,18,18,18,18,18,18
车身,車体,最小转弯半径(m),最小回転半径(m),6,6,6,6,6,6,5.85,5.85,5.88,5.85,5.88
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
