セクション,項目,星越L 2026款 东方曜 2.0TD 自动霄汉版,星越L 2026款 东方曜 2.0TD 自动揽星版,星越L 2026款 东方曜 2.0TD 自动望月版,星越L 2025款 2.0TD 自动行云版,星越L 2025款 东方曜 2.0TD 自动今朝版,星越L 2025款 东方曜 2.0TD 自动揽星版,星越L 2025款 东方曜 2.0TD 自动四驱望月版,星越L 2024款 油混 1.5T 星云版,星越L 2024款 油混 1.5T 星河版,星越L 2024款 油混 1.5T 天宫版,星越L 2024款 2.0TD DCT EVO两驱长风版,星越L 2024款 2.0TD 高功自动两驱云起版,星越L 2024款 2.0TD 高功自动两驱天际版
,厂商指导价(元),15.87万 计算器,16.87万 计算器,17.97万 计算器,15.67万 计算器,16.37万 计算器,16.97万 计算器,17.97万 计算器,15.97万 计算器,16.77万 计算器,17.77万 计算器,14.77万 计算器,15.77万 计算器,16.87万 计算器
,经销商报价,14.57万起 询底价,15.57万起 询底价,16.67万起 询底价,13.87万起 询底价,14.57万起 询底价,15.17万起 询底价,16.17万起 询底价,14.17万起 询底价,14.97万起 询底价,15.97万起 询底价,12.97万起 询底价,13.97万起 询底价,15.07万起 询底价
基本参数,厂商,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.09,2025.09,2025.09,2025.03,2025.03,2024.10,2024.10,2024.03,2023.12,2023.12,2024.03,2023.09,2023.09
基本参数,最大功率(kW),200,200,200,175,175,175,175,-,-,-,160,175,175
基本参数,最大扭矩(N·m),400,400,400,350,350,350,350,-,-,-,325,350,350
基本参数,变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,3挡DHT,3挡DHT,3挡DHT,7挡湿式双离合,8挡手自一体,8挡手自一体
