セクション,セクション_ja,項目,項目_ja,2026年モデル 2.5L HEV 2WD 豪華版,2026年モデル 2.5L HEV 4WD 豪華版,2026年モデル 2.5L HEV 4WD 尊貴版,2026年モデル 2.5L HEV 4WD 旗艦版,2026年モデル 2.0T 4WD 劲享版,2026年モデル 2.0T 4WD 劲耀版,2024年モデル 2.5L HEV 2WD 豪華版,2024年モデル 2.5L HEV 4WD 豪華版,2024年モデル 2.5L HEV 4WD 尊貴版,2024年モデル 2.5L HEV 4WD 旗艦版,2024年モデル 2.0T 4WD 劲耀版,2024年モデル 2.0T 4WD 劲享版
,nan,厂商指导价(元),メーカー希望小売価格(元),"28.48万元（日本円 約5,980,800円）","29.68万元（日本円 約6,232,800円）","30.98万元（日本円 約6,505,800円）","33.28万元（日本円 約6,988,800円）","28.48万元（日本円 約5,980,800円）","29.98万元（日本円 約6,295,800円）","28.48万元（日本円 約5,980,800円）","29.68万元（日本円 約6,232,800円）","30.98万元（日本円 約6,505,800円）","33.28万元（日本円 約6,988,800円）","29.98万元（日本円 約6,295,800円）","28.48万元（日本円 約5,980,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"22.88万元（日本円 約4,804,800円）","24.08万元（日本円 約5,056,800円）","25.38万元（日本円 約5,329,800円）","27.68万元（日本円 約5,812,800円）","22.88万元（日本円 約4,804,800円）","24.38万元（日本円 約5,119,800円）","22.28万元（日本円 約4,678,800円）","23.48万元（日本円 約4,930,800円）","24.78万元（日本円 約5,203,800円）","27.28万元（日本円 約5,728,800円）","23.78万元（日本円 約4,993,800円）","22.28万元（日本円 約4,678,800円）"
基本参数,基本仕様,厂商,メーカー,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05
基本参数,基本仕様,最大功率(kW),最大出力(kW),181,181,181,181,182,182,181,181,181,181,182,182
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,380,380,-,-,-,-,380,380
基本参数,基本仕様,变速箱,トランスミッション,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）
基本参数,基本仕様,车身结构,ボディ構造,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV
基本参数,基本仕様,发动机,エンジン,2.5L 189馬力 直列4気筒,2.5L 189馬力 直列4気筒,2.5L 189馬力 直列4気筒,2.5L 189馬力 直列4気筒,2.0ターボ 248馬力 直列4気筒,2.0ターボ 248馬力 直列4気筒,2.5L 189馬力 直列4気筒,2.5L 189馬力 直列4気筒,2.5L 189馬力 直列4気筒,2.5L 189馬力 直列4気筒,2.0ターボ 248馬力 直列4気筒,2.0ターボ 248馬力 直列4気筒
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),182,237,237,237,-,-,182,237,237,237,-,-
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),全長5015×全幅1930×全高1750mm,全長5015×全幅1930×全高1750mm,全長5015×全幅1930×全高1750mm,全長5015×全幅1930×全高1750mm,全長5015×全幅1930×全高1750mm,全長5015×全幅1930×全高1750mm,全長5015×全幅1930×全高1750mm,全長5015×全幅1930×全高1750mm,全長5015×全幅1930×全高1750mm,全長5015×全幅1930×全高1750mm,全長5015×全幅1930×全高1750mm,全長5015×全幅1930×全高1750mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,180,180,180,180,180,180,180,180,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),5.82,5.97,5.97,5.97,8.75,8.75,5.82,5.97,5.97,5.97,8.75,8.75
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),2010,2075,2085,2105,2040,2040,2010,2075,2085,2105,2040,2040
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2620,2700,2700,2700,2650,2650,2620,2700,2700,2700,2650,2650
车身,車体,长度(mm),全長(mm),5015,5015,5015,5015,5015,5015,5015,5015,5015,5015,5015,5015
车身,車体,宽度(mm),全幅(mm),1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930
车身,車体,高度(mm),全高(mm),1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750
车身,車体,轴距(mm),ホイールベース(mm),2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850
车身,車体,前轮距(mm),前トレッド(mm),1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655
车身,車体,后轮距(mm),後トレッド(mm),1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660
车身,車体,接近角(°),アプローチアングル(°),16,17,17,17,16,16,16,17,17,17,16,16
车身,車体,离去角(°),デパーチャーアングル(°),20,20,20,20,20,20,20,20,20,20,20,20
车身,車体,最小转弯半径(m),最小回転半径(m),5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り,● 7人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),65,65,65,65,68,68,65,65,65,65,68,68
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,A25F（エンジン型式）,A25F（エンジン型式）,A25F（エンジン型式）,A25F（エンジン型式）,S20A（エンジン型式）,S20A（エンジン型式）,A25F（エンジン型式）,A25F（エンジン型式）,A25F（エンジン型式）,A25F（エンジン型式）,S20A（エンジン型式）,S20A（エンジン型式）
发动机,エンジン,排量(mL),排気量(mL),2487,2487,2487,2487,1997,1997,2487,2487,2487,2487,1997,1997
发动机,エンジン,排量(L),排気量(L),2.5,2.5,2.5,2.5,2.0,2.0,2.5,2.5,2.5,2.5,2.0,2.0
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,自然吸気,ターボチャージャー付き,ターボチャージャー付き,自然吸気,自然吸気,自然吸気,自然吸気,ターボチャージャー付き,ターボチャージャー付き
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,14,14,14,14,-,-,14,14,14,14,-,-
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）
发动机,エンジン,缸径(mm),ボア(mm),87.5,87.5,87.5,87.5,85,85,87.5,87.5,87.5,87.5,85,85
