セクション,項目,库斯途 2024款 270TGDi GLS 领先版,库斯途 2024款 270TGDi LUX 尊贵版,库斯途 2024款 270TGDi TOP 智爱旗舰版,库斯途 2024款 380TGDi LUX Premium 智爱尊贵版,库斯途 2024款 380TGDi TOP Premium 智爱旗舰版,库斯途 2022款 270TGDi 智爱旗舰版 TOP,库斯途 2021款 270TGDi 领先版 GLS,库斯途 2021款 270TGDi 尊贵版 LUX,库斯途 2021款 380TGDi 豪华版 DLX,库斯途 2021款 380TGDi 智爱尊贵版 LUX Premium,库斯途 2021款 380TGDi 智爱旗舰版 TOP Premium
,厂商指导价(元),17.18万 计算器,18.18万 计算器,19.78万 计算器,20.58万 计算器,22.08万 计算器,19.58万 计算器,16.98万 计算器,17.98万 计算器,19.28万 计算器,20.38万 计算器,21.88万 计算器
,经销商报价,12.18万起 询底价,13.18万起 询底价,14.78万起 询底价,15.58万起 询底价,17.08万起 询底价,14.58万起 询底价,11.98万起 询底价,12.98万起 询底价,14.28万起 询底价,15.38万起 询底价,16.88万起 询底价
基本参数,厂商,北京现代,北京现代,北京现代,北京现代,北京现代,北京现代,北京现代,北京现代,北京现代,北京现代,北京现代
基本参数,级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2024.08,2024.08,2024.08,2024.08,2024.08,2022.05,2021.09,2021.09,2021.09,2021.09,2021.09
基本参数,最大功率(kW),125,125,125,173.6,173.6,125,125,125,173.6,173.6,173.6
基本参数,最大扭矩(N·m),253,253,253,353,353,253,253,253,353,353,353
基本参数,变速箱,8挡自动,8挡自动,8挡自动,8挡手自一体,8挡手自一体,8挡自动,8挡自动,8挡自动,8挡手自一体,8挡手自一体,8挡手自一体
基本参数,车身结构,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
