セクション,セクション_ja,項目,項目_ja,2024年モデル 270TGDi GLS 先進版,2024年モデル 270TGDi LUX 高級版,2024年モデル 270TGDi TOP 知能愛用フラッグシップ版,2024年モデル 380TGDi LUX Premium 知能愛用高級版,2024年モデル 380TGDi TOP Premium 知能愛用フラッグシップ版,2022年モデル 270TGDi 知能愛用フラッグシップ版 TOP,2021年モデル 270TGDi 先進版 GLS,2021年モデル 270TGDi 高級版 LUX,2021年モデル 380TGDi 豪華版 DLX,2021年モデル 380TGDi 知能愛用高級版 LUX Premium,2021年モデル 380TGDi 知能愛用フラッグシップ版 TOP Premium
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"17.18万元（日本円 約3,607,800円）","18.18万元（日本円 約3,817,800円）","19.78万元（日本円 約4,153,800円）","20.58万元（日本円 約4,321,800円）","22.08万元（日本円 約4,636,800円）","19.58万元（日本円 約4,111,800円）","16.98万元（日本円 約3,565,800円）","17.98万元（日本円 約3,775,800円）","19.28万元（日本円 約4,048,800円）","20.38万元（日本円 約4,279,800円）","21.88万元（日本円 約4,594,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"12.18万元（日本円 約2,557,800円）","13.18万元（日本円 約2,767,800円）","14.78万元（日本円 約3,103,800円）","15.58万元（日本円 約3,271,800円）","17.08万元（日本円 約3,586,800円）","14.58万元（日本円 約3,061,800円）","11.98万元（日本円 約2,515,800円）","12.98万元（日本円 約2,725,800円）","14.28万元（日本円 約2,998,800円）","15.38万元（日本円 約3,229,800円）","16.88万元（日本円 約3,544,800円）"
基本参数,基本仕様,厂商,メーカー,北京現代,北京現代,北京現代,北京現代,北京現代,北京現代,北京現代,北京現代,北京現代,北京現代,北京現代
基本参数,基本仕様,级别,クラス,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）
基本参数,基本仕様,上市时间,発売時期,2024.08,2024.08,2024.08,2024.08,2024.08,2022.05,2021.09,2021.09,2021.09,2021.09,2021.09
基本参数,基本仕様,最大功率(kW),最大出力(kW),125,125,125,173.6,173.6,125,125,125,173.6,173.6,173.6
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),253,253,253,353,353,253,253,253,353,353,353
基本参数,基本仕様,变速箱,トランスミッション,8速オートマチック,8速オートマチック,8速オートマチック,8速マニュアルモード付AT,8速マニュアルモード付AT,8速オートマチック,8速オートマチック,8速オートマチック,8速マニュアルモード付AT,8速マニュアルモード付AT,8速マニュアルモード付AT
基本参数,基本仕様,车身结构,ボディ構造,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV
基本参数,基本仕様,发动机,エンジン,1.5T 170馬力 L4,1.5T 170馬力 L4,1.5T 170馬力 L4,2.0T 236馬力 L4,2.0T 236馬力 L4,1.5T 170馬力 L4,1.5T 170馬力 L4,1.5T 170馬力 L4,2.0T 236馬力 L4,2.0T 236馬力 L4,2.0T 236馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4950×1850×1734（mm）,4950×1850×1734（mm）,4950×1850×1734（mm）,4950×1850×1734（mm）,4950×1850×1734（mm）,4950×1850×1734（mm）,4950×1850×1734（mm）,4950×1850×1734（mm）,4950×1850×1734（mm）,4950×1850×1734（mm）,4950×1850×1734（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,8.8,8.8,-,-,-,8.8,8.8,8.8
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,200,210,210,200,200,200,210,210,210
基本参数,基本仕様,NEDC综合油耗(L/100km),NEDC総合燃費(L/100km),6.4,6.5,6.5,6.9,6.9,6.5,6.4,6.5,6.9,6.9,6.9
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),7.4,7.6,7.6,7.7,7.7,7.6,7.4,7.6,7.7,7.7,7.7
基本参数,基本仕様,实测0-100km/h加速(s),実測0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,9.44
基本参数,基本仕様,实测100-0km/h制动(m),実測100-0km/h制動距離(m),-,-,-,-,-,-,-,-,-,-,42.86
基本参数,基本仕様,实测油耗(L/100km),実測燃費(L/100km),-,-,-,-,-,-,-,-,-,-,12
基本参数,基本仕様,整车质保,車両保証,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,整备质量(kg),車両重量(kg),1635,1712,1712,1754,1754,1712,1635,1712,1754,1754,1754
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2220,2300,2300,2335,2335,2300,2220,2300,2335,2335,2335
车身,車体,长度(mm),全長(mm),4950,4950,4950,4950,4950,4950,4950,4950,4950,4950,4950
车身,車体,宽度(mm),全幅(mm),1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850
车身,車体,高度(mm),全高(mm),1734,1734,1734,1734,1734,1734,1734,1734,1734,1734,1734
车身,車体,轴距(mm),ホイールベース(mm),3055,3055,3055,3055,3055,3055,3055,3055,3055,3055,3055
车身,車体,前轮距(mm),前トレッド(mm),1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607
车身,車体,后轮距(mm),後トレッド(mm),1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632
车身,車体,满载最小离地间隙(mm),満載時最小地上高(mm),121,121,121,121,121,121,121,121,121,121,121
车身,車体,接近角(°),アプローチアングル(°),16,16,16,16,16,16,16,16,16,16,16
车身,車体,离去角(°),デパーチャーアングル(°),22,22,22,22,22,22,22,22,22,22,22
车身,車体,车身结构,ボディ構造,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身,車体,车门开启方式,ドア開閉方式,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア
车身,車体,车门数(个),ドア数(枚),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,座位数(个),乗車定員(名),● 7（人乗り）,● 7（人乗り）,● 7（人乗り）,● 7（人乗り）,● 7（人乗り）,● 7（人乗り）,● 7（人乗り）,● 7（人乗り）,● 7（人乗り）,● 7（人乗り）,● 7（人乗り）
车身,車体,油箱容积(L),燃料タンク容量(L),58,58,58,58,58,58,58,58,58,58,58
车身,車体,后备厢容积(L),トランク容量(L),262-707,262-707,262-707,262-707,262-707,262-707,262-707,262-707,262-707,262-707,262-707
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,G4FS（エンジン型式）,G4FS（エンジン型式）,G4FS（エンジン型式）,G4NN（エンジン型式）,G4NN（エンジン型式）,G4FS（エンジン型式）,G4FS（エンジン型式）,G4FS（エンジン型式）,G4NN（エンジン型式）,G4NN（エンジン型式）,G4NN（エンジン型式）
发动机,エンジン,排量(mL),排気量(mL),1497,1497,1497,1975,1975,1497,1497,1497,1975,1975,1975
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,2.0,2.0,1.5,1.5,1.5,2.0,2.0,2.0
