セクション,項目,凡尔赛C5 X 2025款 1.6T 海外版,凡尔赛C5 X 2024款 1.6T 享不凡,凡尔赛C5 X 2024款 1.6T 势不凡,凡尔赛C5 X 2024款 1.6T 旅不凡,凡尔赛C5 X 2024款 1.6T 耀不凡
,厂商指导价(元),13.77万 计算器,14.37万 计算器,15.87万 计算器,17.1717万 计算器,18.67万 计算器
,经销商报价,9.97万起 询底价,12.17万起 询底价,13.67万起 询底价,14.97万起 询底价,16.47万起 询底价
基本参数,厂商,东风雪铁龙,东风雪铁龙,东风雪铁龙,东风雪铁龙,东风雪铁龙
基本参数,级别,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.06,2024.04,2024.04,2024.04,2024.04
基本参数,最大功率(kW),129,129,129,129,129
基本参数,最大扭矩(N·m),250,250,250,250,250
基本参数,变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
基本参数,车身结构,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
基本参数,发动机,1.6T 175马力 L4,1.6T 175马力 L4,1.6T 175马力 L4,1.6T 175马力 L4,1.6T 175马力 L4
基本参数,长*宽*高(mm),4805*1865*1505,4805*1865*1505,4805*1865*1505,4805*1865*1505,4805*1865*1505
基本参数,官方0-100km/h加速(s),-,-,-,-,-
基本参数,最高车速(km/h),221,221,221,221,221
基本参数,NEDC综合油耗(L/100km),-,5.8,5.8,5.8,5.8
基本参数,WLTC综合油耗(L/100km),6.38,6.44,6.44,6.44,6.44
基本参数,整车质保,● 三年或10万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里
基本参数,整备质量(kg),1445,1505,1505,1505,1505
基本参数,最大满载质量(kg),1915,1915,1915,1915,1915
车身,长度(mm),4805,4805,4805,4805,4805
车身,宽度(mm),1865,1865,1865,1865,1865
车身,高度(mm),1505,1505,1505,1505,1505
车身,轴距(mm),2785,2785,2785,2785,2785
车身,前轮距(mm),1599,1599,1599,1599,1599
车身,后轮距(mm),1604,1604,1604,1604,1604
车身,最小离地间隙(mm),193,193,193,193,193
车身,接近角(°),18,18,18,18,18
车身,离去角(°),23,23,23,23,23
车身,车身结构,掀背车,掀背车,掀背车,掀背车,掀背车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),51,51,51,51,51
车身,后备厢容积(L),545-1640,545-1640,545-1640,545-1640,545-1640
车身,风阻系数(Cd),-,-,-,-,-
发动机,发动机型号,5G06,5G06,5G06,5G06,5G06
发动机,排量(mL),1598,1598,1598,1598,1598
发动机,排量(L),1.6,1.6,1.6,1.6,1.6
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),175,175,175,175,175
发动机,最大功率(kW),129,129,129,129,129
发动机,最大功率转速(rpm),5500,5500,5500,5500,5500
发动机,最大扭矩(N·m),250,250,250,250,250
发动机,最大扭矩转速(rpm),1750-4500,1750-4500,1750-4500,1750-4500,1750-4500
发动机,最大净功率(kW),129,129,129,129,129
发动机,发动机特有技术,CVVT、CVVL,CVVT、CVVL,CVVT、CVVL,CVVT、CVVL,CVVT、CVVL
发动机,能源类型,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI
变速箱,简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
变速箱,挡位个数,8,8,8,8,8
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 215/65 R17,205/55 R19 225/55 R18,205/55 R19 225/55 R18,● 205/55 R19,205/55 R19 225/55 R18
车轮制动,后轮胎规格,● 215/65 R17,205/55 R19 225/55 R18,205/55 R19 225/55 R18,● 205/55 R19,205/55 R19 225/55 R18
车轮制动,备胎规格,● 无,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),-,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,被动行人保护,-,-,-,-,●
主动安全,ABS防抱死,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,●,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,●,●,●
主动安全,主动刹车/主动安全系统,-,-,●,●,●
主动安全,疲劳驾驶提示,-,-,●,●,●
主动安全,DOW开门预警,-,-,-,-,●
主动安全,前方碰撞预警,-,-,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适
驾驶操控,发动机启停技术,●,●,●,●,●
驾驶操控,自动驻车,-,-,-,-,-
驾驶操控,上坡辅助,●,●,●,●,●
驾驶操控,可变悬架功能,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节
驾驶硬件,前/后驻车雷达,-,● 前- / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,前方感知摄像头,-,-,-,● 单目,-
驾驶硬件,摄像头数量,● 1个,● 1个,● 5个,● 5个,● 5个
驾驶硬件,超声波雷达数量,-,● 4个,● 8个,● 8个,● 8个
驾驶硬件,毫米波雷达数量,-,-,● 1个,● 1个,● 3个
驾驶功能,巡航系统,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶等级,-,-,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,-,-,●
驾驶功能,卫星导航系统,-,-,●,●,●
驾驶功能,导航路况信息显示,-,-,●,●,●
驾驶功能,地图品牌,-,-,● 高德,● 高德,● 高德
驾驶功能,并线辅助,-,-,-,-,●
驾驶功能,车道保持辅助系统,-,-,●,●,●
驾驶功能,道路交通标识识别,-,-,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,-,-,●,●,●
外观/防盗,感应后备厢,-,-,●,●,●
外观/防盗,电动后备厢位置记忆,-,-,●,●,●
外观/防盗,车顶行李架,-,○,○,●,○
外观/防盗,发动机电子防盗,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●
外观/防盗,无钥匙进入功能,-,● 全车,● 全车,● 全车,● 全车
外观/防盗,主动闭合式进气格栅,-,-,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●
车外灯光,自适应远近光,-,-,●,●,●
车外灯光,自动头灯,●,●,●,●,●
车外灯光,转向辅助灯,-,-,-,-,●
车外灯光,车前雾灯,-,-,-,-,● LED
车外灯光,大灯高度可调,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●
天窗/玻璃,天窗类型,-,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,-,● 前排,● 前排,● 前排,● 前排
天窗/玻璃,车内化妆镜,● 主驾位 副驾驶,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 后视镜加热,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 10英寸,● 10英寸,● 12英寸,● 12英寸,● 12英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarLife,● 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife
屏幕/系统,语音识别控制系统,● 多媒体系统 电话 空调,● 多媒体系统 电话 空调,多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调
屏幕/系统,语音免唤醒词,●,●,●,●,●
