セクション,セクション_ja,項目,項目_ja,2025年モデル 1.6T 海外版,2024年モデル 1.6T 享不凡,2024年モデル 1.6T 势不凡,2024年モデル 1.6T 旅不凡,2024年モデル 1.6T 耀不凡
,nan,厂商指导价(元),メーカー希望小売価格(元),"13.77万元（日本円 約2,891,700円）","14.37万元（日本円 約3,017,700円）","15.87万元（日本円 約3,332,700円）","17.1717万元（日本円 約3,606,057円）","18.67万元（日本円 約3,920,700円）"
,nan,经销商报价,ディーラー販売価格（元）,"9.97万元（日本円 約2,093,700円）","12.17万元（日本円 約2,555,700円）","13.67万元（日本円 約2,870,700円）","14.97万元（日本円 約3,143,700円）","16.47万元（日本円 約3,458,700円）"
基本参数,基本仕様,厂商,メーカー,東風シトロエン,東風シトロエン,東風シトロエン,東風シトロエン,東風シトロエン
基本参数,基本仕様,级别,クラス,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6,国6,国6,国6,国6
基本参数,基本仕様,上市时间,発売時期,2025.06,2024.04,2024.04,2024.04,2024.04
基本参数,基本仕様,最大功率(kW),最大出力(kW),129,129,129,129,129
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),250,250,250,250,250
基本参数,基本仕様,变速箱,トランスミッション,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック
基本参数,基本仕様,发动机,エンジン,1.6T 175馬力 L4,1.6T 175馬力 L4,1.6T 175馬力 L4,1.6T 175馬力 L4,1.6T 175馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4805×1865×1505mm,4805×1865×1505mm,4805×1865×1505mm,4805×1865×1505mm,4805×1865×1505mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),221,221,221,221,221
基本参数,基本仕様,NEDC综合油耗(L/100km),NEDC総合燃費(L/100km),-,5.8,5.8,5.8,5.8
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.38,6.44,6.44,6.44,6.44
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1445,1505,1505,1505,1505
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1915,1915,1915,1915,1915
车身,車体,长度(mm),全長(mm),4805,4805,4805,4805,4805
车身,車体,宽度(mm),全幅(mm),1865,1865,1865,1865,1865
车身,車体,高度(mm),全高(mm),1505,1505,1505,1505,1505
车身,車体,轴距(mm),ホイールベース(mm),2785,2785,2785,2785,2785
车身,車体,前轮距(mm),前トレッド(mm),1599,1599,1599,1599,1599
车身,車体,后轮距(mm),後トレッド(mm),1604,1604,1604,1604,1604
车身,車体,最小离地间隙(mm),最低地上高(mm),193,193,193,193,193
车身,車体,接近角(°),アプローチアングル(°),18,18,18,18,18
车身,車体,离去角(°),デパーチャーアングル(°),23,23,23,23,23
车身,車体,车身结构,ボディ構造,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,座位数(个),乗車定員(名),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,油箱容积(L),燃料タンク容量(L),51,51,51,51,51
车身,車体,后备厢容积(L),トランク容量(L),545-1640,545-1640,545-1640,545-1640,545-1640
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,5G06,5G06,5G06,5G06,5G06
发动机,エンジン,排量(mL),排気量(mL),1598,1598,1598,1598,1598
发动机,エンジン,排量(L),排気量(L),1.6,1.6,1.6,1.6,1.6
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
