セクション,項目,海豚 2025款 智驾版 420km 自由版,海豚 2025款 智驾版 410km 时尚版,海豚 2025款 智驾版 520km 骑士版,海豚 2025款 420km 活力版,海豚 2025款 420km 自由版,海豚 2025款 420km 时尚版,海豚 2025款 520km 骑士版
,厂商指导价(元),9.98万 计算器,10.98万 计算器,12.58万 计算器,9.98万 计算器,10.68万 计算器,11.38万 计算器,12.98万 计算器
,经销商报价,9.18万起,10.18万起,11.78万起,8.38万起,9.08万起,9.78万起,11.38万起
基本参数,厂商,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
基本参数,级别,小型车,小型车,小型车,小型车,小型车,小型车,小型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.02,2025.02,2025.02,2024.07,2024.07,2024.07,2024.07
基本参数,CLTC纯电续航里程(km),420,410,520,420,420,420,520
基本参数,电池快充时间(小时),0.42,0.42,0.42,0.5,0.5,0.5,0.5
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),70,130,150,70,70,70,150
基本参数,最大扭矩(N·m),180,290,310,180,180,180,310
基本参数,车身结构,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
基本参数,电动机(Ps),95,177,204,95,95,95,204
基本参数,长*宽*高(mm),4280*1770*1570,4280*1770*1570,4280*1770*1570,4125*1770*1570,4125*1770*1570,4125*1770*1570,4150*1770*1570
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-
基本参数,官方0-50km/h加速(s),4.3,3.5,3.5,3.9,3.9,3.9,3.5
基本参数,最高车速(km/h),150,160,160,150,150,150,160
基本参数,电能当量燃料消耗量(L/100km),1.30,1.31,1.50,1.22,1.19,1.19,1.52
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),1410,1480,1600,1435,1460,1460,1600
基本参数,最大满载质量(kg),1835,1905,2005,1810,1835,1835,1975
车身,长度(mm),4280,4280,4280,4125,4125,4125,4150
车身,宽度(mm),1770,1770,1770,1770,1770,1770,1770
车身,高度(mm),1570,1570,1570,1570,1570,1570,1570
车身,轴距(mm),2700,2700,2700,2700,2700,2700,2700
车身,前轮距(mm),1530,1530,1530,1530,1530,1530,1530
车身,后轮距(mm),1530,1530,1530,1530,1530,1530,1530
车身,接近角(°),15,15,15,17,17,17,17
车身,离去角(°),23,23,21,23,23,23,21
车身,最小转弯半径(m),5.35,5.35,5.35,5.25,5.25,5.25,5.25
车身,车身结构,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),345-1320,345-1320,345-1320,345-1320,345-1320,345-1320,345-1320
车身,风阻系数(Cd),-,-,-,-,-,-,-
电动机,前电动机品牌,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
电动机,前电动机型号,TZ180XSF,TZ200XSW,TZ200XSQ,TZ180XSF,TZ180XSF,TZ180XSF,TZ200XSQ
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),70,130,150,70,70,70,150
电动机,电动机总马力(Ps),95,177,204,95,95,95,204
电动机,电动机总扭矩(N·m),180,290,310,180,180,180,310
电动机,前电动机最大功率(kW),70,130,150,70,70,70,150
电动机,前电动机最大扭矩(N·m),180,290,310,180,180,180,310
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,前置
电动机,三电系统质保,-,-,-,● 首任车主不限年限/里程（责任免除条款以官方为准）,● 首任车主不限年限/里程（责任免除条款以官方为准）,● 首任车主不限年限/里程（责任免除条款以官方为准）,● 首任车主不限年限/里程（责任免除条款以官方为准）
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-,-,-,-
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪
电池/充电,电池特有技术,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池
电池/充电,电池冷却方式,直冷,直冷,直冷,直冷,直冷,直冷,直冷
电池/充电,CLTC纯电续航里程(km),420,410,520,420,420,420,520
电池/充电,电池能量(kWh),45.12,45.12,60.48,44.928,44.928,44.928,60.48
电池/充电,电池能量密度(Wh/kg),140.56,140.56,150.6,140.56,140.56,140.56,150.6
电池/充电,百公里耗电量(kWh/100km),11.2,11.3,12.9,10.5,11.2,11.2,13.1
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),80,80,110,60,60,60,80
电池/充电,电池快充时间(小时),0.42,0.42,0.42,0.5,0.5,0.5,0.5
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
电池/充电,快充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3,3.3,3.3
