セクション,セクション_ja,項目,項目_ja,2025年モデル 新锐 1.5L 出众新逸版,2025年モデル 新锐 1.5L 出众新愿版,2025年モデル 新锐 1.5L 新逸版,2025年モデル 新锐 1.5L 新愿版,2024年モデル 1.5L 自動得逸版,2024年モデル 1.5L 自動満逸版,2024年モデル 1.5L 自動五百万版,2024年モデル 1.5L 自動星空五百万版,2024年モデル 300TSI DSG 満逸版,2024年モデル 300TSI DSG 星空満逸版,2024年モデル 300TSI DSG 星空先進版,2024年モデル 300TSI DSG 永逸版,2024年モデル 300TSI DSG 星空永逸版,2023年モデル 新锐 1.5L 自動出众新逸版,2023年モデル 新锐 1.5L 自動出众新願版,2023年モデル 新锐 1.5L 自動新逸版,2023年モデル 新锐 1.5L 自動新願版
,nan,厂商指导价(元),メーカー希望小売価格(元),"7.999万元（日本円 約1,679,790円）","8.799万元（日本円 約1,847,790円）","9.999万元（日本円 約2,099,790円）","10.999万元（日本円 約2,309,790円）","12.09万元（日本円 約2,538,900円）","12.79万元（日本円 約2,685,900円）","13.09万元（日本円 約2,748,900円）","13.09万元（日本円 約2,748,900円）","13.89万元（日本円 約2,916,900円）","13.89万元（日本円 約2,916,900円）","14.39万元（日本円 約3,021,900円）","15.19万元（日本円 約3,189,900円）","15.19万元（日本円 約3,189,900円）","7.999万元（日本円 約1,679,790円）","8.799万元（日本円 約1,847,790円）","9.999万元（日本円 約2,099,790円）","10.999万元（日本円 約2,309,790円）"
,nan,经销商报价,ディーラー販売価格（元）,"7.10万元（日本円 約1,491,000円）","7.90万元（日本円 約1,659,000円）","9.10万元（日本円 約1,911,000円）","10.10万元（日本円 約2,121,000円）","7.59万元（日本円 約1,593,900円）","8.29万元（日本円 約1,740,900円）","8.59万元（日本円 約1,803,900円）","8.59万元（日本円 約1,803,900円）","9.39万元（日本円 約1,971,900円）","9.39万元（日本円 約1,971,900円）","9.89万元（日本円 約2,076,900円）","10.69万元（日本円 約2,244,900円）","10.69万元（日本円 約2,244,900円）","7.10万元（日本円 約1,491,000円）","7.90万元（日本円 約1,659,000円）","5.50万元（日本円 約1,155,000円）","6.50万元（日本円 約1,365,000円）"
基本参数,基本仕様,厂商,メーカー,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン
基本参数,基本仕様,级别,クラス,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2024.10,2024.10,2024.10,2024.10,2023.09,2023.09,2023.09,2023.09,2023.09,2023.09,2023.09,2023.09,2023.09,2024.04,2024.04,2023.06,2023.06
基本参数,基本仕様,最大功率(kW),最大出力(kW),81,81,81,81,81,81,81,81,118,118,118,118,118,81,81,81,81
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),141,141,141,141,141,141,141,141,250,250,250,250,250,141,141,141,141
基本参数,基本仕様,变速箱,トランスミッション,6速AT,6速AT,6速AT,6速AT,6速AT,6速AT,6速AT,6速AT,7速乾式DCT,7速乾式DCT,7速乾式DCT,7速乾式DCT,7速乾式DCT,6速AT,6速AT,6速AT,6速AT
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,1.5L 110馬力 L4,1.5L 110馬力 L4,1.5L 110馬力 L4,1.5L 110馬力 L4,1.5L 110馬力 L4,1.5L 110馬力 L4,1.5L 110馬力 L4,1.5L 110馬力 L4,1.5T 160馬力 L4,1.5T 160馬力 L4,1.5T 160馬力 L4,1.5T 160馬力 L4,1.5T 160馬力 L4,1.5L 110馬力 L4,1.5L 110馬力 L4,1.5L 110馬力 L4,1.5L 110馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4561×1740×1470mm,4561×1740×1470mm,4561×1740×1470mm,4561×1740×1470mm,4678×1806×1474mm,4678×1806×1474mm,4678×1806×1474mm,4678×1806×1474mm,4678×1806×1474mm,4678×1806×1474mm,4678×1806×1474mm,4678×1806×1474mm,4678×1806×1474mm,4561×1740×1494mm,4561×1740×1494mm,4561×1740×1494mm,4561×1740×1494mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),185,185,185,185,188,188,188,188,200,200,200,200,200,185,185,185,185
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),5.98,5.98,5.98,5.98,5.92,5.92,5.92,5.92,5.40,5.40,5.40,5.40,5.40,5.98,5.98,5.98,5.98
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1250,1250,1250,1250,1295,1295,1295,1295,1345,1345,1345,1345,1345,1250,1250,1250,1250
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1710,1710,1710,1710,1755,1755,1755,1755,1805,1805,1805,1805,1805,1710,1710,1710,1710
车身,車体,长度(mm),全長(mm),4561,4561,4561,4561,4678,4678,4678,4678,4678,4678,4678,4678,4678,4561,4561,4561,4561
车身,車体,宽度(mm),全幅(mm),1740,1740,1740,1740,1806,1806,1806,1806,1806,1806,1806,1806,1806,1740,1740,1740,1740
车身,車体,高度(mm),全高(mm),1470,1470,1470,1470,1474,1474,1474,1474,1474,1474,1474,1474,1474,1494,1494,1494,1494
车身,車体,轴距(mm),ホイールベース(mm),2651,2651,2651,2651,2688,2688,2688,2688,2688,2688,2688,2688,2688,2651,2651,2651,2651
