セクション,項目,大众ID.3 2026款 聪明款 纯净智享版,大众ID.3 2026款 聪明款 出众版,大众ID.3 2026款 聪明款 极智版,大众ID.3 2026款 聪明款 出众版GTX套件款,大众ID.3 2026款 聪明款 极智版GTX套件款
,厂商指导价(元),12.9888万 计算器,13.8388万 计算器,14.7888万 计算器,14.8388万 计算器,15.5888万 计算器
,经销商报价,11.99万起 询底价,12.74万起 询底价,13.69万起 询底价,13.74万起 询底价,14.49万起 询底价
基本参数,厂商,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.09,2025.09,2025.09,2025.06,2025.06
基本参数,CLTC纯电续航里程(km),451,451,451,451,451
基本参数,电池快充时间(小时),0.75,0.75,0.75,0.75,0.75
基本参数,电池慢充时间(小时),9.5,9.5,9.5,9.5,9.5
基本参数,电池快充电量范围(%),0-80,0-80,0-80,0-80,0-80
基本参数,电池慢充电量范围(%),0-100,0-100,0-100,0-100,0-100
基本参数,最大功率(kW),125,125,125,125,125
基本参数,最大扭矩(N·m),310,310,310,310,310
基本参数,车身结构,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
基本参数,电动机(Ps),170,170,170,170,170
基本参数,长*宽*高(mm),4261*1778*1568,4261*1778*1568,4261*1778*1568,4266*1778*1568,4266*1778*1568
基本参数,官方0-100km/h加速(s),-,-,-,-,-
基本参数,官方0-50km/h加速(s),3.1,3.1,3.1,3.1,3.1
基本参数,最高车速(km/h),160,160,160,160,160
基本参数,电能当量燃料消耗量(L/100km),1.56,1.56,1.56,1.56,1.56
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1845,1845,1845,1845,1845
基本参数,最大满载质量(kg),2305,2305,2305,2305,2305
车身,长度(mm),4261,4261,4261,4266,4266
车身,宽度(mm),1778,1778,1778,1778,1778
车身,高度(mm),1568,1568,1568,1568,1568
车身,轴距(mm),2765,2765,2765,2765,2765
车身,前轮距(mm),1548,1548,1548,1548,1548
车身,后轮距(mm),1525,1525,1525,1525,1525
车身,接近角(°),16,16,16,16,16
车身,离去角(°),19,19,19,19,19
车身,最小转弯半径(m),4.7,4.7,4.7,4.7,4.7
车身,车身结构,两厢车,两厢车,两厢车,两厢车,两厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),385-1267,385-1267,385-1267,385-1267,385-1267
车身,风阻系数(Cd),-,-,-,-,-
电动机,后电动机品牌,大众汽车,大众汽车,大众汽车,大众汽车,大众汽车
电动机,后电动机型号,EEV,EEV,EEV,EFK,EFK
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),125,125,125,125,125
电动机,电动机总马力(Ps),170,170,170,170,170
电动机,电动机总扭矩(N·m),310,310,310,310,310
电动机,后电动机最大功率(kW),125,125,125,125,125
电动机,后电动机最大扭矩(N·m),310,310,310,310,310
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,后置,后置,后置,后置,后置
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 时代上汽,● 时代上汽,● 时代上汽,● 时代上汽,● 时代上汽
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),451,451,451,451,451
电池/充电,电池能量(kWh),53.6,53.6,53.6,53.6,53.6
电池/充电,百公里耗电量(kWh/100km),13.4,13.4,13.4,13.4,13.4
电池/充电,快充功能,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),100,100,100,100,100
电池/充电,电池快充时间(小时),0.75,0.75,0.75,0.75,0.75
电池/充电,电池慢充时间(小时),9.5,9.5,9.5,9.5,9.5
电池/充电,电池快充电量范围(%),0-80,0-80,0-80,0-80,0-80
电池/充电,电池慢充电量范围(%),0-100,0-100,0-100,0-100,0-100
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
