セクション,セクション_ja,項目,項目_ja,2025年モデル 智驾版 430KM 先進型,2025年モデル 智驾版 430KM 上位型,2025年モデル 智驾版 510KM 先進型,2025年モデル 智驾版 510KM 上位型,2025年モデル 智驾版 510KM プレミアム型,2024年モデル 栄光版 430KM 先進型,2024年モデル 栄光版 430KM 上位型,2024年モデル 栄光版 510KM 先進型,2024年モデル 栄光版 510KM 上位型,2024年モデル 栄光版 510KM プレミアム型,2026年モデル ベーシック型
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"11.58万元（日本円 約2,431,800円）","12.28万元（日本円 約2,578,800円）","12.58万元（日本円 約2,641,800円）","13.58万元（日本円 約2,851,800円）","14.58万元（日本円 約3,061,800円）","11.98万元（日本円 約2,515,800円）","12.68万元（日本円 約2,662,800円）","12.98万元（日本円 約2,725,800円）","13.98万元（日本円 約2,935,800円）","14.78万元（日本円 約3,103,800円）",预售 暂无
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"8.98万元（日本円 約1,885,800円）","9.68万元（日本円 約2,032,800円）","11.98万元（日本円 約2,515,800円）","12.98万元（日本円 約2,725,800円）","13.98万元（日本円 約2,935,800円）","10.38万元（日本円 約2,179,800円）","11.08万元（日本円 約2,326,800円）","9.38万元（日本円 約1,969,800円）","10.38万元（日本円 約2,179,800円）","13.18万元（日本円 約2,767,800円）",暂无
基本参数,基本仕様,厂商,メーカー,ビーワイディー,ビーワイディー,ビーワイディー,ビーワイディー,ビーワイディー,ビーワイディー,ビーワイディー,ビーワイディー,ビーワイディー,ビーワイディー,ビーワイディー
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.03,2025.03,2025.03,2025.03,2025.03,2024.03,2024.03,2024.03,2024.03,2024.03,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),430,430,510,510,510,430,430,510,510,510,-
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),7.13,7.13,8.64,8.64,8.64,7.13,7.13,8.64,8.64,8.64,-
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電可能範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),150,150,150,150,150,150,150,150,150,150,230
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),310,310,310,310,310,310,310,310,310,310,-
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),204,204,204,204,204,204,204,204,204,204,313
