セクション,セクション_ja,項目,項目_ja,2026年モデル 200TSI MT スタンダード,2026年モデル 200TSI DSG スタンダード,2026年モデル 200TSI DSG ナビ付き,2026年モデル 200TSI DSG PRO仕様,2026年モデル 280TSI DSG 快適仕様,2026年モデル 300TSI DSG プレミアム仕様,2025年モデル 改良版 200TSI MT スタンダード,2025年モデル 改良版 200TSI DSG スタンダード,2025年モデル 改良版 200TSI DSG ナビ付き,2025年モデル 改良版 200TSI DSG PRO仕様,2025年モデル 改良版 280TSI DSG 快適仕様,2025年モデル 改良版 300TSI DSG プレミアム仕様
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"11.29万元（日本円 約2,370,900円）","12.39万元（日本円 約2,601,900円）","12.99万元（日本円 約2,727,900円）","13.29万元（日本円 約2,790,900円）","13.59万元（日本円 約2,853,900円）","14.39万元（日本円 約3,021,900円）","11.29万元（日本円 約2,370,900円）","12.39万元（日本円 約2,601,900円）","12.99万元（日本円 約2,727,900円）","13.29万元（日本円 約2,790,900円）","13.59万元（日本円 約2,853,900円）","14.39万元（日本円 約3,021,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"7.69万元（日本円 約1,614,900円）","8.79万元（日本円 約1,845,900円）","9.39万元（日本円 約1,971,900円）","9.69万元（日本円 約2,034,900円）","9.99万元（日本円 約2,097,900円）","10.79万元（日本円 約2,265,900円）","7.69万元（日本円 約1,614,900円）","8.79万元（日本円 約1,845,900円）","9.39万元（日本円 約1,971,900円）","9.69万元（日本円 約2,034,900円）","9.99万元（日本円 約2,097,900円）","10.79万元（日本円 約2,265,900円）"
基本参数,基本仕様,厂商,メーカー,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン
基本参数,基本仕様,级别,クラス,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.11,2025.11,2025.11,2025.11,2025.11,2025.11,2025.06,2025.06,2025.06,2025.06,2025.06,2025.06
基本参数,基本仕様,最大功率(kW),最大出力(kW),85,85,85,85,110,118,85,85,85,85,110,118
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),200,200,200,200,250,250,200,200,200,200,250,250
基本参数,基本仕様,变速箱,トランスミッション,5速マニュアル,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,5速マニュアル,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ
