セクション,項目,驱逐舰05 2025款 DM-i 55KM 畅行版,驱逐舰05 2025款 DM-i 120KM 畅行版,驱逐舰05 2024款 荣耀版 DM-i 55KM 豪华型,驱逐舰05 2024款 荣耀版 DM-i 55KM 尊贵型,驱逐舰05 2024款 荣耀版 DM-i 120KM 豪华型,驱逐舰05 2024款 荣耀版 DM-i 120KM 尊贵型,驱逐舰05 2024款 荣耀版 DM-i 120KM 尊荣型,驱逐舰05 2024款 荣耀版 DM-i 120KM 旗舰型,驱逐舰05 2024款 DM-i 55KM 领航荣耀版,驱逐舰05 2024款 DM-i 120KM 领航荣耀版
,厂商指导价(元),10.18万 计算器,12.18万 计算器,7.98万 计算器,9.38万 计算器,9.98万 计算器,10.88万 计算器,11.78万 计算器,12.88万 计算器,11.88万 计算器,13.68万 计算器
,经销商报价,暂无报价 询底价,暂无报价 询底价,6.98万起 询底价,8.38万起 询底价,8.98万起 询底价,9.88万起 询底价,10.78万起 询底价,11.88万起 询底价,暂无报价 询底价,暂无报价 询底价
基本参数,厂商,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.05,2025.05,2024.02,2024.02,2024.02,2024.02,2024.02,2024.02,2024.07,2024.07
基本参数,NEDC纯电续航里程(km),55,120,55,55,120,120,120,120,55,120
基本参数,WLTC纯电续航里程(km),46,101,46,46,101,101,101,101,46,101
基本参数,电池快充时间(小时),-,1.1,-,-,1.1,1.1,1.1,1.1,-,1.1
基本参数,电池慢充时间(小时),2.5,5.5,2.5,2.5,5.5,5.5,5.5,5.5,2.5,5.5
基本参数,电池快充电量范围(%),-,80,-,-,80,80,80,80,-,80
基本参数,最大功率(kW),-,-,-,-,-,-,-,-,-,-
基本参数,最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-
基本参数,变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4
基本参数,电动机(Ps),180,197,180,180,197,197,197,197,180,197
基本参数,长*宽*高(mm),4780*1837*1495,4780*1837*1495,4780*1837*1495,4780*1837*1495,4780*1837*1495,4780*1837*1495,4780*1837*1495,4780*1837*1495,4780*1837*1495,4780*1837*1495
基本参数,官方0-100km/h加速(s),7.9,7.3,7.9,7.9,7.3,7.3,7.3,7.3,7.9,7.3
基本参数,最高车速(km/h),185,185,185,185,185,185,185,185,185,185
