セクション,項目,天籁 2025款 2.0L XL-TLS 悦享版,天籁 2025款 2.0L SV 黑金版,天籁 2025款 2.0T XV 尊享版,天籁 2024款 2.0L XE 真心版,天籁 2024款 2.0L SV 黑金版,天籁 2022款 2.0L XL-Upr 优享版,天籁 2022款 2.0L XL-TLS 悦享版,天籁 2022款 2.0T XL 进享版,天籁 2022款 2.0T XV 尊享版
,厂商指导价(元),18.88万 计算器,19.12万 计算器,23.98万 计算器,17.98万 计算器,19.12万 计算器,19.98万 计算器,18.88万 计算器,21.68万 计算器,23.98万 计算器
,经销商报价,12.73万起 询底价,12.97万起 询底价,17.83万起 询底价,11.83万起 询底价,13.37万起 询底价,14.23万起 询底价,12.88万起 询底价,15.93万起 询底价,18.23万起 询底价
基本参数,厂商,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产
基本参数,级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.07,2025.07,2025.07,2024.09,2024.04,2022.09,2022.09,2022.09,2022.09
基本参数,最大功率(kW),115,115,179,115,115,115,115,179,179
基本参数,最大扭矩(N·m),197,197,371,197,197,197,197,371,371
基本参数,变速箱,CVT无级变速,CVT无级变速,CVT无级变速(模拟8挡),CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速(模拟8挡)
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,2.0L 156马力 L4,2.0L 156马力 L4,2.0T 243马力 L4,2.0L 156马力 L4,2.0L 156马力 L4,2.0L 156马力 L4,2.0L 156马力 L4,2.0T 243马力 L4,2.0T 243马力 L4
基本参数,长*宽*高(mm),4906*1850*1447,4906*1850*1447,4906*1850*1447,4906*1850*1447,4906*1850*1447,4906*1850*1447,4906*1850*1447,4906*1850*1447,4906*1850*1447
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),197,197,225,197,197,197,197,210,225
基本参数,WLTC综合油耗(L/100km),6.41,6.41,7.12,6.41,6.41,6.41,6.41,7.12,7.12
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1518,1518,1590,1460,1518,1518,1518,1590,1590
基本参数,最大满载质量(kg),1915,1915,1995,1915,1915,1915,1915,1995,1995
车身,长度(mm),4906,4906,4906,4906,4906,4906,4906,4906,4906
车身,宽度(mm),1850,1850,1850,1850,1850,1850,1850,1850,1850
车身,高度(mm),1447,1447,1447,1447,1447,1447,1447,1447,1447
车身,轴距(mm),2825,2825,2825,2825,2825,2825,2825,2825,2825
车身,前轮距(mm),1605,1605,1595,1605,1605,1605,1605,1595,1595
车身,后轮距(mm),1605,1605,1595,1605,1605,1605,1605,1595,1595
车身,空载最小离地间隙(mm),132,132,133,132,132,133,132,129,133
车身,接近角(°),13,13,13,13,13,13,13,13,13
车身,离去角(°),12,12,12,12,12,12,12,12,12
车身,最小转弯半径(m),5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
