セクション,セクション_ja,項目,項目_ja,2025年モデル 2.0L XL TLS 悦享版,2025年モデル 2.0L SV 黒金版,2025年モデル 2.0T XV 尊享版,2024年モデル 2.0L XE 真心版,2024年モデル 2.0L SV 黒金版,2022年モデル 2.0L XL Upr 優享版,2022年モデル 2.0L XL TLS 悦享版,2022年モデル 2.0T XL 進享版,2022年モデル 2.0T XV 尊享版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"18.88万元（日本円 約3,964,800円）","19.12万元（日本円 約4,015,200円）","23.98万元（日本円 約5,035,800円）","17.98万元（日本円 約3,775,800円）","19.12万元（日本円 約4,015,200円）","19.98万元（日本円 約4,195,800円）","18.88万元（日本円 約3,964,800円）","21.68万元（日本円 約4,552,800円）","23.98万元（日本円 約5,035,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"12.73万元（日本円 約2,673,300円）","12.97万元（日本円 約2,723,700円）","17.83万元（日本円 約3,744,300円）","11.98万元（日本円 約2,515,800円）","13.37万元（日本円 約2,807,700円）","14.23万元（日本円 約2,988,300円）","12.88万元（日本円 約2,704,800円）","15.93万元（日本円 約3,345,300円）","18.23万元（日本円 約3,828,300円）"
基本参数,基本仕様,厂商,メーカー,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産
基本参数,基本仕様,级别,クラス,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.07,2025.07,2025.07,2024.09,2024.04,2022.09,2022.09,2022.09,2022.09
基本参数,基本仕様,最大功率(kW),最大出力(kW),115,115,179,115,115,115,115,179,179
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),197,197,371,197,197,197,197,371,371
基本参数,基本仕様,变速箱,トランスミッション,CVT無段変速,CVT無段変速,CVT無段変速（8速マニュアルモード）,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速（8速マニュアルモード）
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,2.0L 156馬力 直列4気筒,2.0L 156馬力 直列4気筒,2.0T 243馬力 直列4気筒,2.0L 156馬力 直列4気筒,2.0L 156馬力 直列4気筒,2.0L 156馬力 直列4気筒,2.0L 156馬力 直列4気筒,2.0T 243馬力 直列4気筒,2.0T 243馬力 直列4気筒
