セクション,セクション_ja,項目,項目_ja,2026年モデル リンドウ アップグレード版,2026年モデル リンドウ ロングレンジ版,2026年モデル リンドウ 新ラグジュアリー版,2026年モデル BRABUS パフォーマンス版
,nan,厂商指导价(元),メーカー希望小売価格(元),"15.49万元（日本円 約3,252,900円）","17.49万元（日本円 約3,672,900円）","19.99万元（日本円 約4,197,900円）","24.99万元（日本円 約5,247,900円）"
,nan,经销商报价,ディーラー販売価格（元）,"14.04万元（日本円 約2,948,400円）","16.04万元（日本円 約3,368,400円）","18.54万元（日本円 約3,893,400円）","24.99万元（日本円 約5,247,900円）"
基本参数,基本仕様,厂商,メーカー,スマート,スマート,スマート,スマート
基本参数,基本仕様,级别,クラス,小型SUV,小型SUV,小型SUV,小型SUV
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.05,2025.05,2025.05,2025.08
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),410,545,570,470
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.5,0.5
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),5.5,7.5,7.5,7.5
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電範囲(%),10-80,10-80,10-80,10-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電範囲(%),10-80,10-80,10-80,10-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),175,175,250,365
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),300,300,373,573
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),238,238,340,496
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4270*1822*1636,4270*1822*1636,4270*1822*1636,4300*1822*1636
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),6.9,6.9,5.1,3.6
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,180
