セクション,セクション_ja,項目,項目_ja,2025年モデル 2.0L e HEV 鋭・先鋒版,2025年モデル 2.0L e HEV 鋭・テクノロジー版,2025年モデル ハッチバック 2.0L e HEV 鋭・快適型クールパッケージ,2025年モデル 240TURBO MT スピード版,2025年モデル 240TURBO CVT テクノロジー版,2025年モデル ハッチバック 240TURBO MT スピード版,2025年モデル ハッチバック 240TURBO MT チャンピオン版,2024年モデル 240TURBO CVT 無限MUGEN版,2023年モデル 2.0L e HEV 鋭・テクノロジー版,2023年モデル 2.0L e HEV 鋭・豪華版,2023年モデル 2.0L e HEV 鋭・尊享版,2023年モデル ハッチバック 2.0L e HEV 鋭・リーダー版,2023年モデル ハッチバック 2.0L e HEV 鋭・豪華版,2023年モデル ハッチバック 240TURBO MT 専用版,2023年モデル ハッチバック 240TURBO CVT リーダー版,2023年モデル ハッチバック 240TURBO CVT 幻夜・豪華版,2023年モデル ハッチバック 240TURBO CVT 幻夜・尊享版,2023年モデル 240TURBO MT 専用版,2023年モデル 240TURBO CVT リーディング版,2023年モデル 240TURBO CVT テクノロジー版,2023年モデル 240TURBO CVT 幻夜・テクノロジー版,2023年モデル 240TURBO CVT スマート享受版,2023年モデル 240TURBO CVT 豪華版,2023年モデル 240TURBO CVT 幻夜・豪華版,2023年モデル 240TURBO CVT 尊享版
,nan,厂商指导价(元),メーカー希望小売価格(元),"13.99万元（日本円 約2,937,900円）","15.29万元（日本円 約3,210,900円）","17.09万元（日本円 約3,588,900円）","12.99万元（日本円 約2,727,900円）","13.99万元（日本円 約2,937,900円）","13.99万元（日本円 約2,937,900円）","16.19万元（日本円 約3,399,900円）","15.79万元（日本円 約3,315,900円）","16.39万元（日本円 約3,441,900円）","17.79万元（日本円 約3,735,900円）","18.69万元（日本円 約3,924,900円）","16.99万元（日本円 約3,567,900円）","18.29万元（日本円 約3,840,900円）","13.99万元（日本円 約2,937,900円）","14.89万元（日本円 約3,126,900円）","15.89万元（日本円 約3,336,900円）","17.19万元（日本円 約3,609,900円）","12.99万元（日本円 約2,727,900円）","14.19万元（日本円 約2,979,900円）","14.29万元（日本円 約3,000,900円）","14.99万元（日本円 約3,147,900円）","15.19万元（日本円 約3,189,900円）","15.29万元（日本円 約3,210,900円）","15.79万元（日本円 約3,315,900円）","16.69万元（日本円 約3,504,900円）"
,nan,经销商报价,ディーラー販売価格（元）,"8.79万元（日本円 約1,845,900円）","10.09万元（日本円 約2,118,900円）","11.89万元（日本円 約2,496,900円）","9.29万元（日本円 約1,950,900円）","10.29万元（日本円 約2,160,900円）","10.29万元（日本円 約2,160,900円）","12.49万元（日本円 約2,622,900円）","12.59万元（日本円 約2,643,900円）","11.19万元（日本円 約2,349,900円）","12.59万元（日本円 約2,643,900円）","13.49万元（日本円 約2,832,900円）","11.79万元（日本円 約2,475,900円）","13.09万元（日本円 約2,748,900円）","10.39万元（日本円 約2,181,900円）","11.29万元（日本円 約2,370,900円）","12.29万元（日本円 約2,580,900円）","13.59万元（日本円 約2,853,900円）","9.79万元（日本円 約2,055,900円）","10.99万元（日本円 約2,307,900円）","11.09万元（日本円 約2,328,900円）","11.79万元（日本円 約2,475,900円）","11.99万元（日本円 約2,517,900円）","12.09万元（日本円 約2,538,900円）","12.59万元（日本円 約2,643,900円）","13.49万元（日本円 約2,832,900円）"
基本参数,基本仕様,厂商,メーカー,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ
基本参数,基本仕様,级别,クラス,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー
基本参数,基本仕様,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2024.03,2022.12,2022.12,2022.12,2023.02,2023.02,2023.02,2023.02,2023.02,2023.02,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04
基本参数,基本仕様,最大功率(kW),最大出力(kW),149,149,149,134,134,134,134,134,149,149,149,149,149,134,134,134,134,134,134,134,134,134,134,134,134
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,-,-,240,240,240,240,240,-,-,-,-,-,240,240,240,240,240,240,240,240,240,240,240,240
基本参数,基本仕様,变速箱,トランスミッション,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,6速マニュアル,CVT無段変速,6速マニュアル,6速マニュアル,CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,6速マニュアル,CVT無段変速,CVT無段変速,CVT無段変速,6速マニュアル,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,5ドア5人乗りハッチバック,4ドア5人乗りセダン,4ドア5人乗りセダン,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,2.0L 143馬力 L4,2.0L 143馬力 L4,2.0L 143馬力 L4,1.5T 182馬力 L4,1.5T 182馬力 L4,1.5T 182馬力 L4,1.5T 182馬力 L4,1.5T 182馬力 L4,2.0L 143馬力 L4,2.0L 143馬力 L4,2.0L 143馬力 L4,2.0L 143馬力 L4,2.0L 143馬力 L4,1.5T 182馬力 L4,1.5T 182馬力 L4,1.5T 182馬力 L4,1.5T 182馬力 L4,1.5T 182馬力 L4,1.5T 182馬力 L4,1.5T 182馬力 L4,1.5T 182馬力 L4,1.5T 182馬力 L4,1.5T 182馬力 L4,1.5T 182馬力 L4,1.5T 182馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),184,184,184,-,-,-,-,-,184,184,184,184,184,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4689×1802×1415（mm）,4689×1802×1415（mm）,4563×1802×1420（mm）,4689×1802×1415（mm）,4689×1802×1415（mm）,4563×1802×1415（mm）,4563×1802×1420（mm）,4702×1802×1415（mm）,4689×1802×1415（mm）,4689×1802×1420（mm）,4689×1802×1420（mm）,4563×1802×1415（mm）,4563×1802×1420（mm）,4563×1802×1415（mm）,4563×1802×1415（mm）,4563×1802×1420（mm）,4563×1802×1420（mm）,4689×1802×1415（mm）,4689×1802×1415（mm）,4689×1802×1415（mm）,4689×1802×1415（mm）,4689×1802×1415（mm）,4689×1802×1415（mm）,4689×1802×1420（mm）,4689×1802×1420（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,208,200,208,208,200,180,180,180,180,180,208,200,200,200,208,200,200,200,200,200,200,200
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),4.39,4.39,4.67,5.84,6.44,6.11,6.11,6.28,4.39,4.47,4.51,4.61,4.67,5.91,6.12,6.28,6.28,5.67,6.01,6.01,6.28,6.28,6.28,6.36,6.36
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1440,1458,1487,1301,1362,1341,1368,1378,1473,1488,1507,1475,1487,1350,1391,1412,1433,1312,1363,1363,1375,1384,1384,1390,1412
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1935,1935,1935,1740,1825,1840,1840,1825,1935,1935,1935,1935,1935,1840,1840,1840,1840,1740,1825,1825,1825,1825,1825,1825,1825
车身,車体,长度(mm),全長(mm),4689,4689,4563,4689,4689,4563,4563,4702,4689,4689,4689,4563,4563,4563,4563,4563,4563,4689,4689,4689,4689,4689,4689,4689,4689
车身,車体,宽度(mm),全幅(mm),1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802
车身,車体,高度(mm),全高(mm),1415,1415,1420,1415,1415,1415,1420,1415,1415,1420,1420,1415,1420,1415,1415,1420,1420,1415,1415,1415,1415,1415,1415,1420,1420
车身,車体,轴距(mm),ホイールベース(mm),2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735
车身,車体,前轮距(mm),前トレッド(mm),1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547
车身,車体,后轮距(mm),後トレッド(mm),1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575
车身,車体,接近角(°),アプローチアングル(°),14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
车身,車体,离去角(°),デパーチャーアングル(°),19,19,21,19,19,21,21,19,19,19,19,21,21,21,21,21,21,19,19,19,19,19,19,19,19
车身,車体,最小转弯半径(m),最小回転半径(m),5.35,5.35,5.65,5.35,5.35,5.35,5.65,5.35,5.35,5.65,5.65,5.35,5.65,5.35,5.35,5.65,5.65,-,-,-,-,-,-,5.65,-
车身,車体,车身结构,ボディ構造,セダン,セダン,ハッチバック,セダン,セダン,ハッチバック,ハッチバック,セダン,セダン,セダン,セダン,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン
