セクション,セクション_ja,項目,項目_ja,2026年モデル 2.0L インテリジェントハイブリッド 先鋒版,2026年モデル 2.0L インテリジェントハイブリッド エリート版,2026年モデル 2.0L インテリジェントハイブリッド ラグジュアリー版,2026年モデル 2.0L 先鋒版,2026年モデル 2.0L エリート版,2026年モデル 2.0L ラグジュアリー版,2024年モデル 2.0L インテリジェントハイブリッド 先鋒版,2024年モデル 2.0L インテリジェントハイブリッド エリート版,2024年モデル 2.0L インテリジェントハイブリッド ラグジュアリー版,2024年モデル 2.0L インテリジェントハイブリッド フラッグシップ版,2024年モデル 2.0L 先鋒版,2024年モデル 2.0L エリート版,2024年モデル 2.0L ラグジュアリー版,2024年モデル 2.0L フラッグシップ版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"13.98万元（日本円 約2,935,800円）","14.98万元（日本円 約3,145,800円）","15.98万元（日本円 約3,355,800円）","12.68万元（日本円 約2,662,800円）","13.68万元（日本円 約2,872,800円）","14.98万元（日本円 約3,145,800円）","13.98万元（日本円 約2,935,800円）","14.98万元（日本円 約3,145,800円）","15.98万元（日本円 約3,355,800円）","18.48万元（日本円 約3,880,800円）","12.98万元（日本円 約2,725,800円）","13.98万元（日本円 約2,935,800円）","14.98万元（日本円 約3,145,800円）","16.98万元（日本円 約3,565,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"10.88万元（日本円 約2,284,800円）","11.88万元（日本円 約2,494,800円）","12.88万元（日本円 約2,704,800円）","9.58万元（日本円 約2,011,800円）","10.58万元（日本円 約2,221,800円）","11.88万元（日本円 約2,494,800円）","10.48万元（日本円 約2,200,800円）","11.48万元（日本円 約2,410,800円）","12.48万元（日本円 約2,620,800円）","14.98万元（日本円 約3,145,800円）","9.48万元（日本円 約1,990,800円）","10.48万元（日本円 約2,200,800円）","11.48万元（日本円 約2,410,800円）","13.48万元（日本円 約2,830,800円）"
基本参数,基本仕様,厂商,メーカー,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2024.06,2024.06,2024.06,2024.06,2024.06,2024.06,2024.06,2024.06
基本参数,基本仕様,最大功率(kW),最大出力(kW),144,144,144,126,126,126,144,144,144,144,126,126,126,126
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,-,-,205,205,205,-,-,-,-,205,205,205,205
基本参数,基本仕様,变速箱,トランスミッション,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,2.0L 158馬力 L4,2.0L 158馬力 L4,2.0L 158馬力 L4,2.0L 171馬力 L4,2.0L 171馬力 L4,2.0L 171馬力 L4,2.0L 152馬力 L4,2.0L 152馬力 L4,2.0L 152馬力 L4,2.0L 152馬力 L4,2.0L 171馬力 L4,2.0L 171馬力 L4,2.0L 171馬力 L4,2.0L 171馬力 L4
基本参数,基本仕様,电动机(Ps),モーター（Ps）,113,113,113,-,-,-,113,113,113,113,-,-,-,-
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4460×1825×1625mm,4460×1825×1625mm,4460×1825×1625mm,4460×1825×1625mm,4460×1825×1625mm,4460×1825×1625mm,4460×1825×1620mm,4460×1825×1620mm,4460×1825×1620mm,4460×1825×1620mm,4460×1825×1620mm,4460×1825×1620mm,4460×1825×1620mm,4460×1825×1620mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,180,180,180,180,180,180,180,180,180,180,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),4.56,4.56,4.56,6.42,6.42,6.42,4.56,4.56,4.56,4.59,6.16,6.16,6.16,6.1
