セクション,項目,林肯Z 2025款 2.0T 尊悦版,林肯Z 2025款 2.0T 尊尚版,林肯Z 2025款 2.0T 尊逸版,林肯Z 2025款 2.0T 尊尚混动版,林肯Z 2025款 2.0T 尊逸混动版,林肯Z 2025款 2.0T 骑士特别版,林肯Z 2025款 2.0T 尊耀混动版
,厂商指导价(元),23.58万 计算器,25.48万 计算器,27.98万 计算器,27.48万 计算器,29.98万 计算器,30.58万 计算器,36.58万 计算器
,经销商报价,16.98万起,18.88万起,21.38万起,20.88万起,23.38万起,23.98万起,29.98万起
基本参数,厂商,长安林肯,长安林肯,长安林肯,长安林肯,长安林肯,长安林肯,长安林肯
基本参数,级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09
基本参数,最大功率(kW),192,192,192,234,234,234,234
基本参数,最大扭矩(N·m),393,393,393,-,-,-,-
基本参数,变速箱,8挡手自一体,8挡手自一体,8挡手自一体,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,2.0T 261马力 L4,2.0T 261马力 L4,2.0T 261马力 L4,2.0T 294马力 L4,2.0T 294马力 L4,2.0T 294马力 L4,2.0T 294马力 L4
基本参数,电动机(Ps),-,-,-,190,190,190,190
基本参数,长*宽*高(mm),4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485
基本参数,官方0-100km/h加速(s),6.99,6.99,6.99,6.04,6.04,6.04,6.04
基本参数,最高车速(km/h),220,220,220,189,189,189,189
基本参数,WLTC综合油耗(L/100km),7.13,7.13,7.22,5.99,5.99,5.99,5.99
基本参数,整车质保,● 五年或14万公里,● 五年或14万公里,● 五年或14万公里,● 五年或14万公里,● 五年或14万公里,● 五年或14万公里,● 五年或14万公里
基本参数,整备质量(kg),1596,1596,1635,1690,1723,1723,1723
基本参数,最大满载质量(kg),2055,2055,2055,2145,2145,2145,2145
车身,长度(mm),4982,4982,4982,4982,4982,4982,4982
车身,宽度(mm),1865,1865,1865,1865,1865,1865,1865
车身,高度(mm),1485,1485,1485,1485,1485,1485,1485
车身,轴距(mm),2930,2930,2930,2930,2930,2930,2930
车身,前轮距(mm),1599,1599,1599,1599,1599,1599,1599
车身,后轮距(mm),1593,1593,1593,1593,1593,1593,1593
车身,接近角(°),14,14,14,14,14,14,14
车身,离去角(°),16,16,16,16,16,16,16
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),66,66,66,53,53,53,53
车身,后备厢容积(L),489,489,464,476,453,453,453
车身,风阻系数(Cd),-,-,-,-,-,-,-
发动机,发动机型号,CAF484WQC1,CAF484WQC1,CAF484WQC1,CAF484WQH1,CAF484WQH1,CAF484WQH1,CAF484WQH1
发动机,排量(mL),1995,1995,1995,1995,1995,1995,1995
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),261,261,261,294,294,294,294
发动机,最大功率(kW),192,192,192,216,216,216,216
发动机,最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500
发动机,最大扭矩(N·m),393,393,393,410,410,410,410
发动机,最大扭矩转速(rpm),2000-4000,2000-4000,2000-4000,3000-4500,3000-4500,3000-4500,3000-4500
发动机,最大净功率(kW),190,190,190,214,214,214,214
发动机,能源类型,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合
发动机,燃油标号,95号,95号,95号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,-,-,-,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),-,-,-,140,140,140,140
电动机,电动机总马力(Ps),-,-,-,190,190,190,190
电动机,电动机总扭矩(N·m),-,-,-,320,320,320,320
电动机,前电动机最大功率(kW),-,-,-,140,140,140,140
电动机,前电动机最大扭矩(N·m),-,-,-,320,320,320,320
电动机,系统综合功率(kW),-,-,-,234,234,234,234
电动机,系统综合功率(Ps),-,-,-,318,318,318,318
电动机,驱动电机数,-,-,-,单电机,单电机,单电机,单电机
电动机,电机布局,-,-,-,前置,前置,前置,前置
电池/充电,电池类型,-,-,-,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,-,-,-,● 比亚迪,● 比亚迪,● 比亚迪,● 比亚迪
变速箱,简称,8挡手自一体,8挡手自一体,8挡手自一体,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
变速箱,挡位个数,8,8,8,无级变速,无级变速,无级变速,无级变速
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/50 R18,● 235/50 R18,● 235/45 R19,● 235/50 R18,● 235/45 R19,● 235/45 R19,● 235/45 R19
车轮制动,后轮胎规格,● 235/50 R18,● 235/50 R18,● 235/45 R19,● 235/50 R18,● 235/45 R19,● 235/45 R19,● 235/45 R19
车轮制动,备胎规格,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
被动安全,被动行人保护,●,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
