セクション,セクション_ja,項目,項目_ja,2025年モデル 2.0T 尊悦版,2025年モデル 2.0T 尊尚版,2025年モデル 2.0T 尊逸版,2025年モデル 2.0T 尊尚ハイブリッド版,2025年モデル 2.0T 尊逸ハイブリッド版,2025年モデル 2.0T ナイト特別版,2025年モデル 2.0T 尊耀ハイブリッド版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"23.58万元（日本円 約4,951,800円）","25.48万元（日本円 約5,350,800円）","27.98万元（日本円 約5,875,800円）","27.48万元（日本円 約5,770,800円）","29.98万元（日本円 約6,295,800円）","30.58万元（日本円 約6,421,800円）","36.58万元（日本円 約7,681,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"16.98万元（日本円 約3,565,800円）","18.88万元（日本円 約3,964,800円）","21.38万元（日本円 約4,489,800円）","20.88万元（日本円 約4,384,800円）","23.38万元（日本円 約4,909,800円）","23.98万元（日本円 約5,035,800円）","29.98万元（日本円 約6,295,800円）"
基本参数,基本仕様,厂商,メーカー,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン
基本参数,基本仕様,级别,クラス,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09
基本参数,基本仕様,最大功率(kW),最大出力(kW),192,192,192,234,234,234,234
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),393,393,393,-,-,-,-
基本参数,基本仕様,变速箱,トランスミッション,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 294馬力 L4,2.0T 294馬力 L4,2.0T 294馬力 L4,2.0T 294馬力 L4
基本参数,基本仕様,电动机(Ps),モーター（Ps）,-,-,-,190,190,190,190
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4982×1865×1485（mm）,4982×1865×1485（mm）,4982×1865×1485（mm）,4982×1865×1485（mm）,4982×1865×1485（mm）,4982×1865×1485（mm）,4982×1865×1485（mm）
