セクション,項目,宝马5系 2026款 525Li 豪华套装,宝马5系 2026款 525Li M运动套装,宝马5系 2026款 530Li 领先型 豪华套装,宝马5系 2026款 530Li 领先型 M运动套装,宝马5系 2026款 530Li xDrive M运动套装,宝马5系 2026款 530Li 尊享型 豪华套装,宝马5系 2026款 530Li 尊享型 M运动套装,宝马5系 2025款 525Li 豪华套装,宝马5系 2025款 525Li M运动套装,宝马5系 2025款 530Li 领先型 豪华套装,宝马5系 2025款 530Li 领先型 M运动套装,宝马5系 2025款 530Li xDrive 豪华套装,宝马5系 2025款 530Li xDrive M运动套装,宝马5系 2025款 530Li 尊享型 豪华套装,宝马5系 2025款 530Li 尊享型 M运动套装
,厂商指导价(元),43.99万 计算器,43.99万 计算器,48.59万 计算器,48.59万 计算器,50.59万 计算器,52.59万 计算器,52.59万 计算器,43.99万 计算器,43.99万 计算器,48.59万 计算器,48.59万 计算器,50.59万 计算器,50.59万 计算器,52.59万 计算器,52.59万 计算器
,经销商报价,32.00万起 询底价,32.00万起 询底价,36.60万起 询底价,36.60万起 询底价,38.60万起 询底价,40.60万起 询底价,40.60万起 询底价,32.00万起 询底价,32.00万起 询底价,36.60万起 询底价,36.60万起 询底价,38.60万起 询底价,38.60万起 询底价,40.60万起 询底价,40.60万起 询底价
基本参数,厂商,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马
基本参数,级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
基本参数,能源类型,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2024.12,2024.12,2024.12,2024.12,2024.12,2024.12,2024.12,2024.12
基本参数,最大功率(kW),140,140,190,190,190,190,190,140,140,190,190,190,190,190,190
基本参数,最大扭矩(N·m),310,310,400,400,400,400,400,310,310,400,400,400,400,400,400
基本参数,变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
