セクション,セクション_ja,項目,項目_ja,2026年モデル 525Li ラグジュアリーセット,2026年モデル 525Li Mスポーツセット,2026年モデル 530Li 先進型 ラグジュアリーセット,2026年モデル 530Li 先進型 Mスポーツセット,2026年モデル 530Li xDrive Mスポーツセット,2026年モデル 530Li プレミアム型 ラグジュアリーセット,2026年モデル 530Li プレミアム型 Mスポーツセット,2025年モデル 525Li ラグジュアリーセット,2025年モデル 525Li Mスポーツセット,2025年モデル 530Li 先進型 ラグジュアリーセット,2025年モデル 530Li 先進型 Mスポーツセット,2025年モデル 530Li xDrive ラグジュアリーセット,2025年モデル 530Li xDrive Mスポーツセット,2025年モデル 530Li プレミアム型 ラグジュアリーセット,2025年モデル 530Li プレミアム型 Mスポーツセット
,nan,厂商指导价(元),メーカー希望小売価格(元),"43.99万元（日本円 約9,237,900円）","43.99万元（日本円 約9,237,900円）","48.59万元（日本円 約10,203,900円）","48.59万元（日本円 約10,203,900円）","50.59万元（日本円 約10,623,900円）","52.59万元（日本円 約11,043,900円）","52.59万元（日本円 約11,043,900円）","43.99万元（日本円 約9,237,900円）","43.99万元（日本円 約9,237,900円）","48.59万元（日本円 約10,203,900円）","48.59万元（日本円 約10,203,900円）","50.59万元（日本円 約10,623,900円）","50.59万元（日本円 約10,623,900円）","52.59万元（日本円 約11,043,900円）","52.59万元（日本円 約11,043,900円）"
,nan,经销商报价,ディーラー販売価格（元）,"32.00万元（日本円 約6,720,000円）","32.00万元（日本円 約6,720,000円）","36.60万元（日本円 約7,686,000円）","36.60万元（日本円 約7,686,000円）","38.60万元（日本円 約8,106,000円）","40.60万元（日本円 約8,526,000円）","40.60万元（日本円 約8,526,000円）","32.00万元（日本円 約6,720,000円）","32.00万元（日本円 約6,720,000円）","36.60万元（日本円 約7,686,000円）","36.60万元（日本円 約7,686,000円）","38.60万元（日本円 約8,106,000円）","38.60万元（日本円 約8,106,000円）","40.60万元（日本円 約8,526,000円）","40.60万元（日本円 約8,526,000円）"
基本参数,基本仕様,厂商,メーカー,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW
基本参数,基本仕様,级别,クラス,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム
基本参数,基本仕様,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2024.12,2024.12,2024.12,2024.12,2024.12,2024.12,2024.12,2024.12
基本参数,基本仕様,最大功率(kW),最大出力(kW),140,140,190,190,190,190,190,140,140,190,190,190,190,190,190
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),310,310,400,400,400,400,400,310,310,400,400,400,400,400,400
基本参数,基本仕様,变速箱,トランスミッション,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）,8速AT（オートマチック・マニュアルモード付）
