セクション,項目,宝马i3 2026款 eDrive 35 L,宝马i3 2026款 eDrive 40 L 曜夜套装,宝马i3 2026款 eDrive 40 L 曜夜运动套装,宝马i3 2025款 eDrive 35 L,宝马i3 2025款 eDrive 40 L 曜夜套装,宝马i3 2025款 eDrive 40 L 曜夜运动套装,宝马i3 2025款 eDrive 40 L 50周年限量版
,厂商指导价(元),35.39万 计算器,38.39万 计算器,41.39万 计算器,35.39万 计算器,38.39万 计算器,41.39万 计算器,35.99万 计算器
,经销商报价,20.69万起,23.83万起,25.69万起,18.57万起,20.89万起,23.80万起,21.28万起
基本参数,厂商,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马
基本参数,级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.09,2025.09,2025.09,2024.09,2024.09,2024.09,2025.04
基本参数,CLTC纯电续航里程(km),550,625,625,526,592,592,592
基本参数,电池快充时间(小时),0.52,0.53,0.53,0.52,0.53,0.53,0.53
基本参数,电池慢充时间(小时),10.75,12.25,12.25,10.75,12.25,12.25,12.25
基本参数,电池快充电量范围(%),10-80,10-80,10-80,10-80,10-80,10-80,10-80
基本参数,电池慢充电量范围(%),0-100,0-100,0-100,0-100,0-100,0-100,0-100
基本参数,最大功率(kW),210,250,250,210,250,250,250
基本参数,最大扭矩(N·m),400,430,430,400,430,430,430
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,电动机(Ps),286,340,340,286,340,340,340
基本参数,长*宽*高(mm),4872*1846*1481,4872*1846*1481,4872*1846*1481,4872*1846*1481,4872*1846*1481,4872*1846*1481,4872*1846*1481
基本参数,官方0-100km/h加速(s),6.2,5.6,5.6,6.2,5.6,5.6,5.6
基本参数,最高车速(km/h),180,180,180,180,180,180,180
基本参数,电能当量燃料消耗量(L/100km),1.58,1.56,1.59,1.62,1.59,1.59,1.59
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),2029,2087,2087,2029,2087,2087,2087
基本参数,最大满载质量(kg),2530,2580,2580,2530,2580,2580,2580
车身,长度(mm),4872,4872,4872,4872,4872,4872,4872
车身,宽度(mm),1846,1846,1846,1846,1846,1846,1846
车身,高度(mm),1481,1481,1481,1481,1481,1481,1481
车身,轴距(mm),2966,2966,2966,2966,2966,2966,2966
车身,前轮距(mm),1593,1593,1603,1593,1593,1603,1603
车身,后轮距(mm),1581,1581,1581,1581,1581,1581,1581
车身,接近角(°),16,16,16,16,16,16,16
车身,离去角(°),15,15,15,15,15,15,15
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),410,410,410,410,410,410,410
车身,风阻系数(Cd),-,-,-,-,-,-,-
电动机,电机类型,励磁/同步,励磁/同步,励磁/同步,励磁/同步,励磁/同步,励磁/同步,励磁/同步
电动机,电动机总功率(kW),210,250,250,210,250,250,250
电动机,电动机总马力(Ps),286,340,340,286,340,340,340
电动机,电动机总扭矩(N·m),400,430,430,400,430,430,430
电动机,后电动机最大功率(kW),210,250,250,210,250,250,250
电动机,后电动机最大扭矩(N·m),400,430,430,400,430,430,430
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,后置,后置,后置,后置,后置,后置,后置
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,换电,不支持,不支持,不支持,不支持,不支持,不支持,不支持
电池/充电,CLTC纯电续航里程(km),550,625,625,526,592,592,592
电池/充电,电池能量(kWh),70.2,79.1,79.1,70,79.05,79.05,79.05
电池/充电,电池能量密度(Wh/kg),138,140,140,138,140,140,140
电池/充电,百公里耗电量(kWh/100km),13.6,13.4,13.4,14.3,14.1,14.1,14.1
电池/充电,电池组质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.52,0.53,0.53,0.52,0.53,0.53,0.53
电池/充电,电池慢充时间(小时),10.75,12.25,12.25,10.75,12.25,12.25,12.25
电池/充电,电池快充电量范围(%),10-80,10-80,10-80,10-80,10-80,10-80,10-80
电池/充电,电池慢充电量范围(%),0-100,0-100,0-100,0-100,0-100,0-100,0-100
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,前悬架类型,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 225/50 R18
○ 225/45 R19 (1.48万元)","● 225/50 R18
○ 225/45 R19 (9800元)",● 225/45 R19,● 225/50 R18,● 225/50 R18,● 225/45 R19,● 225/45 R19
车轮制动,后轮胎规格,"● 245/45 R18
○ 245/40 R19","● 245/45 R18
○ 245/40 R19",● 245/40 R19,● 245/45 R18,● 245/45 R18,● 245/40 R19,● 245/40 R19
车轮制动,备胎规格,● 无,● 无,● 无,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
被动安全,被动行人保护,●,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●
主动安全,内置行车记录仪,-,-,●,-,-,●,-
主动安全,道路救援呼叫,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化"
驾驶操控,能量回收系统,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●
