セクション,セクション_ja,項目,項目_ja,2026年モデル eDrive 35 L,2026年モデル eDrive 40 L 曜夜パッケージ,2026年モデル eDrive 40 L 曜夜スポーツパッケージ,2025年モデル eDrive 35 L,2025年モデル eDrive 40 L 曜夜パッケージ,2025年モデル eDrive 40 L 曜夜スポーツパッケージ,2025年モデル eDrive 40 L 50周年限定版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"35.39万元（日本円 約7,431,900円）","38.39万元（日本円 約8,061,900円）","41.39万元（日本円 約8,691,900円）","35.39万元（日本円 約7,431,900円）","38.39万元（日本円 約8,061,900円）","41.39万元（日本円 約8,691,900円）","35.99万元（日本円 約7,557,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"20.69万元（日本円 約4,344,900円）","23.83万元（日本円 約5,004,300円）","25.69万元（日本円 約5,394,900円）","18.58万元（日本円 約3,901,800円）","20.89万元（日本円 約4,386,900円）","23.80万元（日本円 約4,998,000円）","21.28万元（日本円 約4,468,800円）"
基本参数,基本仕様,厂商,メーカー,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW
基本参数,基本仕様,级别,クラス,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.09,2025.09,2024.09,2024.09,2024.09,2025.04
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),550,625,625,526,592,592,592
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.52,0.53,0.53,0.52,0.53,0.53,0.53
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),10.75,12.25,12.25,10.75,12.25,12.25,12.25
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電可能範囲(%),10-80,10-80,10-80,10-80,10-80,10-80,10-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電可能範囲(%),0-100,0-100,0-100,0-100,0-100,0-100,0-100
基本参数,基本仕様,最大功率(kW),最大出力(kW),210,250,250,210,250,250,250
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),400,430,430,400,430,430,430
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),286,340,340,286,340,340,340
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4872×1846×1481,4872×1846×1481,4872×1846×1481,4872×1846×1481,4872×1846×1481,4872×1846×1481,4872×1846×1481
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),6.2,5.6,5.6,6.2,5.6,5.6,5.6
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,180,180,180,180
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.58,1.56,1.59,1.62,1.59,1.59,1.59
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),2029,2087,2087,2029,2087,2087,2087
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2530,2580,2580,2530,2580,2580,2580
车身,車体,长度(mm),全長(mm),4872,4872,4872,4872,4872,4872,4872
车身,車体,宽度(mm),全幅(mm),1846,1846,1846,1846,1846,1846,1846
车身,車体,高度(mm),全高(mm),1481,1481,1481,1481,1481,1481,1481
车身,車体,轴距(mm),ホイールベース(mm),2966,2966,2966,2966,2966,2966,2966
车身,車体,前轮距(mm),前トレッド(mm),1593,1593,1603,1593,1593,1603,1603
