セクション,項目,宝马X5 2026款 xDrive 30Li M运动曜夜套装,宝马X5 2026款 xDrive 30Li 尊享型M运动曜夜套装,宝马X5 2026款 xDrive 40Li M运动曜夜套装,宝马X5 2026款 xDrive 40Li 尊享型M运动曜夜套装,宝马X5 2024款 xDrive 40Li 尊享型黑焰限量版,宝马X5 2023款 xDrive 30Li M运动套装,宝马X5 2023款 xDrive 30Li 尊享型M运动套装,宝马X5 2023款 xDrive 30Li 尊享型M运动曜夜套装,宝马X5 2023款 xDrive 40Li M运动套装,宝马X5 2023款 xDrive 40Li M运动曜夜套装,宝马X5 2023款 xDrive 40Li 尊享型M运动曜夜套装
,厂商指导价(元),61.50万 计算器,64.50万 计算器,72.90万 计算器,80.00万 计算器,83.00万 计算器,61.50万 计算器,64.50万 计算器,64.50万 计算器,72.90万 计算器,72.90万 计算器,80.00万 计算器
,经销商报价,56.00万起 询底价,59.00万起 询底价,67.40万起 询底价,74.50万起 询底价,77.50万起 询底价,55.24万起 询底价,57.93万起 询底价,57.93万起 询底价,67.40万起 询底价,67.40万起 询底价,74.50万起 询底价
基本参数,厂商,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.08,2025.08,2025.08,2025.08,2024.10,2023.08,2023.08,2023.08,2023.08,2023.08,2023.08
基本参数,最大功率(kW),190,190,280,280,280,190,190,190,280,280,280
基本参数,最大扭矩(N·m),400,400,520,520,520,400,400,400,520,520,520
基本参数,变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,2.0T 258马力 L4,2.0T 258马力 L4,3.0T 381马力 L6,3.0T 381马力 L6,3.0T 381马力 L6,2.0T 258马力 L4,2.0T 258马力 L4,2.0T 258马力 L4,3.0T 381马力 L6,3.0T 381马力 L6,3.0T 381马力 L6
基本参数,长*宽*高(mm),5060*2004*1776,5060*2004*1776,5060*2004*1776,5060*2004*1768,5060*2004*1776,5060*2004*1776,5060*2004*1776,5060*2004*1776,5060*2004*1776,5060*2004*1776,5060*2004*1776
基本参数,官方0-100km/h加速(s),7.2,7.2,5.5,5.5,5.5,7.2,7.2,7.2,5.5,5.5,5.5
基本参数,最高车速(km/h),222,222,250,250,250,222,222,222,250,250,250
基本参数,WLTC综合油耗(L/100km),8.70,8.70,8.90,8.90,8.90,8.70,8.70,8.70,8.90,8.90,8.90
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),2157,2157,2271,2271,2271,2157,2157,2157,2271,2271,2271
基本参数,最大满载质量(kg),2790,2790,2850,2850,2850,2790,2790,2790,2850,2850,2850
车身,长度(mm),5060,5060,5060,5060,5060,5060,5060,5060,5060,5060,5060
车身,宽度(mm),2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004
车身,高度(mm),1776,1776,1776,1768,1776,1776,1776,1776,1776,1776,1776
车身,轴距(mm),3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105
车身,前轮距(mm),1684,1680,1680,1680,1680,1684,1680,1680,1680,1680,1680
车身,后轮距(mm),1694,1688,1688,1688,1688,1694,1688,1688,1688,1688,1688
车身,接近角(°),25,25,25,25,25,25,25,25,25,25,25
车身,离去角(°),23,23,23,23,23,23,23,23,23,23,23
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),83,83,83,83,83,83,83,83,83,83,83
车身,后备厢容积(L),2070,2070,2070,2070,2070,2070,2070,2070,2070,2070,2070
