セクション,セクション_ja,項目,項目_ja,2026年モデル xDrive 30Li Mスポーツ曜夜パッケージ,2026年モデル xDrive 30Li プレミアムMスポーツ曜夜パッケージ,2026年モデル xDrive 40Li Mスポーツ曜夜パッケージ,2026年モデル xDrive 40Li プレミアムMスポーツ曜夜パッケージ,2024年モデル xDrive 40Li プレミアム ブラックフレイム限定版,2023年モデル xDrive 30Li Mスポーツパッケージ,2023年モデル xDrive 30Li プレミアムMスポーツパッケージ,2023年モデル xDrive 30Li プレミアムMスポーツ曜夜パッケージ,2023年モデル xDrive 40Li Mスポーツパッケージ,2023年モデル xDrive 40Li Mスポーツ曜夜パッケージ,2023年モデル xDrive 40Li プレミアムMスポーツ曜夜パッケージ
,nan,厂商指导价(元),メーカー希望小売価格(元),"61.50万元（日本円 約12,915,000円）","64.50万元（日本円 約13,545,000円）","72.90万元（日本円 約15,309,000円）","80.00万元（日本円 約16,800,000円）","83.00万元（日本円 約17,430,000円）","61.50万元（日本円 約12,915,000円）","64.50万元（日本円 約13,545,000円）","64.50万元（日本円 約13,545,000円）","72.90万元（日本円 約15,309,000円）","72.90万元（日本円 約15,309,000円）","80.00万元（日本円 約16,800,000円）"
,nan,经销商报价,ディーラー販売価格（元）,"56.00万元（日本円 約11,760,000円）","59.00万元（日本円 約12,390,000円）","67.40万元（日本円 約14,154,000円）","74.50万元（日本円 約15,645,000円）","77.50万元（日本円 約16,275,000円）","55.24万元（日本円 約11,600,400円）","57.93万元（日本円 約12,165,300円）","57.93万元（日本円 約12,165,300円）","67.40万元（日本円 約14,154,000円）","67.40万元（日本円 約14,154,000円）","74.50万元（日本円 約15,645,000円）"
基本参数,基本仕様,厂商,メーカー,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW
基本参数,基本仕様,级别,クラス,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム
基本参数,基本仕様,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）
基本参数,基本仕様,上市时间,発売時期,2025.08,2025.08,2025.08,2025.08,2024.10,2023.08,2023.08,2023.08,2023.08,2023.08,2023.08
基本参数,基本仕様,最大功率(kW),最大出力(kW),190,190,280,280,280,190,190,190,280,280,280
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),400,400,520,520,520,400,400,400,520,520,520
基本参数,基本仕様,变速箱,トランスミッション,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）
