セクション,セクション_ja,項目,項目_ja,2025年モデル 栄誉 2.0L 2WD 真心版,2025年モデル 栄誉 2.0L 2WD 先進版,2023年モデル e-POWER 超ハイブリッドデュアルモーター 4WD ブラックゴールド版,2023年モデル e-POWER 超ハイブリッドデュアルモーター 4WD 豪華版,2023年モデル e-POWER 超ハイブリッドデュアルモーター 4WD 最上位版,2023年モデル クラシック 2.0L 2WD インテリジェント快適版,2023年モデル クラシック 2.0L 2WD インテリジェントプレミアム版,2022年モデル VCターボ 300 CVT 2WD 星月限定版,2021年モデル VCターボ 300 CVT 2WD ファッショナブル版,2021年モデル VCターボ 300 CVT 2WD 快適版,2021年モデル VCターボ 300 CVT 2WD 豪華版,2021年モデル VCターボ 300 CVT 2WD 豪華版 7人乗り,2021年モデル VCターボ 300 CVT 4WD 豪華版,2021年モデル VCターボ 300 CVT 4WD プレミアム版,2021年モデル VCターボ 300 CVT 4WD プレミアム版 7人乗り,2021年モデル VCターボ 300 CVT 4WD 最上位版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"16.08万元（日本円 約3,376,800円）","16.68万元（日本円 約3,502,800円）","19.23万元（日本円 約4,038,300円）","18.99万元（日本円 約3,987,900円）","19.99万元（日本円 約4,197,900円）","18.93万元（日本円 約3,975,300円）","19.28万元（日本円 約4,048,800円）","17.99万元（日本円 約3,777,900円）","18.19万元（日本円 約3,819,900円）","19.19万元（日本円 約4,029,900円）","19.99万元（日本円 約4,197,900円）","20.79万元（日本円 約4,365,900円）","21.29万元（日本円 約4,470,900円）","23.29万元（日本円 約4,890,900円）","24.09万元（日本円 約5,058,900円）","26.29万元（日本円 約5,520,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"11.98万元（日本円 約2,515,800円）","12.58万元（日本円 約2,641,800円）","15.23万元（日本円 約3,198,300円）","14.99万元（日本円 約3,147,900円）","15.99万元（日本円 約3,357,900円）","12.34万元（日本円 約2,591,400円）","12.69万元（日本円 約2,664,900円）","12.19万元（日本円 約2,559,900円）","12.39万元（日本円 約2,601,900円）","13.39万元（日本円 約2,811,900円）","14.19万元（日本円 約2,979,900円）","14.99万元（日本円 約3,147,900円）","15.49万元（日本円 約3,252,900円）","17.49万元（日本円 約3,672,900円）","18.29万元（日本円 約3,840,900円）","20.49万元（日本円 約4,302,900円）"
基本参数,基本仕様,厂商,メーカー,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産,東風日産
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン電動駆動,ガソリン電動駆動,ガソリン電動駆動,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6
基本参数,基本仕様,上市时间,発売時期,2025.07,2025.07,2024.08,2023.05,2023.05,2023.09,2023.09,2022.09,2021.07,2021.07,2021.07,2021.07,2021.07,2021.07,2021.07,2021.07
基本参数,基本仕様,最大功率(kW),最大出力(kW),111,111,250,250,250,111,111,150,150,150,150,150,150,150,150,150
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),194,194,525,525,525,194,194,300,300,300,300,300,300,300,300,300
基本参数,基本仕様,变速箱,トランスミッション,CVT無段変速（7速マニュアルモード）,CVT無段変速（7速マニュアルモード）,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,CVT無段変速（7速マニュアルモード）,CVT無段変速（7速マニュアルモード）,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）
