セクション,項目,宝马3系 2025款 325i M运动套装,宝马3系 2025款 330i 50周年限量版,宝马3系 2025款 330i M运动曜夜套装,宝马3系 2025款 325Li M运动套装,宝马3系 2025款 330Li 50周年限量版,宝马3系 2025款 330Li M运动曜夜套装,宝马3系 2025款 330Li 尊享型 M运动曜夜套装
,厂商指导价(元),31.99万 计算器,34.49万 计算器,35.99万 计算器,33.99万 计算器,35.99万 计算器,36.99万 计算器,39.99万 计算器
,经销商报价,22.66万起,26.16万起,27.66万起,23.99万起,28.08万起,26.99万起,31.99万起
基本参数,厂商,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马
基本参数,级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2024.09,2025.04,2024.09,2024.09,2025.04,2024.09,2024.09
基本参数,最大功率(kW),135,180,180,135,180,180,180
基本参数,最大扭矩(N·m),300,400,400,300,400,400,400
基本参数,变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,2.0T 184马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 184马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 245马力 L4
基本参数,长*宽*高(mm),4728*1827*1452,4728*1827*1452,4728*1827*1452,4838*1827*1454,4838*1827*1454,4838*1827*1454,4838*1827*1454
基本参数,官方0-100km/h加速(s),7.6,6.3,6.3,7.9,6.3,6.3,6.3
基本参数,最高车速(km/h),233,250,250,233,250,250,250
基本参数,WLTC综合油耗(L/100km),6.9,7,7,6.9,7,7,7
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1588,1608,1608,1601,1618,1618,1618
基本参数,最大满载质量(kg),2050,2060,2060,2055,2070,2070,2070
车身,长度(mm),4728,4728,4728,4838,4838,4838,4838
车身,宽度(mm),1827,1827,1827,1827,1827,1827,1827
车身,高度(mm),1452,1452,1452,1454,1454,1454,1454
车身,轴距(mm),2851,2851,2851,2961,2961,2961,2961
车身,前轮距(mm),1583,1583,1583,1583,1583,1583,1583
车身,后轮距(mm),1598,1568,1568,1599,1569,1569,1569
车身,接近角(°),15,15,15,15,15,15,15
车身,离去角(°),18,18,18,18,18,18,18
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),59,59,59,59,59,59,59
车身,后备厢容积(L),-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-
发动机,发动机型号,B48B20C,B48B20G,B48B20G,B48B20C,B48B20G,B48B20G,B48B20G
发动机,排量(mL),1998,1998,1998,1998,1998,1998,1998
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置
发动机,气缸排列形式,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),184,245,245,184,245,245,245
发动机,最大功率(kW),135,180,180,135,180,180,180
发动机,最大功率转速(rpm),5000-6500,4500-6500,4500-6500,5000-6500,4500-6500,4500-6500,4500-6500
发动机,最大扭矩(N·m),300,400,400,300,400,400,400
发动机,最大扭矩转速(rpm),1350-4000,1600-4000,1600-4000,1350-4000,1600-4000,1600-4000,1600-4000
发动机,最大净功率(kW),135,180,180,135,180,180,180
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,95号,95号,95号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
变速箱,挡位个数,8,8,8,8,8,8,8
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱,● 前置后驱
底盘转向,前悬架类型,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 225/45 R18,● 225/40 R19,● 225/45 R18,● 225/45 R18,● 225/40 R19,● 225/45 R18,● 225/45 R18
车轮制动,后轮胎规格,● 225/45 R18,● 255/35 R19,● 255/40 R18,● 225/45 R18,● 255/35 R19,● 255/40 R18,● 255/40 R18
车轮制动,备胎规格,● 无,● 无,● 无,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
被动安全,被动行人保护,●,●,●,●,●,●,●
被动安全,缺气保用轮胎,●,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●
主动安全,内置行车记录仪,-,●,●,-,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化"
驾驶操控,发动机启停技术,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
驾驶硬件,驾驶辅助影像,"● 倒车影像
○ 360度全景影像",● 360度全景影像,● 360度全景影像,"● 倒车影像
○ 360度全景影像",● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 三目
驾驶硬件,摄像头数量,"● 2个
○ 5个",● 5个,● 5个,"● 2个
○ 5个",● 5个,● 5个,● 7个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,"● 3个
○ 5个",● 3个,"● 3个
○ 5个","● 3个
○ 5个",● 3个,"● 3个
○ 5个",● 5个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶等级,○ L2,-,○ L2,○ L2,-,○ L2,● L2
驾驶功能,倒车车侧预警系统,○,-,○,○,-,○,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●
驾驶功能,并线辅助,●,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,○,-,○,○,-,○,●
驾驶功能,车道居中保持,○,-,○,○,-,○,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,●,●,●
驾驶功能,循迹倒车,●,●,●,●,●,●,●
驾驶功能,辅助变道,○,-,○,○,-,○,●
外观/防盗,外观套件,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,○,-,○,●,●,●,●
外观/防盗,感应后备厢,○,-,○,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,主动闭合式进气格栅,●,●,●,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●
车外灯光,转向头灯,○ (9100元),-,○ (9100元),○ (9100元),-,○ (9100元),●
车外灯光,车前雾灯,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 电动天窗,● 电动天窗,● 电动天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 14.9英寸,● 14.9英寸,● 14.9英寸,● 14.9英寸,● 14.9英寸,● 14.9英寸,● 14.9英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay
屏幕/系统,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗"
屏幕/系统,车载智能系统,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive
屏幕/系统,车机智能芯片,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155
智能化配置,车联网,●,●,●,●,●,●,●
智能化配置,4G/5G网络,"● 4G
○ 5G (3000元)",● 4G,"● 4G
○ 5G (3000元)","● 4G
○ 5G (3000元)",● 4G,"● 4G
○ 5G (3000元)","● 4G
○ 5G (3000元)"
智能化配置,OTA升级,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,"● 车门控制
● 车辆启动
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车"
方向盘/内后视镜,方向盘材质,● 真皮,● Alcantara/翻毛皮,● 真皮,● 真皮,● Alcantara/翻毛皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,HUD抬头数字显示,○ (10000元),●,●,○ (10000元),-,○ (10000元),●
方向盘/内后视镜,内后视镜功能,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,○ (1000元),-,○ (1000元),○ (1000元),-,○ (1000元),○ (1000元)
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,○ 前排,-,○ 前排 (1900元),○ 前排,-,○ 前排 (1900元),● 前排
座椅配置,座椅材质,● 仿皮,● 皮/翻毛材质混搭,● 仿皮,● 仿皮,● 皮/翻毛材质混搭,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
○ 腰部支撑(4向) (1400元)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
○ 腰部支撑(4向) (1400元)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
○ 腰部支撑(4向) (1400元)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
○ 腰部支撑(4向) (1400元)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
○ 腰部支撑(4向) (1400元)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节"
座椅配置,主/副驾驶座电动调节,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
座椅配置,前排座椅功能,○ 加热 (3500元),-,○ 加热 (3500元),○ 加热 (3500元),-,○ 加热 (3500元),○ 加热 (3500元)
座椅配置,电动座椅记忆功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,-,-,-,-,-,-,-
座椅配置,前/后中央扶手,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
座椅配置,后排杯架,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,○ Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿,○ Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿
