セクション,セクション_ja,項目,項目_ja,2026年モデル 増程 Pro+4WD 6人乗り,2026年モデル 増程 Max4WD 6人乗り,2026年モデル 増程 Ultra4WD 6人乗り,2026年モデル 増程 Pro+4WD 5人乗り,2026年モデル 増程 Max4WD 5人乗り,2026年モデル 増程 Ultra4WD 5人乗り,2026年モデル 純電 Max長距離版 6人乗り,2026年モデル 純電 Max長距離版 5人乗り,2026年モデル 純電 Max4WD 6人乗り,2026年モデル 純電 Ultra4WD 6人乗り,2026年モデル 純電 Max4WD 5人乗り,2026年モデル 純電 Ultra4WD 5人乗り,2024年モデル 1.5T インテリドライブ後輪駆動Pro 5人乗り,2024年モデル 1.5T インテリドライブ後輪駆動Pro 6人乗り,2024年モデル 1.5T インテリドライブ4WD Pro 5人乗り,2024年モデル 1.5T インテリドライブ4WD Pro 6人乗り,2024年モデル 1.5T インテリドライブ後輪駆動Ultra 5人乗り,2024年モデル 1.5T インテリドライブ後輪駆動Ultra 6人乗り,2024年モデル 1.5T インテリドライブ4WD Ultra 5人乗り,2024年モデル 1.5T インテリドライブ4WD Ultra 6人乗り
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"29.98万元（日本円 約6,295,800円）","33.98万元（日本円 約7,135,800円）","35.98万元（日本円 約7,555,800円）","27.98万元（日本円 約5,875,800円）","31.98万元（日本円 約6,715,800円）","33.98万元（日本円 約7,135,800円）","33.98万元（日本円 約7,135,800円）","31.98万元（日本円 約6,715,800円）","35.98万元（日本円 約7,555,800円）","37.98万元（日本円 約7,975,800円）","33.98万元（日本円 約7,135,800円）","35.98万元（日本円 約7,555,800円）","24.98万元（日本円 約5,245,800円）","26.98万元（日本円 約5,665,800円）","26.98万元（日本円 約5,665,800円）","28.98万元（日本円 約6,085,800円）","28.98万元（日本円 約6,085,800円）","30.98万元（日本円 約6,505,800円）","30.98万元（日本円 約6,505,800円）","32.98万元（日本円 約6,925,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"29.98万元（日本円 約6,295,800円）","33.98万元（日本円 約7,135,800円）","35.98万元（日本円 約7,555,800円）","27.98万元（日本円 約5,875,800円）","31.98万元（日本円 約6,715,800円）","33.98万元（日本円 約7,135,800円）","33.98万元（日本円 約7,135,800円）","31.98万元（日本円 約6,715,800円）","35.98万元（日本円 約7,555,800円）","37.98万元（日本円 約7,975,800円）","33.98万元（日本円 約7,135,800円）","35.98万元（日本円 約7,555,800円）","24.98万元（日本円 約5,245,800円）","26.98万元（日本円 約5,665,800円）","26.98万元（日本円 約5,665,800円）","28.98万元（日本円 約6,085,800円）","28.98万元（日本円 約6,085,800円）","30.98万元（日本円 約6,505,800円）","30.98万元（日本円 約6,505,800円）","32.98万元（日本円 約6,925,800円）"
基本参数,基本仕様,厂商,メーカー,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ
基本参数,基本仕様,级别,クラス,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動,純電動,純電動,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式
基本参数,基本仕様,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,-,-,-,-,-,-,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2024.08,2024.08,2024.08,2024.08,2024.05,2024.05,2024.05,2024.05
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),175,255,255,175,255,255,-,-,-,-,-,-,190,190,170,170,175,175,162,162
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),208,315,315,208,315,315,710,710,660,635,660,635,230,230,200,200,240,240,210,210
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),-,-,-,-,-,-,-,-,-,-,-,-,4.5,4.5,4.5,4.5,5,5,5,5
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),20-80,20-80,20-80,20-80,20-80,20-80,20-80,30-80,20-80,20-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電量範囲(%),-,-,-,-,-,-,-,-,-,-,-,-,20-90,20-90,20-90,20-90,20-90,20-90,20-90,20-90
基本参数,基本仕様,最大功率(kW),最大出力(kW),392,392,392,392,392,392,227,227,387,387,387,387,200,200,330,330,200,200,330,330
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),563,563,563,563,563,563,320,320,597,597,597,597,360,360,660,660,360,360,660,660
