セクション,項目,MG4 2026款 437 随心版,MG4 2026款 437 从容版,MG4 2026款 437 自由版,MG4 2026款 530 智趣版,MG4 2026款 半固态安芯版
,厂商指导价(元),6.88万 计算器,7.68万 计算器,8.38万 计算器,9.68万 计算器,10.28万 计算器
,经销商报价,6.58万起,7.38万起,8.08万起,9.38万起,9.98万起
基本参数,厂商,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.08,2025.08,2025.08,2025.08,2025.08
基本参数,CLTC纯电续航里程(km),437,437,437,530,530
基本参数,电池快充时间(小时),0.33,0.33,0.33,0.35,0.35
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),120,120,120,120,120
基本参数,最大扭矩(N·m),250,250,250,250,250
基本参数,车身结构,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
基本参数,电动机(Ps),163,163,163,163,163
基本参数,长*宽*高(mm),4395*1842*1551,4395*1842*1551,4395*1842*1551,4395*1842*1551,4395*1842*1551
基本参数,官方0-100km/h加速(s),-,-,-,-,-
基本参数,官方0-50km/h加速(s),3,3,3,3,3
基本参数,最高车速(km/h),160,160,160,160,160
基本参数,电能当量燃料消耗量(L/100km),1.21,1.21,1.21,1.32,-
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),1415,1415,1415,1485,1500
基本参数,最大满载质量(kg),1850,1850,1850,1920,1935
车身,长度(mm),4395,4395,4395,4395,4395
车身,宽度(mm),1842,1842,1842,1842,1842
车身,高度(mm),1551,1551,1551,1551,1551
车身,轴距(mm),2750,2750,2750,2750,2750
车身,前轮距(mm),1547,1547,1547,1547,1547
车身,后轮距(mm),1547,1547,1547,1547,1547
车身,接近角(°),15,15,15,15,15
车身,离去角(°),25,25,25,25,25
车身,最小转弯半径(m),5.2,5.2,5.2,5.2,5.2
车身,车身结构,两厢车,两厢车,两厢车,两厢车,两厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),471-1362,471-1362,471-1362,471-1362,471-1362
车身,风阻系数(Cd),-,-,-,-,-
电动机,前电动机品牌,湖南中车时代,湖南中车时代,湖南中车时代,湖南中车时代,湖南中车时代
电动机,前电动机型号,TZ180XS1001,TZ180XS1001,TZ180XS1001,TZ180XS1001,TZ180XS1001
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),120,120,120,120,120
电动机,电动机总马力(Ps),163,163,163,163,163
电动机,电动机总扭矩(N·m),250,250,250,250,250
电动机,前电动机最大功率(kW),120,120,120,120,120
电动机,前电动机最大扭矩(N·m),250,250,250,250,250
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 半固态电池
电池/充电,电芯品牌,● 瑞浦兰钧,● 瑞浦兰钧,● 瑞浦兰钧,● 宁德时代,● 清陶动力
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),437,437,437,530,530
电池/充电,电池能量(kWh),42.8,42.8,42.8,53.9,53.9
电池/充电,百公里耗电量(kWh/100km),10.4,10.4,10.4,11.9,11.9
电池/充电,快充功能,支持,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.33,0.33,0.33,0.35,0.35
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧
电池/充电,快充接口位置,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 195/60 R16,● 195/60 R16,● 205/50 R17,● 205/50 R17,● 205/50 R17
车轮制动,后轮胎规格,● 195/60 R16,● 195/60 R16,● 205/50 R17,● 205/50 R17,● 205/50 R17
车轮制动,备胎规格,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),-,-,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
主动安全,ABS防抱死,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,●,●,●,●,●
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,-,●,●
主动安全,主动刹车/主动安全系统,-,-,-,●,●
主动安全,疲劳驾驶提示,-,-,-,-,-
主动安全,DOW开门预警,-,-,-,●,●
主动安全,前方碰撞预警,-,-,-,●,●
主动安全,后方碰撞预警,-,-,-,●,●
主动安全,哨兵模式/千里眼,-,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●
主动安全,内置行车记录仪,-,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化"
驾驶操控,单踏板模式,●,●,●,●,●
驾驶操控,能量回收系统,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前- / 后 ●,前- / 后 ●,前- / 后 ●,前 ● / 后 ●,前 ● / 后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,-,●,●,●,●
驾驶硬件,辅助驾驶芯片,-,-,-,● 地平线征程J6E,● 地平线征程J6E
