セクション,セクション_ja,項目,項目_ja,2026年モデル 437 ライトエディション,2026年モデル 437 コンフォートエディション,2026年モデル 437 フリーダムエディション,2026年モデル 530 スマートエディション,2026年モデル ハーフソリッドセーフティエディション
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"6.88万元（日本円 約1,444,800円）","7.68万元（日本円 約1,612,800円）","8.38万元（日本円 約1,759,800円）","9.68万元（日本円 約2,032,800円）","10.28万元（日本円 約2,158,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"6.58万元（日本円 約1,381,800円）","7.38万元（日本円 約1,549,800円）","8.08万元（日本円 約1,696,800円）","9.38万元（日本円 約1,969,800円）","9.98万元（日本円 約2,095,800円）"
基本参数,基本仕様,厂商,メーカー,上汽グループ,上汽グループ,上汽グループ,上汽グループ,上汽グループ
基本参数,基本仕様,级别,クラス,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.08,2025.08,2025.08,2025.08,2025.08
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),437,437,437,530,530
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.33,0.33,0.33,0.35,0.35
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),120,120,120,120,120
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),250,250,250,250,250
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),163,163,163,163,163
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4395×1842×1551,4395×1842×1551,4395×1842×1551,4395×1842×1551,4395×1842×1551
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速時間(s),3,3,3,3,3
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),160,160,160,160,160
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.21,1.21,1.21,1.32,-
基本参数,基本仕様,整车质保,車両保証,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1415,1415,1415,1485,1500
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1850,1850,1850,1920,1935
车身,車体,长度(mm),全長(mm),4395,4395,4395,4395,4395
车身,車体,宽度(mm),全幅(mm),1842,1842,1842,1842,1842
车身,車体,高度(mm),全高(mm),1551,1551,1551,1551,1551
车身,車体,轴距(mm),ホイールベース(mm),2750,2750,2750,2750,2750
车身,車体,前轮距(mm),前トレッド(mm),1547,1547,1547,1547,1547
车身,車体,后轮距(mm),後トレッド(mm),1547,1547,1547,1547,1547
车身,車体,接近角(°),アプローチアングル(°),15,15,15,15,15
车身,車体,离去角(°),デパーチャーアングル(°),25,25,25,25,25
车身,車体,最小转弯半径(m),最小回転半径(m),5.2,5.2,5.2,5.2,5.2
车身,車体,车身结构,ボディ構造,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
