セクション,項目,腾势D9 2025款 DM-i 两驱行政版,腾势D9 2025款 EV 智驾版 600 四驱尊贵型,腾势D9 2025款 EV 智驾版 600 四驱旗舰型,腾势D9 2025款 DM-i 两驱尊航型,腾势D9 2025款 DM-i 四驱尊航型,腾势D9 2025款 DM-i 智驾版 1020 四驱尊贵型,腾势D9 2025款 DM-i 智驾版 1020 四驱尊荣型,腾势D9 2025款 DM-i 智驾版 1020 四驱旗舰型,腾势D9 2025款 DM-i 四驱至尊型,腾势D9 2025款 DM-i 智驾版 1100 豪华型,腾势D9 2025款 DM-i 智驾版 1020 四驱尊享型,腾势D9 2025款 EV 两驱尊航型,腾势D9 2025款 EV 智驾版 620 豪华型,腾势D9 2024款 EV 620 尊享型,腾势D9 2024款 DM-i 970 豪华型,腾势D9 2024款 DM-i 980 四驱尊贵型,腾势D9 2024款 PIONEER 四座创领版,腾势D9 2024款 DM-i 980 四驱尊荣型
,厂商指导价(元),33.98万 计算器,40.98万 计算器,46.98万 计算器,30.98万 计算器,32.98万 计算器,38.98万 计算器,40.98万 计算器,44.98万 计算器,45.98万 计算器,33.98万 计算器,35.98万 计算器,31.98万 计算器,34.98万 计算器,37.98万 计算器,33.98万 计算器,38.98万 计算器,60.06万 计算器,40.98万 计算器
,经销商报价,暂无报价 询底价,40.98万起 询底价,46.98万起 询底价,30.98万起 询底价,32.98万起 询底价,38.98万起 询底价,40.98万起 询底价,44.98万起 询底价,45.98万起 询底价,33.98万起 询底价,35.98万起 询底价,31.98万起 询底价,34.98万起 询底价,34.98万起 询底价,30.98万起 询底价,35.98万起 询底价,60.06万起 询底价,37.98万起 询底价
基本参数,厂商,腾势汽车,腾势汽车,腾势汽车,腾势汽车,腾势汽车,腾势汽车,腾势汽车,腾势汽车,腾势汽车,腾势汽车,腾势汽车,腾势汽车,腾势汽车,腾势汽车,腾势汽车,腾势汽车,腾势汽车,腾势汽车
基本参数,级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,能源类型,插电式混合动力,纯电动,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,-,-,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,-,-,-,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.11,2024.12,2024.12,2025.08,2025.08,2024.12,2024.12,2024.12,2025.08,2024.12,2024.12,2025.08,2024.12,2024.03,2024.03,2024.03,2024.03,2024.03
基本参数,WLTC纯电续航里程(km),75,-,-,155,145,145,145,145,145,155,145,-,-,-,75,145,140,145
基本参数,CLTC纯电续航里程(km),103,600,600,200,190,190,190,190,190,200,190,620,620,620,103,190,185,190
基本参数,电池快充时间(小时),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.42,-,0.42
基本参数,电池快充电量范围(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,-,80
基本参数,最大功率(kW),221,275,275,-,-,-,-,-,-,-,-,230,230,230,221,299,299,299
基本参数,最大扭矩(N·m),571,470,470,-,-,-,-,-,-,-,-,360,360,360,571,681,681,681
基本参数,变速箱,E-CVT无级变速,电动车单速变速箱,电动车单速变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
基本参数,车身结构,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门4座MPV,5门7座MPV
基本参数,发动机,1.5T 139马力 L4,纯电动,纯电动,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,纯电动,纯电动,纯电动,1.5T 139马力 L4,1.5T 139马力 L4,1.5T 139马力 L4,1.5T 139马力 L4
基本参数,电动机(Ps),231,374,374,272,333,333,333,333,333,272,333,313,313,313,231,292,292,292
基本参数,长*宽*高(mm),5250*1960*1920,5250*1960*1900,5250*1960*1900,5250*1960*1900,5250*1960*1900,5250*1960*1900,5250*1960*1900,5250*1960*1900,5250*1960*1900,5250*1960*1900,5250*1960*1900,5250*1960*1900,5250*1960*1900,5250*1960*1920,5250*1960*1920,5250*1960*1920,5250*1960*1900,5250*1960*1920
基本参数,官方0-100km/h加速(s),9.5,6.9,6.9,8.6,7.3,7.3,7.3,7.3,7.3,8.6,7.3,8.6,8.6,9.5,9.5,7.9,7.9,7.9
基本参数,最高车速(km/h),180,180,180,190,190,190,190,190,190,190,190,180,180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),2.13,-,-,0.99,1.04,1.04,1.04,1.04,1.04,0.99,1.04,-,-,-,2.13,1.06,1.08,1.06
基本参数,最低荷电状态油耗(L/100km),6.1,-,-,-,-,-,-,-,-,-,-,-,-,-,6.1,6.7,6.8,6.7
基本参数,最低荷电状态油耗(L/100km)WLTC,6.7,-,-,6.65,7.15,7.15,7.15,7.15,7.15,6.65,7.15,-,-,-,6.7,7.3,7.45,7.3
基本参数,最低荷电状态油耗(L/100km)CLTC,-,-,-,5.85,6.35,6.35,6.35,6.35,6.35,5.85,6.35,-,-,-,-,-,-,-
基本参数,电能当量燃料消耗量(L/100km),2.14,2.14,2.14,-,-,-,-,-,-,-,-,2.08,2.08,2.02,2.14,2.6,2.64,2.6
基本参数,油电综合燃料消耗量(L/100km),-,-,-,3.53,3.71,3.71,3.71,3.71,3.71,3.53,3.71,-,-,-,-,-,-,-
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),2470,2870,2870,2695,2795,2795,2795,2795,2795,2695,2795,2775,2775,2690,2470,2665,2750,2665
基本参数,最大满载质量(kg),2995,3415,3415,3240,3340,3340,3340,3340,3340,3240,3340,3320,3320,3215,2995,3190,3190,3190
车身,长度(mm),5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250
车身,宽度(mm),1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960
车身,高度(mm),1920,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1920,1920,1920,1900,1920
车身,轴距(mm),3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110
车身,前轮距(mm),1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675
车身,后轮距(mm),1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675
车身,满载最小离地间隙(mm),140,-,-,-,-,-,-,-,-,-,-,-,-,140,140,140,-,140
车身,接近角(°),15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,15
车身,离去角(°),15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,15
车身,最小转弯半径(m),5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95
车身,车身结构,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身,车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 4,● 7
车身,油箱容积(L),53,-,-,53,53,53,53,53,53,53,53,-,-,-,53,53,53,53
车身,后备厢容积(L),410-2310,390-2310,390-2310,390-2310,390-2310,390-2310,390-2310,390-2310,390-2310,390-2310,390-2310,390-2310,390-2310,410-2310,410-2310,410-2310,650,410-2310
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,BYD476ZQC,-,-,BYD472ZQB,BYD472ZQB,BYD472ZQB,BYD472ZQB,BYD472ZQB,BYD472ZQB,BYD472ZQB,BYD472ZQB,-,-,-,BYD476ZQC,BYD476ZQC,BYD476ZQC,BYD476ZQC
发动机,排量(mL),1497,-,-,1498,1498,1498,1498,1498,1498,1498,1498,-,-,-,1497,1497,1497,1497
发动机,排量(L),1.5,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,-,-,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-,-,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,-,-,横置,横置,横置,横置,横置,横置,横置,横置,-,-,-,横置,横置,横置,横置
发动机,气缸排列形式,L,-,-,L,L,L,L,L,L,L,L,-,-,-,L,L,L,L
发动机,气缸数(个),4,-,-,4,4,4,4,4,4,4,4,-,-,-,4,4,4,4
发动机,每缸气门数(个),4,-,-,4,4,4,4,4,4,4,4,-,-,-,4,4,4,4
发动机,配气机构,DOHC,-,-,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),139,-,-,156,156,156,156,156,156,156,156,-,-,-,139,139,139,139
发动机,最大功率(kW),102,-,-,115,115,115,115,115,115,115,115,-,-,-,102,102,102,102
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
