セクション,セクション_ja,項目,項目_ja,2025年モデル DM i 2WD 行政版,2025年モデル EV インテリジェントドライブ版 600 4WD 尊貴型,2025年モデル EV インテリジェントドライブ版 600 4WD フラッグシップ型,2025年モデル DM i 2WD 尊航型,2025年モデル DM i 4WD 尊航型,2025年モデル DM i インテリジェントドライブ版 1020 4WD 尊貴型,2025年モデル DM i インテリジェントドライブ版 1020 4WD 尊栄型,2025年モデル DM i インテリジェントドライブ版 1020 4WD フラッグシップ型,2025年モデル DM i 4WD 至尊型,2025年モデル DM i インテリジェントドライブ版 1100 豪華型,2025年モデル DM i インテリジェントドライブ版 1020 4WD 尊享型,2025年モデル EV 2WD 尊航型,2025年モデル EV インテリジェントドライブ版 620 豪華型,2024年モデル EV 620 尊享型,2024年モデル DM i 970 豪華型,2024年モデル DM i 980 4WD 尊貴型,2024年モデル PIONEER 4人乗り 創領版,2024年モデル DM i 980 4WD 尊栄型
,nan,厂商指导价(元),メーカー希望小売価格(元),"33.98万元（日本円 約7,135,800円）","40.98万元（日本円 約8,605,800円）","46.98万元（日本円 約9,865,800円）","30.98万元（日本円 約6,505,800円）","32.98万元（日本円 約6,925,800円）","38.98万元（日本円 約8,185,800円）","40.98万元（日本円 約8,605,800円）","44.98万元（日本円 約9,445,800円）","45.98万元（日本円 約9,655,800円）","33.98万元（日本円 約7,135,800円）","35.98万元（日本円 約7,555,800円）","31.98万元（日本円 約6,715,800円）","34.98万元（日本円 約7,345,800円）","37.98万元（日本円 約7,975,800円）","33.98万元（日本円 約7,135,800円）","38.98万元（日本円 約8,185,800円）","60.06万元（日本円 約12,612,600円）","40.98万元（日本円 約8,605,800円）"
,nan,经销商报价,ディーラー販売価格（元）,暂无,"40.98万元（日本円 約8,605,800円）","46.98万元（日本円 約9,865,800円）","30.98万元（日本円 約6,505,800円）","32.98万元（日本円 約6,925,800円）","38.98万元（日本円 約8,185,800円）","40.98万元（日本円 約8,605,800円）","44.98万元（日本円 約9,445,800円）","45.98万元（日本円 約9,655,800円）","33.98万元（日本円 約7,135,800円）","35.98万元（日本円 約7,555,800円）","31.98万元（日本円 約6,715,800円）","34.98万元（日本円 約7,345,800円）","34.98万元（日本円 約7,345,800円）","30.98万元（日本円 約6,505,800円）","35.98万元（日本円 約7,555,800円）","60.06万元（日本円 約12,612,600円）","37.98万元（日本円 約7,975,800円）"
基本参数,基本仕様,厂商,メーカー,腾勢自動車,腾勢自動車,腾勢自動車,腾勢自動車,腾勢自動車,腾勢自動車,腾勢自動車,腾勢自動車,腾勢自動車,腾勢自動車,腾勢自動車,腾勢自動車,腾勢自動車,腾勢自動車,腾勢自動車,腾勢自動車,腾勢自動車,腾勢自動車
基本参数,基本仕様,级别,クラス,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,基本仕様,能源类型,エネルギータイプ,プラグインハイブリッド,純電動,純電動,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,純電動,純電動,純電動,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
基本参数,基本仕様,环保标准,環境基準,国VI（排ガス規制）,-,-,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,-,-,-,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）
基本参数,基本仕様,上市时间,発売時期,2025.11,2024.12,2024.12,2025.08,2025.08,2024.12,2024.12,2024.12,2025.08,2024.12,2024.12,2025.08,2024.12,2024.03,2024.03,2024.03,2024.03,2024.03
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),75,-,-,155,145,145,145,145,145,155,145,-,-,-,75,145,140,145
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),103,600,600,200,190,190,190,190,190,200,190,620,620,620,103,190,185,190
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.42,-,0.42
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,-,80
基本参数,基本仕様,最大功率(kW),最大出力(kW),221,275,275,-,-,-,-,-,-,-,-,230,230,230,221,299,299,299
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),571,470,470,-,-,-,-,-,-,-,-,360,360,360,571,681,681,681
基本参数,基本仕様,变速箱,トランスミッション,E-CVT無段変速,電動車用単速変速機,電動車用単速変速機,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
基本参数,基本仕様,车身结构,ボディ構造,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア4人乗りMPV,5ドア7人乗りMPV
基本参数,基本仕様,发动机,エンジン,1.5T 139馬力 L4,純電動,純電動,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,純電動,純電動,純電動,1.5T 139馬力 L4,1.5T 139馬力 L4,1.5T 139馬力 L4,1.5T 139馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),231,374,374,272,333,333,333,333,333,272,333,313,313,313,231,292,292,292
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5250×1960×1920(mm),5250×1960×1900(mm),5250×1960×1900(mm),5250×1960×1900(mm),5250×1960×1900(mm),5250×1960×1900(mm),5250×1960×1900(mm),5250×1960×1900(mm),5250×1960×1900(mm),5250×1960×1900(mm),5250×1960×1900(mm),5250×1960×1900(mm),5250×1960×1900(mm),5250×1960×1920(mm),5250×1960×1920(mm),5250×1960×1920(mm),5250×1960×1900(mm),5250×1960×1920(mm)
