セクション,項目,格瑞维亚 2026款 2.5L混动 舒适版,格瑞维亚 2026款 2.5L混动 豪华版,格瑞维亚 2026款 2.5L混动 尊贵PLUS版,格瑞维亚 2026款 2.5L混动 尊贵福祉PLUS版,格瑞维亚 2026款 2.5L混动 尊爵ULTRA版,格瑞维亚 2026款 2.5L混动 旗舰ULTRA版,格瑞维亚 2026款 2.5L混动 尊贵PLUS四驱版,格瑞维亚 2026款 2.5L混动 尊爵MAX四驱版,格瑞维亚 2024款 2.5L混动 舒适版,格瑞维亚 2024款 2.5L混动 豪华版,格瑞维亚 2024款 2.5L混动 尊贵PLUS版,格瑞维亚 2024款 2.5L混动 尊贵福祉PLUS版,格瑞维亚 2024款 2.5L混动 尊爵ULTRA版,格瑞维亚 2024款 2.5L混动 旗舰ULTRA版,格瑞维亚 2024款 2.5L混动 尊贵PLUS四驱版
,厂商指导价(元),29.98万 计算器,31.98万 计算器,35.38万 计算器,38.98万 计算器,36.98万 计算器,39.98万 计算器,36.38万 计算器,36.98万 计算器,29.98万 计算器,31.98万 计算器,35.38万 计算器,38.98万 计算器,36.98万 计算器,41.68万 计算器,36.38万 计算器
,经销商报价,24.18万起 询底价,26.18万起 询底价,29.58万起 询底价,33.18万起 询底价,31.18万起 询底价,34.18万起 询底价,30.58万起 询底价,31.18万起 询底价,29.98万起 询底价,31.98万起 询底价,35.38万起 询底价,38.98万起 询底价,36.98万起 询底价,41.68万起 询底价,36.38万起 询底价
基本参数,厂商,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田
基本参数,级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,能源类型,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2024.04,2024.04,2024.04,2024.04,2024.04,2024.04,2024.04
基本参数,最大功率(kW),181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
基本参数,最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
基本参数,车身结构,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
基本参数,发动机,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4
基本参数,电动机(Ps),182,182,182,182,182,182,237,237,182,182,182,182,182,182,237
基本参数,长*宽*高(mm),5175*1995*1765,5175*1995*1785,5175*1995*1785,5175*1995*1785,5175*1995*1785,5175*1995*1785,5175*1995*1785,5175*1995*1785,5175*1995*1765,5175*1995*1785,5175*1995*1785,5175*1995*1785,5175*1995*1785,5175*1995*1785,5175*1995*1785
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),5.71,5.77,5.66,5.77,5.66,5.66,6.13,6.13,5.71,5.77,5.66,5.77,5.66,5.66,6.13
