セクション,セクション_ja,項目,項目_ja,2026年モデル 2.5Lハイブリッド 快適版,2026年モデル 2.5Lハイブリッド 豪華版,2026年モデル 2.5Lハイブリッド プレミアムPLUS版,2026年モデル 2.5Lハイブリッド プレミアム福祉PLUS版,2026年モデル 2.5Lハイブリッド プレミアムULTRA版,2026年モデル 2.5Lハイブリッド フラッグシップULTRA版,2026年モデル 2.5Lハイブリッド プレミアムPLUS 4WD版,2026年モデル 2.5Lハイブリッド プレミアムMAX 4WD版,2024年モデル 2.5Lハイブリッド 快適版,2024年モデル 2.5Lハイブリッド 豪華版,2024年モデル 2.5Lハイブリッド プレミアムPLUS版,2024年モデル 2.5Lハイブリッド プレミアム福祉PLUS版,2024年モデル 2.5Lハイブリッド プレミアムULTRA版,2024年モデル 2.5Lハイブリッド フラッグシップULTRA版,2024年モデル 2.5Lハイブリッド プレミアムPLUS 4WD版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"29.98万元（日本円 約6,295,800円）","31.98万元（日本円 約6,715,800円）","35.38万元（日本円 約7,429,800円）","38.98万元（日本円 約8,185,800円）","36.98万元（日本円 約7,765,800円）","39.98万元（日本円 約8,395,800円）","36.38万元（日本円 約7,639,800円）","36.98万元（日本円 約7,765,800円）","29.98万元（日本円 約6,295,800円）","31.98万元（日本円 約6,715,800円）","35.38万元（日本円 約7,429,800円）","38.98万元（日本円 約8,185,800円）","36.98万元（日本円 約7,765,800円）","41.68万元（日本円 約8,752,800円）","36.38万元（日本円 約7,639,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"23.78万元（日本円 約4,993,800円）","25.78万元（日本円 約5,413,800円）","29.18万元（日本円 約6,127,800円）","32.78万元（日本円 約6,883,800円）","30.78万元（日本円 約6,463,800円）","33.78万元（日本円 約7,093,800円）","30.18万元（日本円 約6,337,800円）","30.78万元（日本円 約6,463,800円）","29.98万元（日本円 約6,295,800円）","31.98万元（日本円 約6,715,800円）","35.38万元（日本円 約7,429,800円）","38.98万元（日本円 約8,185,800円）","36.98万元（日本円 約7,765,800円）","41.68万元（日本円 約8,752,800円）","36.38万元（日本円 約7,639,800円）"
基本参数,基本仕様,厂商,メーカー,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ
基本参数,基本仕様,级别,クラス,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,基本仕様,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2024.04,2024.04,2024.04,2024.04,2024.04,2024.04,2024.04
基本参数,基本仕様,最大功率(kW),最大出力(kW),181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,变速箱,トランスミッション,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
基本参数,基本仕様,车身结构,ボディ構造,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV
基本参数,基本仕様,发动机,エンジン,2.5L 189馬力 L4,2.5L 189馬力 L4,2.5L 189馬力 L4,2.5L 189馬力 L4,2.5L 189馬力 L4,2.5L 189馬力 L4,2.5L 189馬力 L4,2.5L 189馬力 L4,2.5L 189馬力 L4,2.5L 189馬力 L4,2.5L 189馬力 L4,2.5L 189馬力 L4,2.5L 189馬力 L4,2.5L 189馬力 L4,2.5L 189馬力 L4
