セクション,項目,长安Lumin 2026款 宝藏版 205km 心爱米 国轩,长安Lumin 2026款 宝藏版 205km 酷爱米 宁德,长安Lumin 2026款 宝藏版 301km 臻爱米 宁德,长安Lumin 2025款 210km 清香款,长安Lumin 2025款 205km 清香款,长安Lumin 2025款 205km 香沁款,长安Lumin 2025款 301km 蜜沁款,长安Lumin 2025款 301km 萌宝版,长安Lumin 2024款 130km 清悦款,长安Lumin 2024款 205km 橙风版,长安Lumin 2024款 205km 启航版,长安Lumin 2024款 301km 橙风版,长安Lumin 2024款 301km 启航版,长安Lumin 2023款 301km 蜜沁款,长安Lumin 2023款 205km 香沁款
,厂商指导价(元),4.99万 计算器,5.19万 计算器,5.89万 计算器,4.49万 计算器,4.69万 计算器,4.99万 计算器,5.89万 计算器,6.19万 计算器,3.79万 计算器,5.89万 计算器,5.89万 计算器,6.59万 计算器,6.59万 计算器,6.19万 计算器,5.49万 计算器
,经销商报价,4.99万起,5.19万起,5.89万起,4.09万起,4.29万起,4.69万起,5.39万起,5.69万起,3.59万起,4.79万起,4.79万起,5.49万起,5.49万起,5.39万起,4.69万起
基本参数,厂商,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车
基本参数,级别,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.10,2025.10,2025.10,2025.02,2025.02,2025.04,2025.04,2025.03,2024.09,2024.06,2024.06,2024.06,2024.06,2023.10,2023.08
基本参数,CLTC纯电续航里程(km),205,205,301,210,205,205,301,301,130,205,205,301,301,301,205
基本参数,电池快充时间(小时),0.58,0.58,0.58,-,0.5,0.58,0.58,0.58,-,0.58,0.58,0.58,0.58,0.58,0.58
基本参数,电池慢充时间(小时),6.5,6.5,10,9.8,6.5,4.6,7,7,6,4.6,4.6,7,7,7,4.6
基本参数,电池快充电量范围(%),30-80,30-80,30-80,-,30-80,30-80,30-80,30-80,-,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),-,-,-,-,-,30-100,30-100,30-100,-,30-100,30-100,30-100,30-100,30-100,30-100
基本参数,最大功率(kW),35,35,35,30,35,35,35,35,30,35,35,35,35,35,35
基本参数,最大扭矩(N·m),85,85,85,88,83,83,83,-,-,-,-,-,-,-,-
基本参数,车身结构,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车
基本参数,电动机(Ps),48,48,48,41,48,48,48,48,41,48,48,48,48,48,48
基本参数,长*宽*高(mm),3293*1700*1545,3293*1700*1545,3293*1700*1545,3270*1700*1545,3270*1700*1545,3270*1700*1545,3270*1700*1545,3270*1700*1545,3270*1700*1545,3270*1700*1545,3270*1700*1545,3270*1700*1545,3270*1700*1545,3270*1700*1545,3270*1700*1545
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,官方0-50km/h加速(s),6.1,6.1,6.2,6.5,6.1,6.1,6.2,6.2,6.5,6.1,6.1,6.2,6.2,6.2,6.1
基本参数,最高车速(km/h),101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
