セクション,項目,揽巡 2026款 330TSI 精英巡行 众享款,揽巡 2026款 330TSI 豪华巡逸 众享款,揽巡 2026款 380TSI 四驱R-Line巡游 众享款,揽巡 2026款 380TSI 四驱R-Line巡礼 众享款,揽巡 2026款 380TSI 四驱R-Line巡礼 曜夜版,揽巡 2025款 330TSI 精英巡行 众享款,揽巡 2025款 330TSI 豪华巡逸 众享款,揽巡 2025款 380TSI 四驱R-Line巡游 众享款,揽巡 2025款 380TSI 四驱R-Line巡礼 众享款,揽巡 2025款 380TSI 四驱R-Line巡礼 曜夜版,揽巡 2026款 450TSI 四驱R-Line基本型
,厂商指导价(元),24.29万 计算器,25.99万 计算器,27.99万 计算器,29.99万 计算器,29.99万 计算器,24.29万 计算器,25.99万 计算器,27.99万 计算器,29.99万 计算器,29.99万 计算器,预售
,经销商报价,18.69万起,18.98万起,22.39万起,24.39万起,24.39万起,18.69万起,18.98万起,22.39万起,24.39万起,24.39万起,暂无报价
基本参数,厂商,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.10,2025.10,2025.10,2025.10,2025.10,2025.08,2025.08,2025.08,2025.08,2025.08,-
基本参数,最大功率(kW),137,137,162,162,162,137,137,162,162,162,200
基本参数,最大扭矩(N·m),320,320,350,350,350,320,320,350,350,350,-
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,-
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,2.0T 186马力 L4,2.0T 186马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 186马力 L4,2.0T 186马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 272马力 L4
基本参数,长*宽*高(mm),4936*2015*1756,4936*2015*1767,4949*2015*1772,4949*2015*1772,4949*2015*1772,4936*2015*1756,4936*2015*1767,4949*2015*1772,4949*2015*1772,4949*2015*1772,5007*2015*1763
