セクション,項目,海鸥 2025款 智驾版 305km 活力版,海鸥 2025款 智驾版 305km 自由版,海鸥 2025款 智驾版 405km 自在版,海鸥 2025款 智驾版 405km 飞翔版,海鸥 2025款 305km 活力版,海鸥 2025款 305km 自由版,海鸥 2025款 405km 飞翔版
,厂商指导价(元),6.98万 计算器,7.88万 计算器,7.88万 计算器,8.58万 计算器,6.98万 计算器,7.58万 计算器,8.58万 计算器
,经销商报价,6.68万起,7.58万起,7.58万起,8.28万起,6.38万起,6.98万起,7.98万起
基本参数,厂商,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
基本参数,级别,小型车,小型车,小型车,小型车,小型车,小型车,小型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.02,2025.02,2025.06,2025.02,2024.08,2024.08,2024.08
基本参数,CLTC纯电续航里程(km),305,305,405,405,305,305,405
基本参数,电池快充时间(小时),0.5,0.5,0.5,0.5,0.5,0.5,0.5
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),55,55,55,55,55,55,55
基本参数,最大扭矩(N·m),135,135,135,135,135,135,135
基本参数,车身结构,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车
基本参数,电动机(Ps),75,75,75,75,75,75,75
基本参数,长*宽*高(mm),3780*1715*1540,3780*1715*1540,3780*1715*1540,3780*1715*1540,3780*1715*1540,3780*1715*1540,3780*1715*1540
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-
基本参数,官方0-50km/h加速(s),4.9,4.9,4.9,4.9,4.9,4.9,4.9
基本参数,最高车速(km/h),130,130,130,130,130,130,130
基本参数,电能当量燃料消耗量(L/100km),1.15,1.15,1.17,1.17,1.12,1.12,1.14
基本参数,实测0-100km/h加速(s),-,-,-,-,13.22,-,14.59
