セクション,セクション_ja,項目,項目_ja,2025年モデル インテリジェントドライブ 305km アクティブ版,2025年モデル インテリジェントドライブ 305km フリースタイル版,2025年モデル インテリジェントドライブ 405km フリーダム版,2025年モデル インテリジェントドライブ 405km フライング版,2025年モデル 305km アクティブ版,2025年モデル 305km フリースタイル版,2025年モデル 405km フライング版
,nan,厂商指导价(元),メーカー希望小売価格(元),"6.98万元（日本円 約1,465,800円）","7.88万元（日本円 約1,654,800円）","7.88万元（日本円 約1,654,800円）","8.58万元（日本円 約1,801,800円）","6.98万元（日本円 約1,465,800円）","7.58万元（日本円 約1,591,800円）","8.58万元（日本円 約1,801,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"6.68万元（日本円 約1,402,800円）","7.58万元（日本円 約1,591,800円）","7.58万元（日本円 約1,591,800円）","8.28万元（日本円 約1,738,800円）","6.38万元（日本円 約1,339,800円）","6.98万元（日本円 約1,465,800円）","7.98万元（日本円 約1,675,800円）"
基本参数,基本仕様,厂商,メーカー,ビーワイディー,ビーワイディー,ビーワイディー,ビーワイディー,ビーワイディー,ビーワイディー,ビーワイディー
基本参数,基本仕様,级别,クラス,小型車,小型車,小型車,小型車,小型車,小型車,小型車
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.02,2025.02,2025.06,2025.02,2024.08,2024.08,2024.08
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),305,305,405,405,305,305,405
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.5,0.5,0.5,0.5,0.5
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),55,55,55,55,55,55,55
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),135,135,135,135,135,135,135
基本参数,基本仕様,车身结构,ボディ構造,5ドア4人乗りハッチバック,5ドア4人乗りハッチバック,5ドア4人乗りハッチバック,5ドア4人乗りハッチバック,5ドア4人乗りハッチバック,5ドア4人乗りハッチバック,5ドア4人乗りハッチバック
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),75,75,75,75,75,75,75
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),3780*1715*1540,3780*1715*1540,3780*1715*1540,3780*1715*1540,3780*1715*1540,3780*1715*1540,3780*1715*1540
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速(秒),4.9,4.9,4.9,4.9,4.9,4.9,4.9
