セクション,項目,深蓝S07 2026款 230Plus 华为乾崑ADS SE版,深蓝S07 2026款 230Max 华为乾崑ADS SE版,深蓝S07 2026款 230Ultra 华为乾崑ADS SE版,深蓝S07 2026款 300Ultra 华为乾崑ADS SE版,深蓝S07 2026款 550Max 华为乾崑ADS SE版,深蓝S07 2026款 550Ultra 华为乾崑ADS SE版,深蓝S07 2025款 215Plus 深蓝智驾AD PRO增程版,深蓝S07 2025款 215Max 深蓝智驾AD PRO增程版,深蓝S07 2025款 285Max 深蓝智驾AD PRO增程版,深蓝S07 2025款 215Max 华为乾崑智驾ADS SE增程版,深蓝S07 2025款 285Max 华为乾崑智驾ADS SE增程版,深蓝S07 2025款 628Max 华为乾崑智驾ADS SE纯电版,深蓝S07 2025款 520Max 深蓝智驾AD PRO纯电版,深蓝S07 2025款 520Max 华为乾崑智驾ADS SE纯电版
,厂商指导价(元),14.99万 计算器,15.69万 计算器,16.69万 计算器,17.39万 计算器,15.69万 计算器,16.69万 计算器,15.99万 计算器,16.99万 计算器,17.69万 计算器,17.99万 计算器,18.69万 计算器,19.79万 计算器,17.49万 计算器,18.49万 计算器
,经销商报价,14.69万起,15.39万起,16.39万起,17.09万起,15.39万起,16.39万起,13.49万起,14.49万起,15.19万起,15.49万起,16.19万起,17.29万起,14.99万起,15.99万起
基本参数,厂商,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,增程式,增程式,增程式,增程式,纯电动,纯电动,增程式,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动
基本参数,环保标准,国VI,国VI,国VI,国VI,-,-,国VI,国VI,国VI,国VI,国VI,-,-,-
基本参数,上市时间,2025.10,2025.09,2025.09,2025.09,2025.09,2025.09,2025.05,2025.02,2025.02,2025.02,2025.02,2025.02,2025.02,2025.02
基本参数,WLTC纯电续航里程(km),170,170,170,216,-,-,165,165,210,165,210,-,-,-
基本参数,CLTC纯电续航里程(km),230,230,230,300,550,550,215,215,285,215,285,628,520,520
基本参数,电池快充时间(小时),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.58,0.25,0.25
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),190,190,190,200,200,200,175,175,190,175,190,160,190,190
基本参数,最大扭矩(N·m),290,290,290,290,290,290,320,320,320,320,320,320,320,320
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,增程器 98马力,增程器 98马力,增程器 98马力,增程器 98马力,纯电动,纯电动,增程器 98马力,增程器 98马力,增程器 98马力,增程器 98马力,增程器 98马力,纯电动,纯电动,纯电动
基本参数,电动机(Ps),258,258,258,272,272,272,238,238,258,238,258,218,258,258
基本参数,长*宽*高(mm),4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625
基本参数,官方0-100km/h加速(s),7.5,7.5,7.5,7.6,7.4,7.4,7.7,7.7,7.8,7.7,7.8,7.5,7.6,7.6
基本参数,最高车速(km/h),180,180,180,180,185,185,180,180,180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),0.71,0.71,0.71,0.67,-,-,0.82,0.82,0.69,0.82,0.69,-,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,4.9,4.9,4.9,4.98,-,-,5.2,5.2,5.3,5.2,5.3,-,-,-
基本参数,最低荷电状态油耗(L/100km)NEDC,3.8,3.8,3.8,3.88,-,-,4.1,4.1,4.2,4.1,4.2,-,-,-
基本参数,电能当量燃料消耗量(L/100km),2.02,2.02,2.02,2.1,1.63,1.63,-,-,-,-,-,1.65,1.68,1.68
基本参数,油电综合燃料消耗量(L/100km),2.73,2.73,2.73,2.77,-,-,2.83,2.83,2.83,2.83,2.83,-,-,-
基本参数,整车质保,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里
基本参数,整备质量(kg),1970,1970,1970,2020,2000,2000,1990,1990,2035,1990,2035,2035,1975,1975
基本参数,最大满载质量(kg),2400,2400,2400,2450,2430,2430,2420,2420,2465,2420,2465,2465,2455,2455
车身,长度(mm),4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750
车身,宽度(mm),1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930
车身,高度(mm),1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625
车身,轴距(mm),2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
车身,前轮距(mm),1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640
车身,后轮距(mm),1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650
车身,接近角(°),17,17,17,17,17,17,18,18,18,18,18,19,19,19
车身,离去角(°),24,24,24,24,24,24,24,24,24,24,24,24,24,24
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),45,45,45,45,-,-,45,45,45,45,45,-,-,-
车身,前备厢容积(L),-,-,-,-,125,125,-,-,-,-,-,125,125,125
车身,后备厢容积(L),485-1425,485-1425,485-1425,485-1425,485-1425,485-1425,445-1385,445-1385,445-1385,445-1385,445-1385,445-1385,445-1385,445-1385
