セクション,項目,狮铂拓界 2025款 2.0L HEV 两驱豪华版,狮铂拓界 2025款 2.0L HEV 两驱尊贵版,狮铂拓界 2025款 2.0L HEV 两驱旗舰版,狮铂拓界 2025款 1.5T 两驱豪华版,狮铂拓界 2025款 1.5T 两驱豪华舒享版,狮铂拓界 2025款 1.5T 两驱尊贵智享版,狮铂拓界 2025款 1.5T 两驱尊贵版,狮铂拓界 2025款 2.0T 两驱豪华版,狮铂拓界 2025款 2.0T 两驱豪华舒享版,狮铂拓界 2025款 2.0T 两驱尊贵智享版,狮铂拓界 2025款 2.0T 两驱尊贵版,狮铂拓界 2025款 2.0T 两驱旗舰版,狮铂拓界 2025款 2.0T 四驱豪华版,狮铂拓界 2025款 2.0T 四驱豪华舒享版,狮铂拓界 2025款 2.0T 四驱尊贵智享版,狮铂拓界 2025款 2.0T 四驱尊贵版,狮铂拓界 2025款 2.0T 四驱旗舰版,狮铂拓界 2023款 2.0L HEV 两驱豪华版,狮铂拓界 2023款 2.0L HEV 两驱尊贵版,狮铂拓界 2023款 2.0L HEV 两驱旗舰版,狮铂拓界 2023款 1.5T 两驱豪华版,狮铂拓界 2023款 1.5T 两驱尊贵版,狮铂拓界 2023款 2.0T 两驱豪华版,狮铂拓界 2023款 2.0T 两驱尊贵版,狮铂拓界 2023款 2.0T 两驱旗舰版,狮铂拓界 2023款 2.0T 四驱豪华版,狮铂拓界 2023款 2.0T 四驱尊贵版,狮铂拓界 2023款 2.0T 四驱旗舰版
,厂商指导价(元),20.58万 计算器,21.48万 计算器,23.78万 计算器,17.98万 计算器,18.48万 计算器,18.98万 计算器,18.98万 计算器,19.08万 计算器,19.48万 计算器,19.98万 计算器,19.98万 计算器,22.28万 计算器,20.28万 计算器,20.68万 计算器,21.18万 计算器,21.18万 计算器,23.48万 计算器,20.58万 计算器,21.48万 计算器,23.78万 计算器,17.98万 计算器,18.98万 计算器,19.08万 计算器,19.98万 计算器,22.28万 计算器,20.28万 计算器,21.18万 计算器,23.48万 计算器
,经销商报价,13.58万起 询底价,14.48万起 询底价,16.78万起 询底价,10.98万起 询底价,11.48万起 询底价,11.98万起 询底价,11.98万起 询底价,12.08万起 询底价,12.48万起 询底价,12.98万起 询底价,12.98万起 询底价,15.28万起 询底价,13.28万起 询底价,13.68万起 询底价,14.18万起 询底价,14.18万起 询底价,16.48万起 询底价,13.58万起 询底价,14.48万起 询底价,16.78万起 询底价,10.98万起 询底价,11.98万起 询底价,12.08万起 询底价,12.98万起 询底价,15.28万起 询底价,13.28万起 询底价,14.18万起 询底价,16.48万起 询底价
基本参数,厂商,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11
基本参数,最大功率(kW),147,147,147,147,147,147,147,173.6,173.6,173.6,173.6,173.6,173.6,173.6,173.6,173.6,173.6,147,147,147,147,147,173.6,173.6,173.6,173.6,173.6,173.6
基本参数,最大扭矩(N·m),350,350,350,253,253,253,253,353,353,353,353,353,353,353,353,353,353,350,350,350,253,253,353,353,353,353,353,353
基本参数,变速箱,6挡手自一体,6挡手自一体,6挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,1.5T 200马力 L4,1.5T 200马力 L4,1.5T 200马力 L4,1.5T 200马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,1.5T 200马力 L4,1.5T 200马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,2.0T 236马力 L4
基本参数,电动机(Ps),60,60,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,60,60,-,-,-,-,-,-,-,-
基本参数,长*宽*高(mm),4670*1865*1678,4670*1865*1680,4670*1865*1680,4670*1865*1678,4670*1865*1678,4670*1865*1678,4670*1865*1680,4670*1865*1678,4670*1865*1678,4670*1865*1678,4670*1865*1680,4670*1865*1680,4670*1865*1678,4670*1865*1678,4670*1865*1678,4670*1865*1680,4670*1865*1680,4670*1865*1678,4670*1865*1680,4670*1865*1680,4670*1865*1678,4670*1865*1680,4670*1865*1678,4670*1865*1680,4670*1865*1680,4670*1865*1678,4670*1865*1680,4670*1865*1680
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),160,160,160,205,205,205,205,210,210,210,210,210,210,210,210,210,210,160,160,160,205,205,210,210,210,210,210,210
基本参数,WLTC综合油耗(L/100km),5.6,5.6,5.6,7,7,7,7,7.45,7.45,7.45,7.54,7.54,8.03,8.03,8.03,8.03,8.03,5.6,5.6,5.6,7,7,7.45,7.54,7.54,8.03,8.03,8.03
基本参数,整车质保,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,-,-,-,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里
基本参数,整备质量(kg),1622,1622,1622,1568,1568,1568,1568,1590,1590,1590,1637,1637,1724,1724,1724,1724,1724,1622,1622,1622,1530,1568,1590,1637,1637,1724,1724,1724
基本参数,最大满载质量(kg),2080,2080,2080,2010,2010,2010,2010,2100,2100,2100,2100,2100,2185,2185,2185,2185,2185,2080,2080,2080,2010,2010,2100,2100,2100,2185,2185,2185
车身,长度(mm),4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670
车身,宽度(mm),1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865
车身,高度(mm),1678,1680,1680,1678,1678,1678,1680,1678,1678,1678,1680,1680,1678,1678,1678,1680,1680,1678,1680,1680,1678,1680,1678,1680,1680,1678,1680,1680
车身,轴距(mm),2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755
车身,前轮距(mm),1620,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1620,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615
车身,后轮距(mm),1627,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1627,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622
车身,满载最小离地间隙(mm),165,165,165,156,156,156,156,156,156,156,156,156,156,156,156,156,156,165,165,165,156,156,156,156,156,156,156,156
车身,接近角(°),18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
车身,离去角(°),25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
车身,最小转弯半径(m),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),52,52,52,54,54,54,54,54,54,54,54,54,54,54,54,54,54,52,52,52,54,54,54,54,54,54,54,54
车身,后备厢容积(L),545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,G4NR,G4NR,G4NR,G4FS,G4FS,G4FS,G4FS,G4NN,G4NN,G4NN,G4NN,G4NN,G4NN,G4NN,G4NN,G4NN,G4NN,G4NR,G4NR,G4NR,G4FS,G4FS,G4NN,G4NN,G4NN,G4NN,G4NN,G4NN
发动机,排量(mL),1999,1999,1999,1497,1497,1497,1497,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1999,1999,1999,1497,1497,1975,1975,1975,1975,1975,1975
发动机,排量(L),2.0,2.0,2.0,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),150,150,150,200,200,200,200,236,236,236,236,236,236,236,236,236,236,150,150,150,200,200,236,236,236,236,236,236
发动机,最大功率(kW),110,110,110,147,147,147,147,173.6,173.6,173.6,173.6,173.6,173.6,173.6,173.6,173.6,173.6,110,110,110,147,147,173.6,173.6,173.6,173.6,173.6,173.6
发动机,最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
发动机,最大扭矩(N·m),186,186,186,253,253,253,253,353,353,353,353,353,353,353,353,353,353,186,186,186,253,253,353,353,353,353,353,353
发动机,最大扭矩转速(rpm),5000,5000,5000,2200-4000,2200-4000,2200-4000,2200-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,5000,5000,5000,2200-4000,2200-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000
发动机,最大净功率(kW),110,110,110,147,147,147,147,173.6,173.6,173.6,173.6,173.6,173.6,173.6,173.6,173.6,173.6,110,110,110,147,147,173.6,173.6,173.6,173.6,173.6,173.6
