セクション,項目,丰田bZ3 2024款 517km 精英PRO,丰田bZ3 2024款 616km 长续航PRO,丰田bZ3 2024款 616km 长续航Premium
,厂商指导价(元),16.98万 计算器,18.98万 计算器,19.98万 计算器
,经销商报价,12.48万起 询底价,14.48万起 询底价,15.48万起 询底价
基本参数,厂商,一汽丰田,一汽丰田,一汽丰田
基本参数,级别,中型车,中型车,中型车
基本参数,能源类型,纯电动,纯电动,纯电动
基本参数,上市时间,2024.01,2024.01,2024.01
基本参数,CLTC纯电续航里程(km),517,616,616
基本参数,电池快充时间(小时),0.45,0.45,0.45
基本参数,电池慢充时间(小时),7,9.5,9.5
基本参数,电池快充电量范围(%),80,80,80
基本参数,电池慢充电量范围(%),100,100,100
基本参数,最大功率(kW),135,180,180
基本参数,最大扭矩(N·m),303,303,303
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,电动机(Ps),184,245,245
基本参数,长*宽*高(mm),4725*1835*1480,4725*1835*1475,4725*1835*1475
基本参数,官方0-100km/h加速(s),-,-,-
基本参数,官方0-50km/h加速(s),3.2,3.4,3.4
基本参数,最高车速(km/h),160,160,160
基本参数,电能当量燃料消耗量(L/100km),1.24,1.36,1.36
基本参数,整车质保,-,-,-
基本参数,整备质量(kg),1710,1835,1840
基本参数,最大满载质量(kg),2145,2260,2260
车身,长度(mm),4725,4725,4725
车身,宽度(mm),1835,1835,1835
车身,高度(mm),1480,1475,1475
车身,轴距(mm),2880,2880,2880
车身,前轮距(mm),1580,1580,1580
车身,后轮距(mm),1580,1580,1580
车身,接近角(°),13,13,13
车身,离去角(°),23,23,23
车身,车身结构,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5
车身,后备厢容积(L),439,439,439
车身,风阻系数(Cd),0.23,0.23,0.23
电动机,前电动机品牌,弗迪动力,弗迪动力,弗迪动力
电动机,前电动机型号,TZ200-XS002,TZ200-XS002,TZ200-XS002
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),135,180,180
电动机,电动机总马力(Ps),184,245,245
电动机,电动机总扭矩(N·m),303,303,303
电动机,前电动机最大功率(kW),135,180,180
电动机,前电动机最大扭矩(N·m),303,303,303
电动机,驱动电机数,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置
电动机,三电系统质保,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 弗迪,● 弗迪,● 弗迪
电池/充电,电池冷却方式,液冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),517,616,616
电池/充电,电池能量(kWh),49.92,65.28,65.28
电池/充电,电池能量密度(Wh/kg),146.39,148.7,148.7
电池/充电,百公里耗电量(kWh/100km),11,12,12
电池/充电,快充功能,支持,支持,支持
电池/充电,快充功率(kW),70,90,90
电池/充电,电池快充时间(小时),0.45,0.45,0.45
电池/充电,电池慢充时间(小时),7,9.5,9.5
电池/充电,电池快充电量范围(%),80,80,80
电池/充电,电池慢充电量范围(%),100,100,100
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 双连杆独立悬架,● 双连杆独立悬架,● 双连杆独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 225/50 R18,● 225/50 R18,● 225/50 R18
车轮制动,后轮胎规格,● 225/50 R18,● 225/50 R18,● 225/50 R18
车轮制动,备胎规格,● 补胎工具,● 补胎工具,● 补胎工具
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后
被动安全,膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊
主动安全,ABS防抱死,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,●,●,●
主动安全,ISOFIX儿童座椅接口,●,●,●
主动安全,车道偏离预警系统,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●
主动安全,疲劳驾驶提示,○,○,●
主动安全,DOW开门预警,○,○,●
主动安全,前方碰撞预警,●,●,●
主动安全,后方碰撞预警,○,○,●
主动安全,移动物体预警系统,●,●,●
主动安全,低速行车警告,●,●,●
主动安全,道路救援呼叫,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地
驾驶操控,能量回收系统,●,●,●
驾驶操控,自动驻车,●,●,●
驾驶操控,上坡辅助,●,●,●
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,倒车影像 360度全景影像,倒车影像 360度全景影像,● 360度全景影像
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目
驾驶硬件,车内摄像头数量,○ 1个,○ 1个,● 1个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense
驾驶功能,辅助驾驶等级,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,○,○,●
驾驶功能,卫星导航系统,●,●,●
驾驶功能,导航路况信息显示,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德
驾驶功能,并线辅助,○,○,●
驾驶功能,车道保持辅助系统,●,●,●
驾驶功能,车道居中保持,●,●,●
驾驶功能,道路交通标识识别,●,●,●
驾驶功能,辅助泊车入位,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金
外观/防盗,车内中控锁,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙
外观/防盗,无钥匙启动系统,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排
外观/防盗,隐藏电动门把手,●,●,●
外观/防盗,主动闭合式进气格栅,●,●,●
外观/防盗,电池预加热,●,●,●
外观/防盗,对外放电,-,-,○
车外灯光,近光灯光源,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●
车外灯光,自适应远近光,●,●,●
车外灯光,自动头灯,●,●,●
车外灯光,车前雾灯,-,-,-
车外灯光,大灯高度可调,●,●,●
车外灯光,大灯延时关闭,●,●,●
天窗/玻璃,天窗类型,● 电动天窗,● 电动天窗,● 电动天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●
天窗/玻璃,车内化妆镜,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶
天窗/玻璃,后雨刷,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜加热,● 电动调节 电动折叠 后视镜加热,● 电动调节 电动折叠 后视镜加热
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 12.8英寸,● 12.8英寸,● 12.8英寸
屏幕/系统,中控屏幕类型,● LCD,● LCD,● LCD
屏幕/系统,蓝牙/车载电话,●,●,●
屏幕/系统,手机互联/映射,-,-,-
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗
屏幕/系统,语音助手唤醒词,● 你好，小扉,● 你好，小扉,● 你好，小扉
屏幕/系统,语音免唤醒词,●,●,●
屏幕/系统,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域
屏幕/系统,语音连续识别,●,●,●
屏幕/系统,面部识别,○,○,●
屏幕/系统,应用商店,●,●,●
智能化配置,车联网,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●
智能化配置,手机APP远程功能,● 车门控制 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 充电管理 空调控制 车况查询/诊断 车辆定位/寻车
方向盘/内后视镜,方向盘材质,塑料 真皮,塑料 真皮,● 真皮
