セクション,セクション_ja,項目,項目_ja,2024年モデル 517km エリートPRO,2024年モデル 616km ロングレンジPRO,2024年モデル 616km ロングレンジプレミアム
,nan,厂商指导价(元),メーカー希望小売価格(元),"16.98万元（日本円 約3,565,800円）","18.98万元（日本円 約3,985,800円）","19.98万元（日本円 約4,195,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"12.48万元（日本円 約2,620,800円）","14.48万元（日本円 約3,040,800円）","15.48万元（日本円 約3,250,800円）"
基本参数,基本仕様,厂商,メーカー,一汽トヨタ,一汽トヨタ,一汽トヨタ
基本参数,基本仕様,级别,クラス,ミドルクラス車,ミドルクラス車,ミドルクラス車
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2024.01,2024.01,2024.01
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),517,616,616
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.45,0.45,0.45
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),7,9.5,9.5
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電可能範囲(%),80,80,80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電可能範囲(%),100,100,100
基本参数,基本仕様,最大功率(kW),最大出力(kW),135,180,180
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),303,303,303
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),184,245,245
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4725×1835×1480mm,4725×1835×1475mm,4725×1835×1475mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速時間(s),3.2,3.4,3.4
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),160,160,160
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.24,1.36,1.36
基本参数,基本仕様,整车质保,車両保証,-,-,-
基本参数,基本仕様,整备质量(kg),車両重量(kg),1710,1835,1840
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2145,2260,2260
车身,車体,长度(mm),全長(mm),4725,4725,4725
车身,車体,宽度(mm),全幅(mm),1835,1835,1835
车身,車体,高度(mm),全高(mm),1480,1475,1475
车身,車体,轴距(mm),ホイールベース(mm),2880,2880,2880
车身,車体,前轮距(mm),前トレッド(mm),1580,1580,1580
车身,車体,后轮距(mm),後トレッド(mm),1580,1580,1580
车身,車体,接近角(°),アプローチアングル(°),13,13,13
车身,車体,离去角(°),デパーチャーアングル(°),23,23,23
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4枚,● 4枚,● 4枚
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,后备厢容积(L),トランク容量(L),439,439,439
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.23,0.23,0.23
电动机,モーター,前电动机品牌,前モーターブランド,フォーディパワー,フォーディパワー,フォーディパワー
电动机,モーター,前电动机型号,前モーター型式,TZ200-XS002,TZ200-XS002,TZ200-XS002
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),135,180,180
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),184,245,245
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),303,303,303
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),135,180,180
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),303,303,303
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター
电动机,モーター,电机布局,モーター配置,前置エンジン,前置エンジン,前置エンジン
电动机,モーター,三电系统质保,三電システム保証,● 10年または20万km保証,● 10年または20万km保証,● 10年または20万km保証
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● フォーディ,● フォーディ,● フォーディ
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),517,616,616
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),49.92,65.28,65.28
电池/充电,バッテリー/充電,电池能量密度(Wh/kg),バッテリーエネルギー密度(Wh/kg),146.39,148.7,148.7
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたりの電力消費量(kWh/100km),11,12,12
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),70,90,90
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.45,0.45,0.45
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),7,9.5,9.5
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電可能範囲(%),80,80,80
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電可能範囲(%),100,100,100
变速箱,トランスミッション,简称,略称,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション
变速箱,トランスミッション,挡位个数,段数,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● パンク修理キット,● パンク修理キット,● パンク修理キット
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席エアバッグ,● 運転席/助手席エアバッグ,● 運転席/助手席エアバッグ
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ
被动安全,衝突安全,膝部气囊,ニーエアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,●,●,●
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定用インターフェース,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,○,○,●
