セクション,項目,熊猫 2025款 熊猫mini 210km 元气熊,熊猫 2025款 210km 熊猫卡丁,熊猫 2025款 210km 熊猫卡丁猪猪侠限定版,熊猫 2025款 210km 熊猫骑士,熊猫 2024款 熊猫mini 200km 耐力熊,熊猫 2023款 熊猫mini 120km 亚运熊,熊猫 2023款 熊猫mini 120km 超萌熊,熊猫 2023款 熊猫mini 200km 灵动熊
,厂商指导价(元),4.99万 计算器,4.69万 计算器,5.09万 计算器,5.39万 计算器,4.99万 计算器,2.99万 计算器,4.29万 计算器,5.39万 计算器
,经销商报价,3.99万起,4.29万起,4.69万起,4.29万起,3.79万起,2.89万起,3.29万起,4.09万起
基本参数,厂商,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车
基本参数,级别,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.04,2024.11,2025.08,2024.11,2024.04,2023.08,2023.02,2023.02
基本参数,CLTC纯电续航里程(km),210,210,210,210,200,120,120,200
基本参数,电池快充时间(小时),0.5,0.5,0.5,0.5,0.5,-,-,0.5
基本参数,电池慢充时间(小时),4.5,4.5,4.5,4.5,4.5,5,5,-
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,-,-,30-80
基本参数,电池慢充电量范围(%),20-100,20-100,20-100,20-100,20-100,20-100,20-100,-
基本参数,最大功率(kW),30,30,30,30,30,20,20,30
基本参数,最大扭矩(N·m),110,110,110,110,110,85,85,110
基本参数,车身结构,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车
基本参数,电动机(Ps),41,41,41,41,41,27,27,41
基本参数,长*宽*高(mm),3085*1522*1600,3150*1540*1685,3150*1540*1685,3135*1565*1655,3065*1522*1600,3065*1522*1600,3065*1522*1600,3065*1522*1610
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),100,100,100,100,100,100,100,100
基本参数,电能当量燃料消耗量(L/100km),1.06,1.06,1.06,1.06,1.06,1.04,1.04,1.11
基本参数,整车质保,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里
基本参数,整备质量(kg),815,815,815,815,815,715,715,797
基本参数,最大满载质量(kg),1125,1125,1125,1125,1125,1020,1020,1105
车身,长度(mm),3085,3150,3150,3135,3065,3065,3065,3065
车身,宽度(mm),1522,1540,1540,1565,1522,1522,1522,1522
车身,高度(mm),1600,1685,1685,1655,1600,1600,1600,1610
车身,轴距(mm),2015,2015,2015,2015,2015,2015,2015,2015
车身,前轮距(mm),1315,1315,1315,1329,1315,1315,1315,1315
车身,后轮距(mm),1311,1311,1311,1325,1311,1311,1311,1311
车身,空载最小离地间隙(mm),170,175,175,175,170,170,170,170
车身,接近角(°),28,18,18,29,29,29,29,29
车身,离去角(°),32,22,22,29,33,31,33,33
车身,最小转弯半径(m),4,4,4,4,4,4,4,4
车身,车身结构,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3
车身,座位数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,后备厢容积(L),69-800,69-800,69-800,69-800,69-800,69-800,69-800,69-800
车身,风阻系数(Cd),-,-,-,-,-,-,-,-
电动机,后电动机品牌,浙江奥思伟尔,浙江奥思伟尔,浙江奥思伟尔,浙江奥思伟尔,浙江奥思伟尔,尼得科,-,浙江奥思伟尔
电动机,后电动机型号,TZ160X30C,TZ160X30C,TZ160X30C,TZ160X30C,TZ160X30C,TZ155X020,-,TZ160X30C
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),30,30,30,30,30,20,20,30
电动机,电动机总马力(Ps),41,41,41,41,41,27,27,41
电动机,电动机总扭矩(N·m),110,110,110,110,110,85,85,110
电动机,后电动机最大功率(kW),30,30,30,30,30,20,20,30
电动机,后电动机最大扭矩(N·m),110,110,110,110,110,85,85,110
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,后置,后置,后置,后置,后置,后置,后置,后置
电动机,三电系统质保,● 首任车主不限年限/里程（责任免除条款以官方为准）,-,-,-,● 首任车主不限年限/里程（责任免除条款以官方为准）,● 首任车主不限年限/里程（责任免除条款以官方为准）,● 首任车主不限年限/里程（责任免除条款以官方为准）,● 首任车主不限年限/里程（责任免除条款以官方为准）
