セクション,項目,小米SU7 2024款 后驱长续航智驾版,小米SU7 2024款 后驱超长续航高阶智驾Pro版,小米SU7 2024款 四驱超长续航高阶智驾Max版
,厂商指导价(元),21.59万 计算器,24.59万 计算器,29.99万 计算器
,经销商报价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价
基本参数,厂商,小米汽车,小米汽车,小米汽车
基本参数,级别,中大型车,中大型车,中大型车
基本参数,能源类型,纯电动,纯电动,纯电动
基本参数,上市时间,2024.03,2024.03,2024.03
基本参数,CLTC纯电续航里程(km),700,830,800
基本参数,电池快充时间(小时),0.42,0.5,0.32
基本参数,电池快充电量范围(%),10-80,10-80,10-80
基本参数,最大功率(kW),220,220,495
基本参数,最大扭矩(N·m),400,400,838
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,电动机(Ps),299,299,673
基本参数,长*宽*高(mm),4997*1963*1455,4997*1963*1455,4997*1963*1440
基本参数,官方0-100km/h加速(s),5.28,5.7,2.78
基本参数,最高车速(km/h),210,210,265
基本参数,电能当量燃料消耗量(L/100km),1.39,1.46,1.55
基本参数,整车质保,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里
基本参数,整备质量(kg),1980,2090,2205
基本参数,最大满载质量(kg),2430,2540,2655
车身,长度(mm),4997,4997,4997
车身,宽度(mm),1963,1963,1963
车身,高度(mm),1455,1455,1440
车身,轴距(mm),3000,3000,3000
车身,前轮距(mm),1693,1693,1693
车身,后轮距(mm),1699,1699,1699
车身,接近角(°),14,14,13
车身,离去角(°),16,16,16
车身,最小转弯半径(m),5.7,5.7,5.7
车身,车身结构,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5
车身,前备厢容积(L),105,105,105
车身,后备厢容积(L),517,517,493
车身,风阻系数(Cd),0.195,0.195,0.195
电动机,前电动机品牌,-,-,苏州汇川
电动机,后电动机品牌,联合电子,联合电子,苏州汇川
电动机,前电动机型号,-,-,YS210XY102
电动机,后电动机型号,TZ220XS000,TZ220XS000,TZ220XY102
电动机,电机类型,永磁/同步,永磁/同步,前感应/异步 后永磁/同步
电动机,电动机总功率(kW),220,220,495
电动机,电动机总马力(Ps),299,299,673
电动机,电动机总扭矩(N·m),400,400,838
电动机,前电动机最大功率(kW),-,-,220
电动机,前电动机最大扭矩(N·m),-,-,338
电动机,后电动机最大功率(kW),220,220,275
电动机,后电动机最大扭矩(N·m),400,400,500
电动机,驱动电机数,单电机,单电机,双电机
电动机,电机布局,后置,后置,前置+后置
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 三元锂电池
电池/充电,电芯品牌,● 宁德时代 弗迪,● 宁德时代,● 宁德时代
电池/充电,电池特有技术,神行电池/刀片电池,神行电池,麒麟电池
电池/充电,电池冷却方式,液冷,液冷,液冷
