セクション,セクション_ja,項目,項目_ja,2024年モデル 後輪駆動 長距離走行スマートドライブ版,2024年モデル 後輪駆動 超長距離走行上位スマートドライブPro版,2024年モデル 4WD 超長距離走行上位スマートドライブMax版
,nan,厂商指导价(元),メーカー希望小売価格(元),"21.59万元（日本円 約4,533,900円）","24.59万元（日本円 約5,163,900円）","29.99万元（日本円 約6,297,900円）"
,nan,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,Xiaomi自動車,Xiaomi自動車,Xiaomi自動車
基本参数,基本仕様,级别,クラス,中大型車,中大型車,中大型車
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2024.03,2024.03,2024.03
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),700,830,800
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.42,0.5,0.32
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),10-80,10-80,10-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),220,220,495
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),400,400,838
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),299,299,673
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4997×1963×1455,4997×1963×1455,4997×1963×1440
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),5.28,5.7,2.78
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),210,210,265
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.39,1.46,1.55
基本参数,基本仕様,整车质保,車両保証,● 5年または10万km,● 5年または10万km,● 5年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1980,2090,2205
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2430,2540,2655
车身,車体,长度(mm),全長(mm),4997,4997,4997
车身,車体,宽度(mm),全幅(mm),1963,1963,1963
车身,車体,高度(mm),全高(mm),1455,1455,1440
车身,車体,轴距(mm),ホイールベース(mm),3000,3000,3000
车身,車体,前轮距(mm),前トレッド(mm),1693,1693,1693
车身,車体,后轮距(mm),後トレッド(mm),1699,1699,1699
车身,車体,接近角(°),アプローチアングル(°),14,14,13
车身,車体,离去角(°),デパーチャーアングル(°),16,16,16
车身,車体,最小转弯半径(m),最小回転半径(m),5.7,5.7,5.7
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5
车身,車体,前备厢容积(L),フロントトランク容量(L),105,105,105
车身,車体,后备厢容积(L),リアトランク容量(L),517,517,493
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.195,0.195,0.195
电动机,モーター,前电动机品牌,フロントモーター ブランド,-,-,蘇州インバーター
电动机,モーター,后电动机品牌,リアモーター ブランド,ユナイテッドエレクトロニクス,ユナイテッドエレクトロニクス,蘇州インバーター
电动机,モーター,前电动机型号,フロントモーター 型番,-,-,YS210XY102
电动机,モーター,后电动机型号,リアモーター 型番,TZ220XS000,TZ220XS000,TZ220XY102
电动机,モーター,电机类型,モーター種類,永久磁石/同期型,永久磁石/同期型,前：誘導/非同期 後：永久磁石/同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),220,220,495
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),299,299,673
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),400,400,838
电动机,モーター,前电动机最大功率(kW),フロントモーター最大出力(kW),-,-,220
电动机,モーター,前电动机最大扭矩(N·m),フロントモーター最大トルク(N·m),-,-,338
电动机,モーター,后电动机最大功率(kW),リアモーター最大出力(kW),220,220,275
电动机,モーター,后电动机最大扭矩(N·m),リアモーター最大トルク(N·m),400,400,500
