セクション,項目,小鹏MONA M03 2025款 515 长续航 Plus,小鹏MONA M03 2025款 502 长续航 Max,小鹏MONA M03 2025款 620 超长续航 Plus,小鹏MONA M03 2025款 600 超长续航 Max,小鹏MONA M03 2024款 515 长续航,小鹏MONA M03 2024款 620 超长续航
,厂商指导价(元),11.98万 计算器,12.98万 计算器,12.98万 计算器,13.98万 计算器,11.98万 计算器,12.98万 计算器
,经销商报价,11.98万起 询底价,12.98万起 询底价,12.98万起 询底价,13.98万起 询底价,11.98万起 询底价,12.98万起 询底价
基本参数,厂商,小鹏汽车,小鹏汽车,小鹏汽车,小鹏汽车,小鹏汽车,小鹏汽车
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.05,2025.05,2025.05,2025.05,2024.08,2024.08
基本参数,CLTC纯电续航里程(km),515,502,620,600,515,620
基本参数,电池快充时间(小时),0.43,0.43,0.43,0.43,0.43,0.43
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),140,140,160,160,140,160
基本参数,最大扭矩(N·m),225,225,250,250,225,250
基本参数,车身结构,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
基本参数,电动机(Ps),190,190,218,218,190,218
基本参数,长*宽*高(mm),4780*1896*1445,4780*1896*1445,4780*1896*1445,4780*1896*1445,4780*1896*1445,4780*1896*1445
基本参数,官方0-100km/h加速(s),7.8,7.8,7.4,7.4,7.8,7.4
基本参数,最高车速(km/h),155,155,170,170,155,155
基本参数,电能当量燃料消耗量(L/100km),1.34,1.37,1.34,1.37,1.34,1.34
基本参数,实测0-100km/h加速(s),-,-,-,-,-,7.32
基本参数,实测100-0km/h制动(m),-,-,-,-,-,39.64
基本参数,实测平均电耗(kWh/100km),-,-,-,-,-,13.3
基本参数,实测续航里程(km),-,-,-,-,-,536
基本参数,实测快充时间(小时),-,-,-,-,-,0.53
基本参数,实测电池快充电量范围(%),-,-,-,-,-,30-80
基本参数,整车质保,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里
基本参数,整备质量(kg),1661,1661,1739,1739,1661,1739
基本参数,最大满载质量(kg),2036,2036,2114,2114,2036,2114
车身,长度(mm),4780,4780,4780,4780,4780,4780
车身,宽度(mm),1896,1896,1896,1896,1896,1896
车身,高度(mm),1445,1445,1445,1445,1445,1445
车身,轴距(mm),2815,2815,2815,2815,2815,2815
车身,前轮距(mm),1628,1628,1628,1628,1628,1628
车身,后轮距(mm),1628,1628,1628,1628,1628,1628
车身,接近角(°),12,12,12,12,12,12
车身,离去角(°),17,17,17,17,17,17
车身,最小转弯半径(m),5.3,5.3,5.3,5.3,5.3,5.3
车身,车身结构,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5
