セクション,セクション_ja,項目,項目_ja,2025年モデル 515 ロングレンジ Plus,2025年モデル 502 ロングレンジ Max,2025年モデル 620 ウルトラロングレンジ Plus,2025年モデル 600 ウルトラロングレンジ Max,2024年モデル 515 ロングレンジ,2024年モデル 620 ウルトラロングレンジ
,nan,厂商指导价(元),メーカー希望小売価格(元),"11.98万元（日本円 約2,515,800円）","12.98万元（日本円 約2,725,800円）","12.98万元（日本円 約2,725,800円）","13.98万元（日本円 約2,935,800円）","11.98万元（日本円 約2,515,800円）","12.98万元（日本円 約2,725,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"11.98万元（日本円 約2,515,800円）","12.98万元（日本円 約2,725,800円）","12.98万元（日本円 約2,725,800円）","13.98万元（日本円 約2,935,800円）","11.98万元（日本円 約2,515,800円）","12.98万元（日本円 約2,725,800円）"
基本参数,基本仕様,厂商,メーカー,XPeng Motors,XPeng Motors,XPeng Motors,XPeng Motors,XPeng Motors,XPeng Motors
基本参数,基本仕様,级别,クラス,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.05,2025.05,2025.05,2025.05,2024.08,2024.08
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),515,502,620,600,515,620
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.43,0.43,0.43,0.43,0.43,0.43
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),140,140,160,160,140,160
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),225,225,250,250,225,250
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),190,190,218,218,190,218
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4780×1896×1445mm,4780×1896×1445mm,4780×1896×1445mm,4780×1896×1445mm,4780×1896×1445mm,4780×1896×1445mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.8,7.8,7.4,7.4,7.8,7.4
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),155,155,170,170,155,155
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.34,1.37,1.34,1.37,1.34,1.34
基本参数,基本仕様,实测0-100km/h加速(s),実測0-100km/h加速時間(s),-,-,-,-,-,7.32
基本参数,基本仕様,实测100-0km/h制动(m),実測100-0km/h制動距離(m),-,-,-,-,-,39.64
基本参数,基本仕様,实测平均电耗(kWh/100km),実測平均電費(kWh/100km),-,-,-,-,-,13.3
基本参数,基本仕様,实测续航里程(km),実測航続距離(km),-,-,-,-,-,536
基本参数,基本仕様,实测快充时间(小时),実測急速充電時間(時間),-,-,-,-,-,0.53
基本参数,基本仕様,实测电池快充电量范围(%),実測バッテリー急速充電量範囲(%),-,-,-,-,-,30-80
基本参数,基本仕様,整车质保,車両保証,● 5年または12万km保証,● 5年または12万km保証,● 5年または12万km保証,● 5年または12万km保証,● 5年または12万km保証,● 5年または12万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1661,1661,1739,1739,1661,1739
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2036,2036,2114,2114,2036,2114
车身,車体,长度(mm),全長(mm),4780,4780,4780,4780,4780,4780
车身,車体,宽度(mm),全幅(mm),1896,1896,1896,1896,1896,1896
车身,車体,高度(mm),全高(mm),1445,1445,1445,1445,1445,1445
车身,車体,轴距(mm),ホイールベース(mm),2815,2815,2815,2815,2815,2815
车身,車体,前轮距(mm),前トレッド(mm),1628,1628,1628,1628,1628,1628
车身,車体,后轮距(mm),後トレッド(mm),1628,1628,1628,1628,1628,1628
车身,車体,接近角(°),アプローチアングル(°),12,12,12,12,12,12
车身,車体,离去角(°),デパーチャーアングル(°),17,17,17,17,17,17
车身,車体,最小转弯半径(m),最小回転半径(m),5.3,5.3,5.3,5.3,5.3,5.3
车身,車体,车身结构,ボディ構造,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,后备厢容积(L),トランク容量(L),600-1600,600-1600,600-1600,600-1600,621-1603,621-1603
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.194,0.194,0.194,0.194,0.194,0.194
电动机,モーター,前电动机品牌,前モーター ブランド,蘇州インヴェンション,蘇州インヴェンション,フィッシュグリーンエナジー,フィッシュグリーンエナジー,蘇州インヴェンション,フィッシュグリーンエナジー
电动机,モーター,前电动机型号,前モーター 型式,TZ180XS120,TZ180XS120,TZ190XS01D01X,TZ190XS01D01X,TZ180XS120,TZ190XS01D01X
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),140,140,160,160,140,160
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),190,190,218,218,190,218
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),225,225,250,250,225,250
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),140,140,160,160,140,160
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),225,225,250,250,225,250
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,フロントエンジン,フロントエンジン,フロントエンジン,フロントエンジン,フロントエンジン,フロントエンジン
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),515,502,620,600,515,620
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),51.8,51.8,62.2,62.2,51.8,62.2
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),11.5,11.8,11.5,11.8,11.5,11.5
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.43,0.43,0.43,0.43,0.43,0.43
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電ポート位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電ポート位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),3.3,3.3,3.3,3.3,-,-
变速箱,トランスミッション,简称,略称,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,215/50 R18 235/40 R19（4000元追加）,215/50 R18 235/40 R19（4000元追加）,215/50 R18 235/40 R19（4000元追加）,215/50 R18 235/40 R19（4000元追加）,215/50 R18 235/40 R19（4000元追加）,215/50 R18 235/40 R19（4000元追加）
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,215/50 R18 235/40 R19,215/50 R18 235/40 R19,215/50 R18 235/40 R19,215/50 R18 235/40 R19,215/50 R18 235/40 R19,215/50 R18 235/40 R19
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,● なし,● なし,● なし,● なし
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両
