セクション,項目,别克E5 2025款 515KM先享版,别克E5 2025款 545KM智享版,别克E5 2025款 620KM尊享版,别克E5 2024款 先锋Pro版,别克E5 2024款 臻享标续影音版,别克E5 2023款 臻享标准续航版
,厂商指导价(元),16.99万 计算器,17.99万 计算器,18.99万 计算器,16.99万 计算器,21.19万 计算器,20.39万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,上汽通用别克,上汽通用别克,上汽通用别克,上汽通用别克,上汽通用别克,上汽通用别克
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.06,2025.06,2025.06,2024.02,2024.07,2023.04
基本参数,CLTC纯电续航里程(km),515,545,620,515,545,545
基本参数,电池快充时间(小时),0.5,0.47,0.32,0.5,0.467,0.467
基本参数,电池慢充时间(小时),10.3,10.8,11.6,10.3,10.8,10.8
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),0-100,0-100,0-100,0-100,0-100,0-100
基本参数,最大功率(kW),180,180,180,180,180,180
基本参数,最大扭矩(N·m),330,330,330,330,330,330
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,电动机(Ps),245,245,245,245,245,245
基本参数,长*宽*高(mm),4892*1905*1681,4892*1905*1683,4892*1905*1683,4892*1905*1681,4892*1905*1684,4892*1905*1684
基本参数,官方0-100km/h加速(s),7.7,7.5,7.8,7.7,7.6,7.6
基本参数,官方0-50km/h加速(s),3.5,3.4,3.5,3.5,3.4,3.4
基本参数,最高车速(km/h),180,180,180,180,180,180
基本参数,电能当量燃料消耗量(L/100km),1.59,1.57,1.56,-,1.53,1.53
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),2150,2075,2220,2175,2125,2125
基本参数,最大满载质量(kg),2620,2570,2660,2670,2570,2570
车身,长度(mm),4892,4892,4892,4892,4892,4892
车身,宽度(mm),1905,1905,1905,1905,1905,1905
车身,高度(mm),1681,1683,1683,1681,1684,1684
车身,轴距(mm),2954,2954,2954,2954,2954,2954
车身,前轮距(mm),1623,1623,1623,1623,1623,1623
车身,后轮距(mm),1625,1625,1625,1625,1625,1625
车身,接近角(°),17,17,17,17,17,17
车身,离去角(°),19,19,19,19,19,19
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),502,502,502,502,502,502
车身,风阻系数(Cd),-,-,-,-,-,-
电动机,前电动机品牌,上汽通用,上汽通用,上汽通用,上汽通用,上汽通用,上汽通用
电动机,前电动机型号,TZ220XYP76,TZ220XYP76,TZ220XYP76,TZ220XYP76,TZ220XYP76,TZ220XYP76
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),180,180,180,180,180,180
电动机,电动机总马力(Ps),245,245,245,245,245,245
电动机,电动机总扭矩(N·m),330,330,330,330,330,330
电动机,前电动机最大功率(kW),180,180,180,180,180,180
电动机,前电动机最大扭矩(N·m),330,330,330,330,330,330
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-,-,-
电池/充电,电池类型,● 磷酸铁锂电池,● 三元锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 弗迪,● 时代上汽,● 时代上汽,● 弗迪,● 时代上汽,● 时代上汽
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),515,545,620,515,545,545
电池/充电,电池能量(kWh),65,68.4,76.8,65,68.4,68.4
电池/充电,百公里耗电量(kWh/100km),13.7,13.5,13.4,13.7,13.5,13.5
电池/充电,快充功能,支持,支持,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.5,0.47,0.32,0.5,0.467,0.467
电池/充电,电池慢充时间(小时),10.3,10.8,11.6,10.3,10.8,10.8
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,电池慢充电量范围(%),0-100,0-100,0-100,0-100,0-100,0-100
电池/充电,慢充接口位置,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧
