セクション,項目,五菱缤果 2025款 203km 轻享款,五菱缤果 2025款 333km 悦享款,五菱缤果 2025款 333km 灵犀互联款,五菱缤果 2025款 333km 灵犀尊享款,五菱缤果 2025款 410km 灵犀尊享款,五菱缤果 2024款 203km 轻享款,五菱缤果 2024款 333km 悦享款,五菱缤果 2024款 333km 灵犀互联款,五菱缤果 2024款 410km 灵犀尊享款
,厂商指导价(元),5.68万 计算器,7.08万 计算器,7.58万 计算器,8.08万 计算器,8.48万 计算器,5.68万 计算器,7.08万 计算器,7.48万 计算器,8.48万 计算器
,经销商报价,5.18万起,6.08万起,6.28万起,6.78万起,7.78万起,5.68万起,6.58万起,7.18万起,8.48万起
基本参数,厂商,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱
基本参数,级别,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.04,2025.04,2025.04,2025.04,2025.04,2024.06,2024.06,2024.06,2024.06
基本参数,CLTC纯电续航里程(km),203,333,333,333,410,203,333,333,410
基本参数,电池快充时间(小时),0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58
基本参数,电池慢充时间(小时),5.5,9.5,9.5,9.5,12,5.5,9.5,9.5,12
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100
基本参数,最大功率(kW),30,50,50,50,50,30,50,50,50
基本参数,最大扭矩(N·m),85,125,125,125,125,85,125,125,125
基本参数,车身结构,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车
基本参数,电动机(Ps),41,68,68,68,68,41,68,68,68
基本参数,长*宽*高(mm),3950*1708*1580,3950*1708*1580,3950*1708*1580,3950*1708*1580,3950*1708*1580,3950*1708*1580,3950*1708*1580,3950*1708*1580,3950*1708*1580
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),100,130,130,130,130,100,130,130,130
基本参数,电能当量燃料消耗量(L/100km),1.16,1.23,1.23,1.23,1.23,-,-,-,-
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1010,1155,1155,1155,1200,1010,1125,1140,1185
基本参数,最大满载质量(kg),1330,1495,1495,1495,1540,1330,1460,1460,1515
车身,长度(mm),3950,3950,3950,3950,3950,3950,3950,3950,3950
车身,宽度(mm),1708,1708,1708,1708,1708,1708,1708,1708,1708
车身,高度(mm),1580,1580,1580,1580,1580,1580,1580,1580,1580
车身,轴距(mm),2560,2560,2560,2560,2560,2560,2560,2560,2560
车身,前轮距(mm),1488,1488,1488,1488,1488,1488,1488,1488,1488
车身,后轮距(mm),1472,1472,1472,1472,1472,1472,1472,1472,1472
车身,接近角(°),17,17,17,17,17,17,17,17,17
车身,离去角(°),29,29,29,29,29,29,29,29,29
车身,车身结构,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,后备厢容积(L),350-1240,350-1240,350-1240,350-1240,350-1240,350-1240,350-1240,350-1240,350-1240
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-
电动机,前电动机品牌,中车,中车/赛克,中车/赛克,中车/赛克,中车/双林,双林汽车,株洲中车时代,株洲中车时代,双林汽车
电动机,前电动机型号,TZ155X230,TZ180XS250,TZ180XS250,TZ180XS250,TZ180XS250,TZ155X230,TZ180XS250,TZ180XS250,TZ180XS250
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),30,50,50,50,50,30,50,50,50
电动机,电动机总马力(Ps),41,68,68,68,68,41,68,68,68
电动机,电动机总扭矩(N·m),85,125,125,125,125,85,125,125,125
电动机,前电动机最大功率(kW),30,50,50,50,50,30,50,50,50
电动机,前电动机最大扭矩(N·m),85,125,125,125,125,85,125,125,125
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机,三电系统质保,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 瑞浦赛克,"● 欣旺达
● 瑞浦赛克","● 欣旺达
● 瑞浦赛克","● 欣旺达
● 瑞浦赛克","● 国轩高科
● 正力新能",● 国轩高科,"● 欣旺达
● 瑞浦赛克","● 欣旺达
● 瑞浦赛克","● 国轩高科
● 正力新能"
电池/充电,电池特有技术,神炼电池,神炼电池,神炼电池,神炼电池,神炼电池,-,-,-,-
电池/充电,电池冷却方式,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷
电池/充电,CLTC纯电续航里程(km),203,333,333,333,410,203,333,333,410
