セクション,セクション_ja,項目,項目_ja,2025年モデル 203km ライトエコモデル,2025年モデル 333km エンジョイモデル,2025年モデル 333km リンシーコネクトモデル,2025年モデル 333km リンシーラグジュアリーモデル,2025年モデル 410km リンシーラグジュアリーモデル,2024年モデル 203km ライトエコモデル,2024年モデル 333km エンジョイモデル,2024年モデル 333km リンシーコネクトモデル,2024年モデル 410km リンシーラグジュアリーモデル
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"5.68万元（日本円 約1,192,800円）","7.08万元（日本円 約1,486,800円）","7.58万元（日本円 約1,591,800円）","8.08万元（日本円 約1,696,800円）","8.48万元（日本円 約1,780,800円）","5.68万元（日本円 約1,192,800円）","7.08万元（日本円 約1,486,800円）","7.48万元（日本円 約1,570,800円）","8.48万元（日本円 約1,780,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"5.18万元（日本円 約1,087,800円）","6.08万元（日本円 約1,276,800円）","6.28万元（日本円 約1,318,800円）","6.78万元（日本円 約1,423,800円）","7.78万元（日本円 約1,633,800円）","5.68万元（日本円 約1,192,800円）","6.58万元（日本円 約1,381,800円）","7.18万元（日本円 約1,507,800円）","8.48万元（日本円 約1,780,800円）"
基本参数,基本仕様,厂商,メーカー,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱
基本参数,基本仕様,级别,クラス,小型車,小型車,小型車,小型車,小型車,小型車,小型車,小型車,小型車
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.04,2025.04,2025.04,2025.04,2025.04,2024.06,2024.06,2024.06,2024.06
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),203,333,333,333,410,203,333,333,410
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),5.5,9.5,9.5,9.5,12,5.5,9.5,9.5,12
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電容量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電容量範囲(%),20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100
基本参数,基本仕様,最大功率(kW),最大出力(kW),30,50,50,50,50,30,50,50,50
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),85,125,125,125,125,85,125,125,125
基本参数,基本仕様,车身结构,ボディ構造,5ドア4人乗りハッチバック,5ドア4人乗りハッチバック,5ドア4人乗りハッチバック,5ドア4人乗りハッチバック,5ドア4人乗りハッチバック,5ドア4人乗りハッチバック,5ドア4人乗りハッチバック,5ドア4人乗りハッチバック,5ドア4人乗りハッチバック
